 Date Time SO2 OZ NO2 CHX NO
 08.12.12 00:00 0.00 ---- 0.18 1.59 0.10
 -------- 01:00 0.00 ---- 0.17 1.60 0.07
 -------- 02:00 ---- ---- 0.17 1.49 0.05
 -------- 03:00 ---- 0.01 0.15 1.46 0.05
 -------- 04:00 ---- ---- 0.17 1.47 0.04
 08.12.12 05:00 ---- ---- 0.17 1.56 0.05
 -------- 06:00 0.00 ---- 0.18 1.53 0.08
 -------- 07:00 ---- ---- 0.16 1.58 0.08
 -------- 08:00 0.00 ---- 0.17 1.57 0.12
 -------- 09:00 0.00 ---- 0.21 1.61 0.16
 08.12.12 10:00 0.00 ---- 0.19 1.65 0.15
 -------- 11:00 0.00 0.01 0.22 1.64 0.19
 -------- 12:00 0.00 0.01 0.21 1.71 0.23
 -------- 13:00 0.01 0.01 0.21 1.74 0.27
 -------- 14:00 0.01 0.01 0.22 1.83 0.34
 08.12.12 15:00 0.01 0.01 0.25 1.88 0.43
 -------- 16:00 0.01 0.01 0.25 1.84 0.37
 -------- 17:00 0.00 ---- 0.21 1.67 0.18
 -------- 18:00 0.00 ---- 0.19 1.65 0.18
 -------- 19:00 0.00 ---- 0.19 1.62 0.13
 08.12.12 20:00 0.00 ---- 0.17 1.68 0.19
 -------- 21:00 0.00 ---- 0.18 1.77 0.21
 -------- 22:00 0.00 ---- 0.17 1.77 0.23
 -------- 23:00 0.01 ---- 0.19 1.87 0.28
 -------- 00:00 0.01 ---- 0.20 1.87 0.28
 09.12.12 01:00 0.01 ---- 0.19 1.89 0.25
 -------- 02:00 0.01 ---- 0.19 1.93 0.26
 -------- 03:00 0.01 ---- 0.19 2.01 0.27
 -------- 04:00 0.01 ---- 0.21 2.13 0.30
 -------- 05:00 0.01 ---- 0.20 1.98 0.27
 09.12.12 06:00 0.01 0.01 0.21 2.10 0.36
 -------- 07:00 0.01 ---- 0.19 2.03 0.31
 -------- 08:00 0.01 ---- 0.18 1.87 0.21
 -------- 09:00 0.00 ---- 0.16 1.86 0.16
 -------- 10:00 0.00 ---- 0.15 1.78 0.12
 09.12.12 11:00 0.00 0.02 0.13 1.63 0.07
 -------- 12:00 0.00 0.08 0.14 1.55 0.07
 -------- 13:00 0.00 0.10 0.16 1.52 0.12
 -------- 14:00 0.00 0.14 0.15 1.49 0.09
 -------- 15:00 0.00 0.14 0.16 1.52 0.13
 09.12.12 16:00 0.00 0.13 0.19 1.53 0.12
 -------- 17:00 ---- 0.13 0.16 1.51 0.05
 -------- 18:00 0.00 0.05 0.19 1.55 0.10
 -------- 19:00 ---- 0.11 0.13 1.48 0.04
 -------- 20:00 ---- 0.15 0.13 1.47 0.03
 09.12.12 21:00 0.00 0.04 0.20 1.77 0.23
 -------- 22:00 0.01 0.02 0.20 1.82 0.35
 -------- 23:00 0.01 0.01 0.20 1.76 0.27
