 Date Time SO2 OZ NO2 CHX NO
 30.11.12 12:00 0.00 0.03 0.14 1.54 0.09
 -------- 13:00 0.01 0.03 0.14 1.55 0.12
 -------- 14:00 0.01 0.02 0.13 1.58 0.13
 -------- 15:00 0.01 0.01 0.15 1.60 0.13
 -------- 16:00 0.01 0.01 0.15 1.63 0.14
 30.11.12 17:00 0.01 ---- 0.14 1.68 0.16
 -------- 18:00 0.01 ---- 0.16 1.74 0.21
 -------- 19:00 0.01 ---- 0.16 1.71 0.21
 -------- 20:00 0.01 ---- 0.17 1.74 0.28
 -------- 21:00 0.01 ---- 0.15 1.73 0.22
 30.11.12 22:00 0.01 ---- 0.12 1.62 0.07
 -------- 23:00 0.01 0.01 0.12 1.63 0.13
 -------- 00:00 0.00 0.03 0.11 1.48 0.03
 -------- 01:00 0.00 0.09 0.09 1.42 0.02
 -------- 02:00 0.00 0.20 0.07 1.40 0.01
 01.12.12 03:00 0.00 0.11 0.13 1.47 0.07
 -------- 04:00 0.00 0.12 0.11 1.41 0.03
 -------- 05:00 0.00 0.21 0.07 1.39 0.01
 -------- 06:00 0.00 0.20 0.08 1.41 0.03
 -------- 07:00 0.00 0.13 0.09 1.46 0.04
 01.12.12 08:00 0.00 0.07 0.13 1.52 0.09
 -------- 09:00 0.01 0.05 0.12 1.53 0.12
 -------- 10:00 0.01 0.03 0.13 1.64 0.15
 -------- 11:00 0.01 0.01 0.12 1.68 0.19
 -------- 12:00 0.01 0.01 0.13 1.61 0.15
 01.12.12 13:00 0.01 0.02 0.13 1.67 0.18
 -------- 14:00 0.01 0.02 0.13 1.63 0.13
 -------- 15:00 0.00 0.02 0.11 1.56 0.06
 -------- 16:00 0.00 0.01 0.12 1.55 0.08
 -------- 17:00 0.01 0.01 0.13 1.61 0.13
 01.12.12 18:00 0.01 ---- 0.13 1.67 0.17
 -------- 19:00 0.01 ---- 0.13 1.61 0.12
 -------- 20:00 0.01 ---- 0.13 1.78 0.26
 -------- 21:00 0.01 ---- 0.13 1.81 0.22
 -------- 22:00 0.01 ---- 0.13 1.74 0.14
 01.12.12 23:00 0.00 ---- 0.11 1.63 0.06
 -------- 00:00 0.00 ---- 0.11 1.61 0.05
 -------- 01:00 0.00 ---- 0.10 1.58 0.03
 -------- 02:00 0.00 ---- 0.10 1.60 0.05
 -------- 03:00 0.00 ---- 0.09 1.53 0.05
 02.12.12 04:00 0.00 ---- 0.09 1.61 0.06
 -------- 05:00 0.00 0.02 0.10 1.60 0.04
 -------- 06:00 0.00 0.05 0.10 1.50 0.05
 -------- 07:00 0.00 0.02 0.12 1.77 0.08
 -------- 08:00 0.01 0.02 0.12 1.62 0.09
 02.12.12 09:00 0.00 0.05 0.11 1.51 0.07
 -------- 10:00 0.00 0.06 0.12 1.50 0.07
 -------- 11:00 0.00 0.05 0.13 1.54 0.11
