 Date Time SO2 OZ NO2 CHX NO
 21.01.13 12:00 0.00 0.07 0.21 1.55 0.12
 -------- 13:00 0.00 0.11 0.20 1.50 0.09
 -------- 14:00 0.00 0.15 0.19 1.48 0.07
 -------- 15:00 0.00 0.17 0.18 1.63 0.07
 -------- 16:00 0.00 0.14 0.21 1.97 0.08
 21.01.13 17:00 0.00 0.14 0.24 1.63 0.10
 -------- 18:00 0.00 0.16 0.23 1.50 0.07
 -------- 19:00 0.00 0.19 0.24 1.50 0.08
 -------- 20:00 0.00 0.19 0.24 1.44 0.07
 -------- 21:00 0.00 0.19 0.24 1.45 0.07
 21.01.13 22:00 0.00 0.21 0.22 1.44 0.05
 -------- 23:00 0.00 0.18 0.25 1.45 0.05
 -------- 00:00 0.00 0.22 0.20 1.44 0.03
 -------- 01:00 0.00 0.33 0.17 1.42 0.03
 -------- 02:00 0.00 0.40 0.13 1.39 0.01
 22.01.13 03:00 0.00 0.38 0.15 1.38 0.02
 -------- 04:00 0.00 0.36 0.15 1.39 0.02
 -------- 05:00 0.00 0.30 0.17 1.46 0.03
 -------- 06:00 0.00 0.27 0.20 1.48 0.05
 -------- 07:00 0.00 0.19 0.24 1.54 0.11
 22.01.13 08:00 0.00 0.11 0.28 1.65 0.16
 -------- 09:00 0.00 0.07 0.31 1.76 0.21
 -------- 10:00 0.01 0.06 0.30 1.65 0.15
 -------- 11:00 0.01 0.10 0.30 1.57 0.18
 -------- 12:00 0.00 0.15 0.26 1.52 0.12
 22.01.13 13:00 0.00 0.24 0.20 1.52 0.07
 -------- 14:00 0.00 0.18 0.23 1.51 0.10
 -------- 15:00 0.00 0.16 0.26 1.53 0.13
 -------- 16:00 0.00 0.17 0.27 1.52 0.13
 -------- 17:00 0.00 0.15 0.29 1.50 0.11
 22.01.13 18:00 0.00 0.11 0.31 1.55 0.18
 -------- 19:00 0.01 0.11 0.29 1.56 0.14
 -------- 20:00 0.00 0.15 0.27 1.54 0.11
 -------- 21:00 0.00 0.15 0.26 1.52 0.11
 -------- 22:00 0.00 0.21 0.23 1.49 0.07
 22.01.13 23:00 0.00 0.23 0.21 1.49 0.05
 -------- 00:00 0.00 0.19 0.23 1.49 0.07
 -------- 01:00 0.00 0.22 0.20 1.48 0.04
 -------- 02:00 0.00 0.24 0.19 1.46 0.03
 -------- 03:00 0.00 0.29 0.14 1.43 0.01
