 Date Time SO2 OZ NO2 CHX NO
 27.11.12 12:00 0.01 0.03 0.10 1.50 0.08
 -------- 13:00 0.01 0.03 0.12 1.56 0.13
 -------- 14:00 0.01 0.03 0.11 1.50 0.11
 -------- 15:00 0.01 0.05 0.13 1.53 0.12
 -------- 16:00 0.01 0.06 0.13 1.49 0.10
 27.11.12 17:00 0.01 0.05 0.12 1.53 0.10
 -------- 18:00 0.01 0.06 0.12 1.54 0.10
 -------- 19:00 0.01 0.05 0.13 1.59 0.11
 -------- 20:00 0.01 0.04 0.14 1.55 0.13
 -------- 21:00 0.01 0.03 0.14 1.59 0.13
 27.11.12 22:00 0.01 0.03 0.12 1.50 0.08
 -------- 23:00 0.00 0.08 0.10 1.47 0.05
 -------- 00:00 0.00 0.07 0.10 1.46 0.05
 -------- 01:00 0.00 0.08 0.09 1.44 0.03
 -------- 02:00 0.00 0.07 0.08 1.43 0.02
 28.11.12 03:00 0.00 0.07 0.09 1.41 0.02
 -------- 04:00 0.00 0.05 0.08 1.40 0.03
 -------- 05:00 0.00 0.03 0.10 1.44 0.04
 -------- 06:00 0.01 0.02 0.11 1.51 0.08
 -------- 07:00 0.01 0.01 0.13 1.63 0.21
 28.11.12 08:00 0.01 ---- 0.14 1.76 0.27
 -------- 09:00 0.01 ---- 0.13 1.67 0.23
 -------- 10:00 0.01 ---- 0.13 1.74 0.25
 -------- 11:00 0.01 ---- 0.14 1.68 0.19
 -------- 12:00 0.01 0.01 0.17 1.63 0.17
 28.11.12 13:00 0.01 ---- 0.19 1.77 0.35
 -------- 14:00 0.01 ---- 0.20 1.75 0.32
 -------- 15:00 0.01 ---- 0.19 1.74 0.30
 -------- 16:00 0.01 ---- 0.19 1.67 0.25
 -------- 17:00 0.01 ---- 0.19 1.67 0.23
 28.11.12 18:00 0.01 ---- 0.20 1.80 0.26
 -------- 19:00 0.01 ---- 0.19 1.71 0.20
 -------- 20:00 0.01 ---- 0.17 1.62 0.14
 -------- 21:00 0.01 ---- 0.17 1.62 0.09
 -------- 22:00 0.00 0.01 0.17 1.58 0.07
 28.11.12 23:00 0.00 0.02 0.17 1.51 0.05
 -------- 00:00 0.00 0.02 0.14 1.50 0.03
 -------- 01:00 0.00 0.04 0.12 1.48 0.02
 -------- 02:00 0.00 0.06 0.12 1.48 0.02
 -------- 03:00 0.00 0.07 0.11 1.49 0.02
 29.11.12 04:00 0.00 0.06 0.11 1.50 0.01
 -------- 05:00 0.00 0.09 0.14 1.57 0.03
 -------- 06:00 0.00 0.06 0.15 1.55 0.05
 -------- 07:00 0.00 0.07 0.18 1.51 0.10
 -------- 08:00 0.01 0.04 0.18 1.55 0.13
 29.11.12 09:00 0.01 0.04 0.18 1.57 0.11
 -------- 10:00 0.00 0.05 0.16 1.53 0.07
 -------- 11:00 0.00 0.07 0.17 1.56 0.09
