 Date Time CO NO2 CHX NO PM10
 26.11.12 12:00 0.08 0.12 1.62 0.08 0.05
 -------- 13:00 0.08 0.12 1.64 0.08 0.06
 -------- 14:00 0.09 0.12 1.72 0.11 0.06
 -------- 15:00 0.11 0.11 1.75 0.12 0.06
 -------- 16:00 0.10 0.11 1.64 0.11 0.05
 26.11.12 17:00 0.09 0.12 1.62 0.13 0.05
 -------- 18:00 0.10 0.11 1.60 0.12 0.05
 -------- 19:00 0.09 0.10 1.56 0.08 0.05
 -------- 20:00 0.08 0.09 1.54 0.08 0.04
 -------- 21:00 0.06 0.08 1.53 0.06 0.04
 26.11.12 22:00 0.06 0.07 1.53 0.06 0.04
 -------- 23:00 0.06 0.08 1.52 0.05 0.04
 -------- 00:00 0.06 0.07 1.52 0.05 0.03
 -------- 01:00 0.04 0.07 1.52 0.03 0.03
 -------- 02:00 0.04 0.05 1.61 0.01 0.03
 27.11.12 03:00 0.03 0.05 1.77 0.02 0.03
 -------- 04:00 0.04 0.06 1.60 0.02 0.03
 -------- 05:00 0.05 0.05 1.56 0.03 0.03
 -------- 06:00 0.05 0.05 1.54 0.03 0.03
 -------- 07:00 0.06 0.10 1.52 0.05 0.02
 27.11.12 08:00 0.09 0.11 1.55 0.07 0.03
 -------- 09:00 0.11 0.10 1.57 0.12 0.04
 -------- 10:00 0.09 0.12 1.55 0.10 0.04
 -------- 11:00 0.08 0.09 1.54 0.08 0.03
 -------- 12:00 0.08 0.10 1.54 0.09 0.04
 27.11.12 13:00 0.09 0.10 1.55 0.10 0.04
 -------- 14:00 0.07 0.12 1.63 0.06 0.03
 -------- 15:00 0.08 0.13 1.54 0.06 0.03
 -------- 16:00 0.07 0.12 1.53 0.06 0.03
 -------- 17:00 0.06 0.12 1.53 0.06 0.03
 27.11.12 18:00 0.06 0.11 1.52 0.04 0.03
 -------- 19:00 0.06 0.10 1.51 0.03 0.03
 -------- 20:00 0.06 0.11 1.52 0.02 0.03
 -------- 21:00 0.06 0.15 1.53 0.04 0.03
 -------- 22:00 0.07 0.15 1.52 0.04 0.03
 27.11.12 23:00 0.07 0.16 1.51 0.05 0.03
 -------- 00:00 0.06 0.13 1.50 0.03 0.03
 -------- 01:00 0.05 0.12 1.50 0.02 0.02
 -------- 02:00 0.04 0.12 1.50 0.02 0.03
 -------- 03:00 0.04 0.11 1.51 0.02 0.03
 28.11.12 04:00 0.04 0.11 1.50 0.02 0.02
 -------- 05:00 0.04 0.12 1.50 0.04 0.03
 -------- 06:00 0.04 0.12 1.52 0.04 0.03
 -------- 07:00 0.09 0.14 1.88 0.15 0.05
 -------- 08:00 0.11 0.15 1.92 0.15 0.05
 28.11.12 09:00 0.11 0.13 1.76 0.15 0.06
 -------- 10:00 0.11 0.13 1.72 0.14 0.08
 -------- 11:00 0.09 0.12 1.69 0.12 0.07
