 Date Time CO NO2 CHX NO PM10
 01.10.12 00:00 0.04 0.05 1.40 0.01 0.02
 -------- 01:00 0.03 0.03 1.40 0.00 0.01
 -------- 02:00 0.03 0.01 1.40 0.00 0.01
 -------- 03:00 0.04 0.01 1.38 0.00 0.02
 -------- 04:00 0.03 0.01 1.39 0.00 0.01
 01.10.12 05:00 0.03 0.01 1.38 0.00 0.02
 -------- 06:00 0.04 0.02 1.37 0.01 0.02
 -------- 07:00 0.04 0.05 1.37 0.01 0.02
 -------- 08:00 0.06 0.08 1.37 0.01 0.02
 -------- 09:00 0.09 0.12 1.38 0.03 0.04
 01.10.12 10:00 0.05 0.08 1.37 0.02 0.04
 -------- 11:00 0.05 0.05 1.37 0.02 0.04
 -------- 12:00 0.06 0.05 1.37 0.02 0.05
 -------- 13:00 0.04 0.07 1.38 0.02 0.04
 -------- 14:00 0.04 0.09 1.38 0.03 0.05
 01.10.12 15:00 0.04 0.06 1.37 0.02 0.05
 -------- 16:00 0.04 0.08 1.38 0.02 0.05
 -------- 17:00 0.05 0.09 1.38 0.02 0.05
 -------- 18:00 0.06 0.10 1.39 0.02 0.04
 -------- 19:00 0.06 0.11 1.41 0.01 0.04
 01.10.12 20:00 0.06 0.15 1.42 0.01 0.04
 -------- 21:00 0.09 0.24 1.44 0.03 0.05
 -------- 22:00 0.12 0.24 1.47 0.04 0.05
 -------- 23:00 0.13 0.23 1.48 0.10 0.05
 -------- 00:00 0.16 0.22 1.51 0.10 0.05
 02.10.12 01:00 0.14 0.21 1.53 0.12 0.05
 -------- 02:00 0.10 0.20 1.49 0.10 0.05
 -------- 03:00 0.06 0.17 1.48 0.05 0.04
 -------- 04:00 0.05 0.16 1.47 0.03 0.04
 -------- 05:00 0.04 0.16 1.49 0.03 0.03
 02.10.12 06:00 0.05 0.15 1.51 0.07 0.03
 -------- 07:00 0.08 0.16 1.58 0.13 0.04
 -------- 08:00 0.17 0.19 1.65 0.29 0.07
 -------- 09:00 0.21 0.23 1.75 0.31 0.10
 -------- 10:00 0.19 0.24 1.72 0.25 0.10
 02.10.12 11:00 0.12 0.24 1.58 0.12 0.10
 -------- 12:00 0.09 0.19 1.51 0.07 0.07
 -------- 13:00 0.03 0.11 1.44 0.03 0.04
 -------- 14:00 0.02 0.09 1.42 0.02 0.04
 -------- 15:00 0.02 0.08 1.42 0.02 0.05
 02.10.12 16:00 0.03 0.09 1.43 0.01 0.03
 -------- 17:00 0.05 0.12 1.44 0.02 0.04
 -------- 18:00 0.07 0.15 1.48 0.02 0.06
 -------- 19:00 0.08 0.23 1.45 0.03 0.05
 -------- 20:00 0.11 0.24 1.49 0.04 0.06
 02.10.12 21:00 0.15 0.24 1.56 0.07 0.06
 -------- 22:00 0.19 0.26 1.63 0.11 0.10
 -------- 23:00 0.17 0.27 1.63 0.12 0.09
