 Date Time CO NO2 CHX NO PM10
 12.11.12 00:00 0.04 0.14 1.47 0.01 0.05
 -------- 01:00 0.04 0.10 1.44 0.01 0.04
 -------- 02:00 0.03 0.06 1.42 0.01 0.04
 -------- 03:00 0.02 0.04 1.43 0.01 0.02
 -------- 04:00 0.03 0.05 1.42 0.01 0.02
 12.11.12 05:00 0.03 0.05 1.42 0.01 0.02
 -------- 06:00 0.04 0.07 1.42 0.01 0.03
 -------- 07:00 0.04 0.09 1.43 0.01 0.04
 -------- 08:00 0.07 0.12 1.45 0.03 0.05
 -------- 09:00 0.09 0.17 1.48 0.06 0.09
 12.11.12 10:00 0.07 0.14 1.45 0.03 0.07
 -------- 11:00 0.06 0.12 1.45 0.03 0.06
 -------- 12:00 0.06 0.13 1.50 0.05 0.07
 -------- 13:00 0.08 0.16 1.62 0.07 0.07
 -------- 14:00 0.09 0.16 1.78 0.08 0.05
 12.11.12 15:00 0.08 0.15 1.81 0.09 0.05
 -------- 16:00 0.06 0.13 1.61 0.04 0.05
 -------- 17:00 0.07 0.14 1.59 0.05 0.05
 -------- 18:00 0.06 0.12 1.59 0.04 0.05
 -------- 19:00 0.06 0.11 1.53 0.03 0.05
 12.11.12 20:00 0.08 0.13 1.48 0.03 0.06
 -------- 21:00 0.09 0.12 1.48 0.03 0.06
 -------- 22:00 0.06 0.11 1.46 0.01 0.07
 -------- 23:00 0.04 0.10 1.45 0.01 0.06
 -------- 00:00 0.05 0.12 1.46 0.02 0.05
 13.11.12 01:00 0.04 0.10 1.47 0.01 0.03
 -------- 02:00 0.04 0.11 1.46 0.01 0.03
 -------- 03:00 0.02 0.08 1.43 0.00 0.03
 -------- 04:00 0.02 0.07 1.44 0.01 0.03
 -------- 05:00 0.02 0.06 1.43 0.01 0.03
 13.11.12 06:00 0.02 0.08 1.44 0.01 0.03
 -------- 07:00 0.04 0.12 1.44 0.01 0.03
 -------- 08:00 0.04 0.12 1.45 0.02 0.03
 -------- 09:00 0.06 0.17 1.48 0.03 0.04
 -------- 10:00 0.07 0.18 1.46 0.04 0.04
 13.11.12 11:00 0.06 0.16 1.44 0.03 0.04
 -------- 12:00 0.05 0.13 1.43 0.03 0.04
 -------- 13:00 0.05 0.10 1.44 0.02 0.04
 -------- 14:00 0.06 0.11 1.42 0.02 0.05
 -------- 15:00 0.05 0.12 1.43 0.02 0.06
 13.11.12 16:00 0.04 0.15 1.43 0.02 0.07
 -------- 17:00 0.06 0.19 1.44 0.02 0.07
 -------- 18:00 0.06 0.18 1.46 0.02 0.06
 -------- 19:00 0.07 0.18 1.44 0.02 0.03
 -------- 20:00 0.05 0.13 1.42 0.01 0.03
 13.11.12 21:00 0.05 0.13 1.42 0.01 0.03
 -------- 22:00 0.04 0.10 1.41 0.01 0.03
 -------- 23:00 0.03 0.07 1.39 0.01 0.02
