 Date Time CO NO2 CHX NO PM10
 25.03.13 12:00 0.06 0.15 1.30 0.03 0.04
 -------- 13:00 0.06 0.10 1.30 0.02 0.03
 -------- 14:00 0.05 0.12 1.29 0.02 0.03
 -------- 15:00 0.05 0.11 1.29 0.02 0.03
 -------- 16:00 0.05 0.11 1.29 0.02 0.03
 25.03.13 17:00 0.05 0.10 1.29 0.02 0.03
 -------- 18:00 0.06 0.09 1.29 0.01 0.04
 -------- 19:00 0.06 0.13 1.30 0.01 0.03
 -------- 20:00 0.06 0.17 1.30 0.01 0.03
 -------- 21:00 0.07 0.18 1.44 0.01 0.03
 25.03.13 22:00 0.06 0.13 1.35 0.01 0.02
 -------- 23:00 0.06 0.13 1.29 0.01 0.02
 -------- 00:00 0.05 0.11 1.29 0.00 0.02
 -------- 01:00 0.04 0.10 1.29 0.01 0.02
 -------- 02:00 0.04 0.10 1.28 0.00 0.02
 26.03.13 03:00 0.04 0.08 1.29 0.00 0.02
 -------- 04:00 0.04 0.08 1.29 0.01 0.02
 -------- 05:00 0.04 0.09 1.33 0.00 0.02
 -------- 06:00 0.04 0.10 1.34 0.01 0.02
 -------- 07:00 0.05 0.11 1.32 0.01 0.02
 26.03.13 08:00 0.05 0.15 1.33 0.02 0.02
 -------- 09:00 0.07 0.17 1.37 0.03 0.02
 -------- 10:00 0.07 0.14 1.36 0.03 0.03
 -------- 11:00 0.06 0.13 1.36 0.04 0.03
 -------- 12:00 0.05 0.09 1.33 0.02 0.03
 26.03.13 13:00 0.06 0.11 1.33 0.03 0.03
 -------- 14:00 0.05 0.07 ---- 0.02 0.03
 -------- 15:00 0.06 0.08 1.42 0.02 0.02
 -------- 16:00 0.05 0.08 1.40 0.02 0.02
 -------- 17:00 0.06 0.09 1.40 0.01 0.02
 26.03.13 18:00 0.05 0.09 1.40 0.01 0.02
 -------- 19:00 0.05 0.12 1.39 0.01 0.02
 -------- 20:00 0.06 0.16 1.40 0.01 0.02
 -------- 21:00 0.06 0.23 1.44 0.01 0.03
 -------- 22:00 0.06 0.20 1.46 0.01 0.03
 26.03.13 23:00 0.07 0.22 1.47 0.01 0.09
 -------- 00:00 0.06 0.20 1.46 0.01 0.08
 -------- 01:00 0.06 0.23 1.51 0.01 0.07
 -------- 02:00 0.06 0.22 1.57 0.00 0.05
 -------- 03:00 0.07 0.31 1.54 0.02 0.04
 27.03.13 04:00 0.09 0.46 1.17 0.07 0.03
 -------- 05:00 0.08 0.44 1.90 0.07 0.03
 -------- 06:00 0.10 0.45 1.64 0.10 0.03
 -------- 07:00 0.13 0.46 1.76 0.13 0.04
 -------- 08:00 0.20 0.47 1.82 0.20 0.05
 27.03.13 09:00 0.17 0.44 1.79 0.18 0.05
 -------- 10:00 0.21 0.44 1.76 0.21 0.06
 -------- 11:00 0.13 0.39 1.57 0.14 0.06
 -------- 12:00 0.08 0.30 1.70 0.09 0.05
