 Date Time CO NO2 CHX NO PM10
 16.01.13 12:00 0.14 0.33 1.69 0.18 0.07
 -------- 13:00 0.16 0.32 1.72 0.21 0.08
 -------- 14:00 0.15 0.33 1.72 0.21 0.08
 -------- 15:00 0.17 0.33 1.78 0.23 0.09
 -------- 16:00 0.17 0.33 1.78 0.22 0.09
 16.01.13 17:00 0.17 0.34 1.78 0.23 0.09
 -------- 18:00 0.17 0.34 1.84 0.23 0.09
 -------- 19:00 0.19 0.35 1.97 0.26 0.10
 -------- 20:00 0.15 0.32 1.81 0.14 0.09
 -------- 21:00 0.12 0.29 1.76 0.10 0.08
 16.01.13 22:00 0.09 0.26 2.04 0.07 0.07
 -------- 23:00 0.10 0.26 2.13 0.08 0.07
 -------- 00:00 0.08 0.24 2.10 0.03 0.06
 -------- 01:00 0.07 0.24 1.75 0.03 0.06
 -------- 02:00 0.06 0.24 1.67 0.04 0.05
 17.01.13 03:00 0.06 0.21 1.64 0.03 0.06
 -------- 04:00 0.06 0.19 1.62 0.01 0.06
 -------- 05:00 0.05 0.21 1.61 0.02 0.06
 -------- 06:00 0.05 0.21 1.62 0.02 0.06
 -------- 07:00 0.06 0.22 1.64 0.02 0.07
 17.01.13 08:00 0.08 0.20 1.66 0.03 0.06
 -------- 09:00 0.10 0.21 1.75 0.04 0.05
 -------- 10:00 0.10 0.25 1.66 0.05 0.06
 -------- 11:00 0.09 0.23 1.62 0.05 0.05
 -------- 12:00 0.09 0.21 1.60 0.05 0.04
 17.01.13 13:00 0.10 0.31 1.63 0.11 0.04
 -------- 14:00 0.11 0.33 1.61 0.18 0.04
 -------- 15:00 0.09 0.26 1.56 0.09 0.03
 -------- 16:00 0.07 0.23 1.56 0.05 0.04
 -------- 17:00 0.07 0.20 1.53 0.03 0.05
 17.01.13 18:00 0.06 0.19 1.49 0.02 0.04
 -------- 19:00 0.09 0.21 1.48 0.02 0.07
 -------- 20:00 0.10 0.19 1.53 0.02 0.03
 -------- 21:00 0.10 0.21 1.56 0.02 0.02
 -------- 22:00 0.10 0.23 1.57 0.02 0.03
 17.01.13 23:00 0.10 0.22 1.57 0.02 0.03
 -------- 00:00 0.10 0.20 1.55 0.02 0.04
 -------- 01:00 0.10 0.20 1.56 0.02 0.04
 -------- 02:00 0.09 0.20 1.53 0.02 0.03
 -------- 03:00 0.08 0.18 1.52 0.01 0.03
 18.01.13 04:00 0.09 0.18 1.54 0.01 0.03
 -------- 05:00 0.07 0.17 1.56 0.01 0.03
 -------- 06:00 0.06 0.19 1.56 0.02 0.04
 -------- 07:00 0.07 0.20 1.58 0.03 0.04
 -------- 08:00 0.09 0.21 1.62 0.03 0.04
 18.01.13 09:00 0.10 0.22 1.65 0.04 0.05
 -------- 10:00 ---- 0.23 1.66 0.05 0.05
 -------- 11:00 0.12 0.20 1.67 0.05 0.05
