 Date Time CO NO2 CHX NO PM10
 25.12.12 12:00 0.11 0.27 1.62 0.07 0.07
 -------- 13:00 0.13 0.30 1.66 0.10 0.07
 -------- 14:00 0.13 0.29 1.66 0.08 0.07
 -------- 15:00 0.12 0.26 1.65 0.06 0.07
 -------- 16:00 0.11 0.23 1.61 0.04 0.06
 25.12.12 17:00 0.13 0.25 1.63 0.05 0.08
 -------- 18:00 0.13 0.27 1.67 0.06 0.08
 -------- 19:00 0.13 0.27 1.67 0.06 0.09
 -------- 20:00 0.12 0.26 1.62 0.05 0.08
 -------- 21:00 0.12 0.26 1.62 0.05 0.07
 25.12.12 22:00 0.12 0.26 1.62 0.05 0.08
 -------- 23:00 0.12 0.25 1.61 0.04 0.07
 -------- 00:00 0.10 0.22 1.55 0.02 0.06
 -------- 01:00 0.09 0.13 1.51 0.01 0.05
 -------- 02:00 0.07 0.08 1.46 0.01 0.04
 26.12.12 03:00 0.06 0.10 1.47 0.02 0.05
 -------- 04:00 0.06 0.09 1.48 0.01 0.05
 -------- 05:00 0.06 0.09 1.51 0.01 0.06
 -------- 06:00 0.07 0.12 1.54 0.01 0.06
 -------- 07:00 0.08 0.17 1.57 0.02 0.07
 26.12.12 08:00 0.10 0.25 1.85 0.08 0.07
 -------- 09:00 0.12 0.24 1.80 0.06 0.06
 -------- 10:00 0.13 0.24 1.81 0.07 0.05
 -------- 11:00 0.12 0.22 1.82 0.04 0.05
 -------- 12:00 0.09 0.18 1.63 0.03 0.04
 26.12.12 13:00 0.08 0.19 2.08 0.04 0.03
 -------- 14:00 0.07 0.19 2.12 0.04 0.05
 -------- 15:00 0.11 0.19 1.69 0.04 0.06
 -------- 16:00 0.06 0.18 1.62 0.03 0.06
 -------- 17:00 0.07 0.18 1.58 0.03 0.07
 26.12.12 18:00 0.08 0.21 1.59 0.03 0.07
 -------- 19:00 0.06 0.20 1.57 0.02 0.06
 -------- 20:00 0.07 0.23 1.56 0.02 0.05
 -------- 21:00 0.07 0.19 1.64 0.02 0.04
 -------- 22:00 0.06 0.16 1.51 0.01 0.02
 26.12.12 23:00 0.06 0.18 1.51 0.02 0.03
 -------- 00:00 0.06 0.15 1.48 0.01 0.02
 -------- 01:00 0.06 0.13 1.46 0.02 0.02
 -------- 02:00 0.05 0.10 1.45 0.00 0.02
 -------- 03:00 0.05 0.07 1.44 0.01 0.02
 27.12.12 04:00 0.06 0.12 1.46 0.01 0.02
 -------- 05:00 0.06 0.19 1.54 0.02 0.02
 -------- 06:00 0.06 0.16 1.49 0.01 0.01
 -------- 07:00 0.07 0.16 1.49 0.01 0.02
 -------- 08:00 0.09 0.17 1.50 0.02 0.03
 27.12.12 09:00 0.10 0.19 1.53 0.05 0.04
 -------- 10:00 0.10 0.23 1.52 0.04 0.05
 -------- 11:00 0.12 0.24 1.53 0.06 0.04
