 Date Time CO NO2 CHX NO PM10
 13.11.12 12:00 0.05 0.13 1.43 0.03 0.04
 -------- 13:00 0.05 0.10 1.44 0.02 0.04
 -------- 14:00 0.06 0.11 1.42 0.02 0.05
 -------- 15:00 0.05 0.12 1.43 0.02 0.06
 -------- 16:00 0.04 0.15 1.43 0.02 0.07
 13.11.12 17:00 0.06 0.19 1.44 0.02 0.07
 -------- 18:00 0.06 0.18 1.46 0.02 0.06
 -------- 19:00 0.07 0.18 1.44 0.02 0.03
 -------- 20:00 0.05 0.13 1.42 0.01 0.03
 -------- 21:00 0.05 0.13 1.42 0.01 0.03
 13.11.12 22:00 0.04 0.10 1.41 0.01 0.03
 -------- 23:00 0.03 0.07 1.39 0.01 0.02
 -------- 00:00 0.02 0.06 1.39 0.00 0.02
 -------- 01:00 0.02 0.06 1.38 0.01 0.02
 -------- 02:00 0.02 0.06 1.38 0.00 0.02
 14.11.12 03:00 0.02 0.05 1.39 0.00 0.02
 -------- 04:00 0.02 0.04 1.39 0.01 0.03
 -------- 05:00 0.02 0.06 1.39 0.01 0.03
 -------- 06:00 0.03 0.03 1.37 0.01 0.03
 -------- 07:00 0.05 0.09 1.39 0.01 0.04
 14.11.12 08:00 0.05 0.14 1.38 0.02 0.07
 -------- 09:00 0.05 0.13 1.39 0.01 0.10
 -------- 10:00 0.04 0.15 1.39 0.01 0.07
 -------- 11:00 0.05 0.17 1.39 0.02 0.09
 -------- 12:00 0.06 0.16 1.41 0.03 0.11
 14.11.12 13:00 0.04 0.14 1.39 0.02 0.09
 -------- 14:00 0.05 0.12 1.39 0.02 0.08
 -------- 15:00 0.06 0.18 1.40 0.02 0.07
 -------- 16:00 0.06 0.18 1.41 0.02 0.06
 -------- 17:00 0.06 0.16 1.41 0.02 0.07
 14.11.12 18:00 0.06 0.12 1.41 0.01 0.05
 -------- 19:00 0.04 0.10 1.40 0.01 0.03
 -------- 20:00 0.05 0.10 1.40 0.01 0.02
 -------- 21:00 0.04 0.11 1.40 0.01 0.02
 -------- 22:00 0.04 0.10 1.40 0.01 0.02
 14.11.12 23:00 0.04 0.09 1.38 0.01 0.02
 -------- 00:00 0.04 0.08 1.38 0.01 0.02
 -------- 01:00 0.04 0.07 1.38 0.01 0.02
 -------- 02:00 0.04 0.08 1.37 0.02 0.02
 -------- 03:00 0.03 0.07 1.37 0.02 0.02
 15.11.12 04:00 0.02 0.07 1.37 0.02 0.02
 -------- 05:00 0.02 0.07 1.38 0.02 0.02
 -------- 06:00 0.03 0.10 1.38 0.02 0.02
 -------- 07:00 0.05 0.11 1.39 0.02 0.02
 -------- 08:00 0.05 0.13 1.41 0.02 0.02
 15.11.12 09:00 0.06 0.15 1.45 0.03 0.03
 -------- 10:00 0.06 0.15 1.46 0.04 0.03
 -------- 11:00 0.06 0.14 1.43 0.03 0.03
