 Date Time CO NO2 CHX NO PM10
 12.01.13 00:00 0.10 0.20 1.71 0.04 0.05
 -------- 01:00 0.09 0.19 1.71 0.03 0.05
 -------- 02:00 0.08 0.15 1.90 0.02 0.05
 -------- 03:00 0.08 0.19 1.80 0.02 0.06
 -------- 04:00 0.08 0.18 1.73 0.01 0.06
 12.01.13 05:00 0.08 0.17 1.83 0.01 0.06
 -------- 06:00 0.08 0.19 1.81 0.02 0.07
 -------- 07:00 0.09 0.21 1.69 0.04 0.06
 -------- 08:00 0.10 0.22 1.87 0.05 0.07
 -------- 09:00 0.13 0.23 1.92 0.08 0.07
 12.01.13 10:00 0.13 0.23 1.74 0.10 0.08
 -------- 11:00 0.13 0.23 1.72 0.12 0.08
 -------- 12:00 0.15 0.23 1.74 0.12 0.08
 -------- 13:00 0.17 0.24 1.77 0.16 0.08
 -------- 14:00 0.19 0.26 1.82 0.19 0.09
 12.01.13 15:00 0.21 0.27 1.83 0.21 0.09
 -------- 16:00 0.22 0.28 1.84 0.22 0.10
 -------- 17:00 0.22 0.28 1.86 0.21 0.10
 -------- 18:00 0.22 0.29 1.88 0.22 0.10
 -------- 19:00 0.22 0.27 1.98 0.25 0.10
 12.01.13 20:00 0.23 0.28 2.02 0.27 0.10
 -------- 21:00 0.27 0.28 2.05 0.36 0.12
 -------- 22:00 0.29 0.29 2.09 0.35 0.12
 -------- 23:00 0.27 0.28 2.04 0.31 0.11
 -------- 00:00 0.32 0.28 2.12 0.39 0.11
 13.01.13 01:00 0.29 0.31 2.19 0.42 0.12
 -------- 02:00 0.25 0.31 2.05 0.36 0.12
 -------- 03:00 0.17 0.28 2.04 0.22 0.09
 -------- 04:00 0.11 0.22 1.99 0.14 0.08
 -------- 05:00 0.13 0.20 1.86 0.10 0.07
 13.01.13 06:00 0.09 0.18 1.67 0.06 0.07
 -------- 07:00 0.07 0.18 1.58 0.02 0.06
 -------- 08:00 0.07 0.17 1.58 0.02 0.05
 -------- 09:00 0.06 0.17 1.59 0.02 0.05
 -------- 10:00 0.08 0.16 1.60 0.03 0.06
 13.01.13 11:00 0.08 0.13 1.58 0.03 0.06
 -------- 12:00 0.08 0.12 1.59 0.03 0.06
 -------- 13:00 0.08 0.12 1.57 0.03 0.05
 -------- 14:00 0.08 0.14 1.56 0.03 0.05
 -------- 15:00 0.09 0.14 1.56 0.03 0.05
 13.01.13 16:00 0.08 0.16 1.55 0.03 0.05
 -------- 17:00 0.10 0.19 1.56 0.02 0.06
 -------- 18:00 0.09 0.20 1.55 0.02 0.05
 -------- 19:00 0.08 0.15 1.52 0.01 0.04
 -------- 20:00 0.10 0.17 1.54 0.02 0.05
 13.01.13 21:00 0.08 0.17 1.54 0.01 0.04
 -------- 22:00 0.08 0.18 1.55 0.02 0.04
 -------- 23:00 0.08 0.19 1.55 0.01 0.04
