 Date Time CO NO2 CHX NO PM10
 11.01.13 00:00 0.06 0.26 1.47 0.04 0.04
 -------- 01:00 0.06 0.22 1.47 0.03 0.04
 -------- 02:00 0.06 0.27 1.50 0.03 0.04
 -------- 03:00 0.05 0.23 1.47 0.01 0.03
 -------- 04:00 0.04 0.18 1.46 0.01 0.03
 11.01.13 05:00 0.04 0.15 1.46 0.01 0.03
 -------- 06:00 0.05 0.18 1.50 0.01 0.03
 -------- 07:00 0.06 0.21 1.53 0.02 0.04
 -------- 08:00 0.08 0.26 1.55 0.03 0.04
 -------- 09:00 0.07 0.23 1.48 0.02 0.04
 11.01.13 10:00 0.08 0.27 1.55 0.04 0.08
 -------- 11:00 0.09 0.27 1.54 0.06 0.05
 -------- 12:00 0.08 0.22 1.51 0.06 0.09
 -------- 13:00 0.10 0.26 1.57 0.10 0.05
 -------- 14:00 0.13 0.27 1.73 0.16 0.07
 11.01.13 15:00 0.15 0.26 1.88 0.13 0.09
 -------- 16:00 0.15 0.28 1.77 0.14 0.09
 -------- 17:00 0.14 0.26 1.90 0.09 0.09
 -------- 18:00 0.13 0.25 1.96 0.06 0.07
 -------- 19:00 0.14 0.25 1.91 0.07 0.06
 11.01.13 20:00 0.14 0.24 1.76 0.07 0.06
 -------- 21:00 0.14 0.23 1.78 0.07 0.06
 -------- 22:00 0.14 0.21 1.74 0.06 0.05
 -------- 23:00 0.11 0.20 1.74 0.05 0.05
 -------- 00:00 0.10 0.20 1.72 0.05 0.05
 12.01.13 01:00 0.09 0.19 1.71 0.03 0.05
 -------- 02:00 0.08 0.15 1.90 0.02 0.05
 -------- 03:00 0.08 0.19 1.80 0.02 0.06
 -------- 04:00 0.08 0.18 1.73 0.01 0.06
 -------- 05:00 0.08 0.17 1.83 0.01 0.06
 12.01.13 06:00 0.08 0.19 1.81 0.02 0.07
 -------- 07:00 0.09 0.21 1.69 0.04 0.06
 -------- 08:00 0.10 0.22 1.87 0.05 0.07
 -------- 09:00 0.13 0.23 1.92 0.08 0.07
 -------- 10:00 0.13 0.23 1.74 0.10 0.08
 12.01.13 11:00 0.13 0.23 1.72 0.12 0.08
 -------- 12:00 0.15 0.23 1.74 0.12 0.08
 -------- 13:00 0.17 0.24 1.77 0.16 0.08
 -------- 14:00 0.19 0.26 1.82 0.19 0.09
 -------- 15:00 0.21 0.27 1.83 0.21 0.09
 12.01.13 16:00 0.22 0.28 1.84 0.22 0.10
 -------- 17:00 0.22 0.28 1.86 0.21 0.10
 -------- 18:00 0.22 0.29 1.88 0.22 0.10
 -------- 19:00 0.22 0.27 1.98 0.25 0.10
 -------- 20:00 0.23 0.28 2.02 0.27 0.10
 12.01.13 21:00 0.27 0.28 2.05 0.36 0.12
 -------- 22:00 0.29 0.29 2.09 0.35 0.12
 -------- 23:00 0.27 0.28 2.04 0.31 0.11
