 Date Time CO NO2 CHX NO PM10
 04.01.13 00:00 0.06 0.11 1.52 0.01 ----
 -------- 01:00 0.06 0.11 1.49 0.01 ----
 -------- 02:00 0.05 0.10 1.49 0.01 ----
 -------- 03:00 0.04 0.06 1.48 0.00 ----
 -------- 04:00 0.04 0.07 1.48 0.01 ----
 04.01.13 05:00 0.04 0.07 1.49 0.01 ----
 -------- 06:00 0.05 0.07 1.48 0.01 ----
 -------- 07:00 0.04 0.09 1.48 0.01 ----
 -------- 08:00 0.04 0.10 1.47 0.01 ----
 -------- 09:00 0.04 0.13 1.48 0.01 ----
 04.01.13 10:00 0.06 0.17 1.51 0.02 ----
 -------- 11:00 0.07 0.16 1.51 0.02 ----
 -------- 12:00 0.06 0.17 1.53 0.04 ----
 -------- 13:00 0.07 0.18 1.54 0.05 ----
 -------- 14:00 0.07 0.17 1.52 0.04 ----
 04.01.13 15:00 0.06 0.17 1.50 0.02 ----
 -------- 16:00 0.08 0.19 1.51 0.05 ----
 -------- 17:00 0.08 0.21 1.53 0.04 ----
 -------- 18:00 0.09 0.22 1.54 0.04 ----
 -------- 19:00 0.10 0.22 1.57 0.08 ----
 04.01.13 20:00 0.10 0.23 1.58 0.09 ----
 -------- 21:00 0.09 0.23 1.55 0.04 ----
 -------- 22:00 0.10 0.22 1.58 0.08 ----
 -------- 23:00 0.11 0.21 1.60 0.10 ----
 -------- 00:00 0.10 0.21 1.58 0.10 ----
 05.01.13 01:00 0.12 0.20 1.61 0.10 ----
 -------- 02:00 0.11 0.20 1.62 0.10 ----
 -------- 03:00 0.09 0.20 1.58 0.07 ----
 -------- 04:00 0.10 0.20 1.64 0.10 ----
 -------- 05:00 0.09 0.18 1.64 0.10 ----
 05.01.13 06:00 0.08 0.19 1.61 0.05 ----
 -------- 07:00 0.07 0.21 1.58 0.03 ----
 -------- 08:00 0.08 0.20 1.62 0.03 ----
 -------- 09:00 0.07 0.19 1.69 0.04 ----
 -------- 10:00 0.09 0.22 1.76 0.06 ----
 05.01.13 11:00 0.09 0.21 1.64 0.04 ----
 -------- 12:00 0.06 0.19 1.54 0.02 ----
 -------- 13:00 0.07 0.20 1.54 0.03 ----
 -------- 14:00 0.08 0.21 1.63 0.05 ----
 -------- 15:00 0.09 0.21 1.64 0.06 ----
 05.01.13 16:00 0.07 0.19 1.54 0.03 ----
 -------- 17:00 0.06 0.17 1.48 0.02 ----
 -------- 18:00 0.04 0.12 1.47 0.01 ----
 -------- 19:00 0.05 0.12 1.48 0.01 ----
 -------- 20:00 0.06 0.16 1.52 0.01 ----
 05.01.13 21:00 0.06 0.16 1.62 0.01 ----
 -------- 22:00 0.06 0.16 1.51 0.02 ----
 -------- 23:00 0.06 0.17 1.49 0.02 ----
