 Date Time CO NO2 CHX NO PM10
 26.12.12 00:00 0.10 0.21 1.54 0.02 0.06
 -------- 01:00 0.09 0.13 1.51 0.01 0.05
 -------- 02:00 0.07 0.08 1.46 0.01 0.04
 -------- 03:00 0.06 0.10 1.47 0.02 0.05
 -------- 04:00 0.06 0.09 1.48 0.01 0.05
 26.12.12 05:00 0.06 0.09 1.51 0.01 0.06
 -------- 06:00 0.07 0.12 1.54 0.01 0.06
 -------- 07:00 0.08 0.17 1.57 0.02 0.07
 -------- 08:00 0.10 0.25 1.85 0.08 0.07
 -------- 09:00 0.12 0.24 1.80 0.06 0.06
 26.12.12 10:00 0.13 0.24 1.81 0.07 0.05
 -------- 11:00 0.12 0.22 1.82 0.04 0.05
 -------- 12:00 0.09 0.18 1.63 0.03 0.04
 -------- 13:00 0.08 0.19 2.08 0.04 0.03
 -------- 14:00 0.07 0.19 2.12 0.04 0.05
 26.12.12 15:00 0.11 0.19 1.69 0.04 0.06
 -------- 16:00 0.06 0.18 1.62 0.03 0.06
 -------- 17:00 0.07 0.18 1.58 0.03 0.07
 -------- 18:00 0.08 0.21 1.59 0.03 0.07
 -------- 19:00 0.06 0.20 1.57 0.02 0.06
 26.12.12 20:00 0.07 0.23 1.56 0.02 0.05
 -------- 21:00 0.07 0.19 1.64 0.02 0.04
 -------- 22:00 0.06 0.16 1.51 0.01 0.02
 -------- 23:00 0.06 0.18 1.51 0.02 0.03
 -------- 00:00 0.06 0.15 1.48 0.01 0.02
 27.12.12 01:00 0.06 0.13 1.46 0.02 0.02
 -------- 02:00 0.05 0.10 1.45 0.00 0.02
 -------- 03:00 0.05 0.07 1.44 0.01 0.02
 -------- 04:00 0.06 0.12 1.46 0.01 0.02
 -------- 05:00 0.06 0.19 1.54 0.02 0.02
 27.12.12 06:00 0.06 0.16 1.49 0.01 0.01
 -------- 07:00 0.07 0.16 1.49 0.01 0.02
 -------- 08:00 0.09 0.17 1.50 0.02 0.03
 -------- 09:00 0.10 0.19 1.53 0.05 0.04
 -------- 10:00 0.10 0.23 1.52 0.04 0.05
 27.12.12 11:00 0.12 0.24 1.53 0.06 0.04
 -------- 12:00 0.11 0.23 1.53 0.07 0.04
 -------- 13:00 0.12 0.24 1.53 0.09 0.03
 -------- 14:00 0.13 0.25 1.56 0.13 0.04
 -------- 15:00 0.16 0.25 1.87 0.12 0.05
 27.12.12 16:00 0.17 0.25 1.74 0.14 0.03
 -------- 17:00 0.22 0.26 1.73 0.19 0.06
 -------- 18:00 0.23 0.27 1.75 0.23 0.05
 -------- 19:00 0.23 0.29 1.79 0.31 0.06
 -------- 20:00 0.17 0.28 1.74 0.31 0.05
 27.12.12 21:00 0.13 0.23 1.67 0.18 0.05
 -------- 22:00 0.05 0.19 1.61 0.08 0.04
 -------- 23:00 0.03 0.18 1.55 0.03 0.03
