 Date Time CO NO2 CHX NO PM10
 07.12.12 00:00 0.06 0.20 1.49 0.02 0.04
 -------- 01:00 0.05 0.16 1.49 0.02 0.03
 -------- 02:00 0.04 0.10 1.46 0.01 0.02
 -------- 03:00 0.03 0.07 1.46 0.01 0.02
 -------- 04:00 0.03 0.10 1.47 0.01 0.02
 07.12.12 05:00 0.04 0.09 1.47 0.01 0.02
 -------- 06:00 0.05 0.14 1.48 0.01 0.02
 -------- 07:00 0.05 0.17 1.51 0.02 0.02
 -------- 08:00 0.07 0.17 1.52 0.03 0.02
 -------- 09:00 0.06 0.21 1.51 0.07 0.03
 07.12.12 10:00 0.07 0.22 1.52 0.07 0.05
 -------- 11:00 0.06 0.20 1.49 0.06 0.04
 -------- 12:00 0.06 0.16 1.48 0.03 0.04
 -------- 13:00 0.05 0.17 1.48 0.03 0.03
 -------- 14:00 0.06 0.18 1.48 0.04 0.04
 07.12.12 15:00 0.08 0.20 1.51 0.10 0.05
 -------- 16:00 0.09 0.21 1.60 0.13 0.05
 -------- 17:00 0.10 0.20 1.60 0.11 0.06
 -------- 18:00 0.09 0.21 1.58 0.10 0.05
 -------- 19:00 0.09 0.20 1.59 0.09 0.06
 07.12.12 20:00 0.10 0.18 1.65 0.09 0.04
 -------- 21:00 0.09 0.18 1.60 0.06 0.04
 -------- 22:00 0.09 0.18 1.65 0.08 0.04
 -------- 23:00 0.09 0.14 1.67 0.10 0.05
 -------- 00:00 0.07 0.17 1.79 0.06 0.05
 08.12.12 01:00 0.07 0.15 1.86 0.03 0.04
 -------- 02:00 0.07 0.16 1.74 0.03 0.04
 -------- 03:00 0.08 0.19 1.75 0.05 0.05
 -------- 04:00 0.06 0.18 1.78 0.04 0.06
 -------- 05:00 0.06 0.16 1.79 0.04 0.05
 08.12.12 06:00 0.06 0.18 1.78 0.06 0.04
 -------- 07:00 0.11 0.18 1.82 0.06 0.04
 -------- 08:00 0.08 0.15 1.83 0.08 0.03
 -------- 09:00 0.09 0.14 1.84 0.11 0.04
 -------- 10:00 0.11 0.15 1.94 0.15 0.07
 08.12.12 11:00 0.13 0.17 2.01 0.16 0.08
 -------- 12:00 0.13 0.17 1.90 0.19 0.08
 -------- 13:00 0.14 0.17 1.75 0.20 0.09
 -------- 14:00 0.13 0.15 1.69 0.16 0.07
 -------- 15:00 0.12 0.14 1.68 0.16 0.08
 08.12.12 16:00 0.11 0.14 1.69 0.15 0.09
 -------- 17:00 0.12 0.16 1.73 0.18 0.09
 -------- 18:00 0.10 0.14 1.69 0.15 0.07
 -------- 19:00 0.09 0.12 1.67 0.14 0.06
 -------- 20:00 0.11 0.12 1.66 0.14 0.06
 08.12.12 21:00 0.11 0.12 1.71 0.12 0.09
 -------- 22:00 0.11 0.12 1.72 0.15 0.09
 -------- 23:00 0.12 0.13 1.76 0.17 0.09
