 Date Time CO NO2 CHX NO PM10
 02.02.13 00:00 0.09 0.21 1.60 0.03 0.06
 -------- 01:00 0.07 0.17 1.55 0.01 0.05
 -------- 02:00 0.05 0.18 1.64 0.03 0.04
 -------- 03:00 0.05 0.12 1.51 0.01 0.03
 -------- 04:00 0.04 0.14 1.54 0.01 0.03
 02.02.13 05:00 0.04 0.12 1.50 0.01 0.02
 -------- 06:00 0.05 0.15 1.56 0.02 0.02
 -------- 07:00 0.04 0.18 1.55 0.02 0.02
 -------- 08:00 0.06 0.15 1.49 0.02 0.02
 -------- 09:00 0.05 0.16 1.50 0.01 0.04
 02.02.13 10:00 0.08 0.24 1.55 0.06 0.14
 -------- 11:00 0.09 0.25 1.56 0.66 0.08
 -------- 12:00 0.07 0.17 1.54 0.03 0.05
 -------- 13:00 0.07 0.15 1.51 0.03 0.04
 -------- 14:00 0.06 0.14 1.52 0.02 0.04
 02.02.13 15:00 0.07 0.15 1.52 0.03 0.04
 -------- 16:00 0.08 0.18 1.54 0.03 0.05
 -------- 17:00 0.10 0.20 1.55 0.02 0.05
 -------- 18:00 0.11 0.29 1.64 0.08 0.06
 -------- 19:00 0.08 0.26 1.57 0.03 0.04
 02.02.13 20:00 0.08 0.23 1.57 0.02 0.04
 -------- 21:00 0.09 0.25 1.61 0.04 0.04
 -------- 22:00 0.08 0.22 1.58 0.03 0.04
 -------- 23:00 0.07 0.21 1.60 0.02 0.03
 -------- 00:00 0.09 0.23 1.62 0.04 0.04
 03.02.13 01:00 0.06 0.22 1.53 0.02 0.04
 -------- 02:00 0.11 0.25 1.64 0.07 0.07
 -------- 03:00 0.08 0.24 1.83 0.04 0.07
 -------- 04:00 0.07 0.20 1.60 0.01 0.05
 -------- 05:00 0.06 0.20 1.58 0.01 0.05
 03.02.13 06:00 0.06 0.19 1.57 0.01 0.04
 -------- 07:00 0.06 0.17 1.53 0.01 0.03
 -------- 08:00 0.07 0.11 1.49 0.01 0.03
 -------- 09:00 0.07 0.17 1.53 0.01 0.04
 -------- 10:00 0.07 0.18 1.52 0.01 0.04
 03.02.13 11:00 0.06 0.18 1.51 0.01 0.04
 -------- 12:00 0.06 0.14 1.48 0.01 0.04
 -------- 13:00 0.06 0.14 1.48 0.01 0.03
 -------- 14:00 0.05 0.14 1.48 0.01 0.02
 -------- 15:00 0.05 0.12 1.47 0.01 0.02
 03.02.13 16:00 0.07 0.17 1.49 0.04 0.03
 -------- 17:00 0.06 0.14 1.48 0.01 0.03
 -------- 18:00 0.07 0.16 1.49 0.01 0.03
 -------- 19:00 0.07 0.20 1.51 0.01 0.03
 -------- 20:00 0.08 0.26 1.51 0.02 0.03
 03.02.13 21:00 0.07 0.23 1.51 0.01 0.03
 -------- 22:00 0.06 0.19 1.51 0.01 0.03
 -------- 23:00 0.08 0.24 1.53 0.01 0.03
 -------- 00:00 0.08 0.24 1.54 0.02 0.03
