 Date Time CO NO2 NO
 25.09.12 12:00 0.09 0.03 0.03
 -------- 13:00 0.08 0.04 0.03
 -------- 14:00 0.06 0.04 0.03
 -------- 15:00 0.06 0.04 0.03
 -------- 16:00 0.07 0.04 0.03
 25.09.12 17:00 0.11 0.05 0.03
 -------- 18:00 0.10 0.05 0.03
 -------- 19:00 0.10 0.06 0.03
 -------- 20:00 0.09 0.05 0.03
 -------- 21:00 0.11 0.05 0.03
 25.09.12 22:00 0.11 0.05 0.03
 -------- 23:00 0.08 0.04 0.03
 -------- 00:00 0.06 0.03 0.02
 -------- 01:00 0.06 0.03 0.02
 -------- 02:00 0.04 0.02 0.02
 26.09.12 03:00 0.04 0.03 0.02
 -------- 04:00 0.04 0.02 0.02
 -------- 05:00 0.04 0.03 0.02
 -------- 06:00 0.07 0.04 0.03
 -------- 07:00 0.10 0.05 0.05
 26.09.12 08:00 0.15 0.04 0.08
 -------- 09:00 0.14 0.05 0.07
 -------- 10:00 0.11 0.04 0.06
 -------- 11:00 0.09 0.04 0.05
 -------- 12:00 0.10 0.04 0.04
 26.09.12 13:00 0.12 0.06 0.04
 -------- 14:00 0.11 0.05 0.04
 -------- 15:00 0.09 0.05 0.04
 -------- 16:00 0.09 0.04 0.04
 -------- 17:00 0.07 0.05 0.04
 26.09.12 18:00 0.15 0.08 0.05
 -------- 19:00 0.15 0.08 0.05
 -------- 20:00 0.16 0.08 0.05
 -------- 21:00 0.17 0.08 0.05
 -------- 22:00 0.17 0.07 0.06
 26.09.12 23:00 0.17 0.07 0.06
 -------- 00:00 0.29 0.06 0.11
 -------- 01:00 0.22 0.06 0.08
 -------- 02:00 0.20 0.06 0.11
 -------- 03:00 0.20 0.05 0.09
 27.09.12 04:00 0.18 0.05 0.12
 -------- 05:00 0.23 0.05 0.12
 -------- 06:00 0.21 0.06 0.12
 -------- 07:00 0.33 0.06 0.19
 -------- 08:00 0.24 0.07 0.13
 27.09.12 09:00 0.18 0.06 0.12
 -------- 10:00 0.12 0.06 0.06
 -------- 11:00 0.09 0.06 0.06
