 Date Time CO NO2 NO
 29.04.13 00:00 0.05 0.12 0.05
 -------- 01:00 0.04 0.09 0.05
 -------- 02:00 0.03 0.08 0.05
 -------- 03:00 0.02 0.07 0.05
 -------- 04:00 0.02 0.09 0.05
 29.04.13 05:00 0.02 0.11 0.06
 -------- 06:00 0.06 0.22 0.09
 -------- 07:00 0.07 0.15 0.07
 -------- 08:00 0.08 0.16 0.09
 -------- 09:00 0.09 0.15 0.08
 29.04.13 10:00 0.08 0.10 0.07
 -------- 11:00 0.09 0.06 0.05
 -------- 12:00 0.06 0.02 0.02
 -------- 13:00 0.07 0.02 0.02
 -------- 14:00 0.07 0.01 0.02
 29.04.13 15:00 0.07 0.06 0.06
 -------- 16:00 0.04 0.05 0.03
 -------- 17:00 0.05 0.02 0.02
 -------- 18:00 0.06 0.02 0.02
 -------- 19:00 0.05 0.03 0.02
 29.04.13 20:00 0.07 0.07 0.04
 -------- 21:00 0.19 0.10 0.03
 -------- 22:00 0.25 0.20 0.06
 -------- 23:00 0.13 0.15 0.04
 -------- 00:00 0.13 0.20 0.05
 30.04.13 01:00 0.15 0.20 0.06
 -------- 02:00 0.11 0.20 0.06
 -------- 03:00 0.07 0.15 0.04
 -------- 04:00 0.03 0.06 0.04
 -------- 05:00 0.02 0.04 0.04
 30.04.13 06:00 0.02 0.05 0.04
 -------- 07:00 0.03 0.06 0.05
 -------- 08:00 0.04 0.06 0.05
 -------- 09:00 0.04 0.06 0.05
 -------- 10:00 0.04 0.05 0.05
 30.04.13 11:00 0.04 0.05 0.04
 -------- 12:00 0.05 0.05 0.04
 -------- 13:00 0.06 0.08 0.03
 -------- 14:00 0.06 0.08 0.03
 -------- 15:00 0.06 0.06 0.04
 30.04.13 16:00 0.06 0.17 0.04
 -------- 17:00 0.09 0.07 0.04
 -------- 18:00 0.07 0.02 0.02
 -------- 19:00 0.06 0.08 0.02
 -------- 20:00 0.07 0.08 0.04
 30.04.13 21:00 0.13 0.11 0.04
 -------- 22:00 0.11 0.07 0.04
 -------- 23:00 0.06 0.13 0.03
