 Date Time CO NO2 NO
 02.02.13 12:00 0.06 0.06 0.08
 -------- 13:00 0.07 0.05 0.08
 -------- 14:00 0.06 0.07 0.07
 -------- 15:00 0.06 0.06 0.08
 -------- 16:00 0.06 0.06 0.08
 02.02.13 17:00 0.07 0.06 0.07
 -------- 18:00 0.07 0.07 0.07
 -------- 19:00 0.07 0.08 0.07
 -------- 20:00 0.06 0.08 0.08
 -------- 21:00 0.07 0.10 0.07
 02.02.13 22:00 0.08 0.12 0.09
 -------- 23:00 0.09 0.12 0.10
 -------- 00:00 0.06 0.08 0.08
 -------- 01:00 0.07 0.20 0.18
 -------- 02:00 0.07 0.21 0.24
 03.02.13 03:00 0.06 0.05 0.06
 -------- 04:00 0.05 0.02 0.05
 -------- 05:00 0.04 0.03 0.05
 -------- 06:00 0.04 0.02 0.05
 -------- 07:00 0.04 0.02 0.05
 03.02.13 08:00 0.04 0.02 0.06
 -------- 09:00 0.04 0.02 0.06
 -------- 10:00 0.04 0.02 0.06
 -------- 11:00 0.04 0.02 0.06
 -------- 12:00 0.04 0.03 0.06
 03.02.13 13:00 0.04 0.02 0.06
 -------- 14:00 0.04 0.02 0.06
 -------- 15:00 0.04 0.02 0.05
 -------- 16:00 0.04 0.02 0.05
 -------- 17:00 0.05 0.02 0.05
 03.02.13 18:00 0.05 0.03 0.06
 -------- 19:00 0.06 0.03 0.06
 -------- 20:00 0.06 0.04 0.06
 -------- 21:00 0.07 0.05 0.06
 -------- 22:00 0.06 0.05 0.06
 03.02.13 23:00 0.06 0.03 0.05
 -------- 00:00 0.07 0.03 0.06
 -------- 01:00 0.05 0.03 0.05
 -------- 02:00 0.04 0.03 0.05
 -------- 03:00 0.04 0.03 0.05
 04.02.13 04:00 0.04 0.03 0.06
 -------- 05:00 0.05 0.03 0.05
 -------- 06:00 0.17 0.10 0.10
 -------- 07:00 0.18 0.13 0.12
 -------- 08:00 ---- 0.11 0.10
 04.02.13 09:00 ---- 0.17 0.19
 -------- 10:00 ---- 0.19 0.26
 -------- 11:00 ---- 0.20 0.27
