 Date Time CO NO2 NO
 25.02.13 12:00 ---- 0.12 0.08
 -------- 13:00 ---- 0.08 0.07
 -------- 14:00 ---- 0.08 0.07
 -------- 15:00 ---- 0.10 0.07
 -------- 16:00 ---- 0.06 0.06
 25.02.13 17:00 ---- 0.09 0.06
 -------- 18:00 ---- 0.14 0.08
 -------- 19:00 ---- 0.11 0.06
 -------- 20:00 ---- 0.19 0.06
 -------- 21:00 ---- 0.14 0.07
 25.02.13 22:00 ---- 0.09 0.06
 -------- 23:00 ---- 0.10 0.05
 -------- 00:00 ---- 0.10 0.05
 -------- 01:00 ---- 0.11 0.06
 -------- 02:00 ---- 0.11 0.06
 26.02.13 03:00 ---- 0.08 0.05
 -------- 04:00 ---- 0.09 0.05
 -------- 05:00 ---- 0.10 0.05
 -------- 06:00 ---- 0.18 0.07
 -------- 07:00 0.08 0.22 0.08
 26.02.13 08:00 0.12 0.26 0.09
 -------- 09:00 0.11 0.25 0.09
 -------- 10:00 0.11 0.20 0.09
 -------- 11:00 0.12 0.21 0.10
 -------- 12:00 0.11 0.18 0.10
 26.02.13 13:00 0.08 0.14 0.08
 -------- 14:00 0.07 0.13 0.08
 -------- 15:00 0.07 0.09 0.07
 -------- 16:00 0.05 0.07 0.06
 -------- 17:00 0.06 0.10 0.06
 26.02.13 18:00 0.07 0.13 0.06
 -------- 19:00 0.07 0.15 0.05
 -------- 20:00 0.06 0.11 0.05
 -------- 21:00 0.06 0.11 0.05
 -------- 22:00 0.06 0.10 0.05
 26.02.13 23:00 0.06 0.10 0.05
 -------- 00:00 0.05 0.07 0.05
 -------- 01:00 0.04 0.05 0.05
 -------- 02:00 0.04 0.06 0.05
 -------- 03:00 0.04 0.04 0.05
 27.02.13 04:00 0.04 0.03 0.05
 -------- 05:00 0.05 0.03 0.05
 -------- 06:00 0.05 0.05 0.06
 -------- 07:00 0.07 0.08 0.07
 -------- 08:00 0.08 0.10 0.07
 27.02.13 09:00 0.09 0.12 0.07
 -------- 10:00 0.09 0.12 0.08
 -------- 11:00 0.09 0.11 0.09
