 Date Time CO NO2 NO
 09.05.13 00:00 0.28 0.40 0.13
 -------- 01:00 0.30 0.40 0.16
 -------- 02:00 0.33 0.48 0.24
 -------- 03:00 0.21 0.40 0.14
 -------- 04:00 0.12 0.30 0.07
 09.05.13 05:00 0.10 0.25 0.09
 -------- 06:00 0.13 0.19 0.06
 -------- 07:00 0.08 0.12 0.04
 -------- 08:00 0.07 0.13 0.05
 -------- 09:00 0.05 0.10 0.05
 09.05.13 10:00 0.04 0.08 0.05
 -------- 11:00 0.04 0.07 0.04
 -------- 12:00 0.05 0.06 0.05
 -------- 13:00 0.06 0.26 0.02
 -------- 14:00 0.05 0.19 0.02
 09.05.13 15:00 0.05 0.11 0.02
 -------- 16:00 0.05 0.10 0.03
 -------- 17:00 0.04 0.14 0.03
 -------- 18:00 0.04 0.12 0.05
 -------- 19:00 0.04 0.03 0.02
 09.05.13 20:00 0.07 0.14 0.03
 -------- 21:00 0.21 0.27 0.05
 -------- 22:00 0.19 0.30 0.09
 -------- 23:00 0.27 0.33 0.12
 -------- 00:00 0.18 0.29 0.09
 10.05.13 01:00 0.11 0.29 0.08
 -------- 02:00 0.11 0.22 0.10
 -------- 03:00 0.04 0.03 0.04
 -------- 04:00 0.04 0.03 0.04
 -------- 05:00 0.02 0.04 0.04
 10.05.13 06:00 0.02 0.05 0.04
 -------- 07:00 0.03 0.04 0.04
 -------- 08:00 0.04 0.05 0.04
 -------- 09:00 0.04 0.06 0.04
 -------- 10:00 0.04 0.06 0.04
 10.05.13 11:00 0.04 0.04 0.03
 -------- 12:00 0.04 0.09 0.02
 -------- 13:00 0.04 0.02 0.02
 -------- 14:00 0.05 0.02 0.02
 -------- 15:00 0.06 0.02 0.02
 10.05.13 16:00 0.06 0.01 0.02
 -------- 17:00 0.06 0.02 0.02
 -------- 18:00 0.07 0.01 0.02
 -------- 19:00 0.07 0.02 0.02
 -------- 20:00 0.09 0.02 0.02
 10.05.13 21:00 0.10 0.15 0.02
 -------- 22:00 0.07 0.05 0.04
 -------- 23:00 0.08 0.07 0.02
