 Date Time CO NO2 NO
 01.02.13 00:00 0.06 0.03 0.06
 -------- 01:00 0.06 0.04 0.05
 -------- 02:00 0.05 0.03 0.05
 -------- 03:00 0.05 0.03 0.05
 -------- 04:00 0.06 0.04 0.05
 01.02.13 05:00 0.06 0.04 0.05
 -------- 06:00 0.06 0.04 0.05
 -------- 07:00 0.07 0.05 0.06
 -------- 08:00 0.07 0.06 0.06
 -------- 09:00 0.07 0.07 0.06
 01.02.13 10:00 0.08 0.07 0.06
 -------- 11:00 0.08 0.07 0.08
 -------- 12:00 0.09 0.07 0.08
 -------- 13:00 0.08 0.06 0.07
 -------- 14:00 0.06 0.05 0.06
 01.02.13 15:00 0.06 0.05 0.06
 -------- 16:00 0.08 0.07 0.06
 -------- 17:00 0.08 0.07 0.06
 -------- 18:00 0.08 0.09 0.06
 -------- 19:00 0.09 0.09 0.06
 01.02.13 20:00 0.09 0.10 0.06
 -------- 21:00 0.11 0.10 0.06
 -------- 22:00 0.10 0.10 0.07
 -------- 23:00 0.08 0.07 0.06
 -------- 00:00 0.07 0.04 0.06
 02.02.13 01:00 0.06 0.05 0.06
 -------- 02:00 0.06 0.05 0.06
 -------- 03:00 0.06 0.05 0.05
 -------- 04:00 0.05 0.05 0.06
 -------- 05:00 0.05 0.05 0.06
 02.02.13 06:00 0.04 0.06 0.06
 -------- 07:00 0.04 0.08 0.06
 -------- 08:00 0.05 0.05 0.06
 -------- 09:00 0.06 0.07 0.07
 -------- 10:00 0.05 0.06 0.07
 02.02.13 11:00 0.06 0.06 0.07
 -------- 12:00 0.07 0.07 0.08
 -------- 13:00 0.07 0.05 0.08
 -------- 14:00 0.06 0.07 0.07
 -------- 15:00 0.06 0.06 0.08
 02.02.13 16:00 0.06 0.06 0.08
 -------- 17:00 0.07 0.06 0.07
 -------- 18:00 0.07 0.07 0.07
 -------- 19:00 0.07 0.08 0.07
 -------- 20:00 0.06 0.08 0.08
 02.02.13 21:00 0.07 0.10 0.07
 -------- 22:00 0.08 0.12 0.09
 -------- 23:00 0.09 0.12 0.10
