 Date Time CO NO2 NO
 21.11.12 12:00 0.10 0.33 0.09
 -------- 13:00 0.10 0.35 0.12
 -------- 14:00 0.11 0.34 0.13
 -------- 15:00 0.10 0.33 0.11
 -------- 16:00 0.12 0.34 0.11
 21.11.12 17:00 0.11 0.36 0.09
 -------- 18:00 0.09 0.36 0.07
 -------- 19:00 0.09 0.36 0.08
 -------- 20:00 0.08 0.33 0.05
 -------- 21:00 0.08 0.33 0.05
 21.11.12 22:00 0.09 0.33 0.04
 -------- 23:00 0.06 0.32 0.04
 -------- 00:00 0.07 0.31 0.04
 -------- 01:00 0.05 0.27 0.03
 -------- 02:00 0.06 0.29 0.03
 22.11.12 03:00 0.06 0.28 0.03
 -------- 04:00 0.06 0.29 0.05
 -------- 05:00 0.06 0.27 0.04
 -------- 06:00 0.06 0.29 0.06
 -------- 07:00 0.11 0.36 0.12
 22.11.12 08:00 0.12 0.35 0.15
 -------- 09:00 0.12 0.35 0.13
 -------- 10:00 0.11 0.34 0.13
 -------- 11:00 0.11 0.36 0.12
 -------- 12:00 0.10 0.40 0.12
 22.11.12 13:00 0.07 0.33 0.06
 -------- 14:00 0.06 0.30 0.04
 -------- 15:00 0.07 0.28 0.05
 -------- 16:00 0.07 0.33 0.04
 -------- 17:00 0.08 0.40 0.05
 22.11.12 18:00 0.08 0.39 0.04
 -------- 19:00 0.07 0.41 0.04
 -------- 20:00 0.07 0.39 0.05
 -------- 21:00 0.07 0.35 0.04
 -------- 22:00 0.07 0.33 0.03
 22.11.12 23:00 0.07 0.33 0.03
 -------- 00:00 0.05 0.34 0.02
 -------- 01:00 0.04 0.28 0.01
 -------- 02:00 0.04 0.23 0.01
 -------- 03:00 0.04 0.21 0.01
 23.11.12 04:00 0.04 0.21 0.01
 -------- 05:00 0.04 0.20 0.01
 -------- 06:00 0.04 0.22 0.01
 -------- 07:00 0.05 0.26 0.02
 -------- 08:00 0.08 0.34 0.03
 23.11.12 09:00 0.09 0.32 0.04
 -------- 10:00 0.08 0.27 0.05
 -------- 11:00 0.07 0.27 0.04
