 Date Time CO NO2 NO
 16.04.13 00:00 0.06 0.13 ----
 -------- 01:00 0.03 0.10 0.00
 -------- 02:00 0.02 0.06 ----
 -------- 03:00 0.02 0.05 ----
 -------- 04:00 0.02 0.06 0.00
 16.04.13 05:00 0.02 0.09 0.01
 -------- 06:00 0.03 0.18 0.01
 -------- 07:00 0.06 0.19 0.01
 -------- 08:00 0.10 0.20 0.01
 -------- 09:00 0.09 0.17 0.02
 16.04.13 10:00 0.13 0.23 0.02
 -------- 11:00 0.15 0.03 ----
 -------- 12:00 0.13 0.01 ----
 -------- 13:00 0.11 0.01 ----
 -------- 14:00 0.11 0.01 ----
 16.04.13 15:00 0.10 0.02 ----
 -------- 16:00 0.10 0.01 ----
 -------- 17:00 0.09 0.07 0.02
 -------- 18:00 0.06 0.10 0.02
 -------- 19:00 0.05 0.09 0.01
 16.04.13 20:00 0.04 0.10 0.01
 -------- 21:00 0.06 0.14 0.01
 -------- 22:00 0.07 0.16 0.00
 -------- 23:00 0.20 0.32 0.06
 -------- 00:00 0.22 0.38 0.10
 17.04.13 01:00 0.13 0.34 0.04
 -------- 02:00 0.07 0.21 0.00
 -------- 03:00 0.07 0.18 0.00
 -------- 04:00 0.06 0.13 ----
 -------- 05:00 0.07 0.18 0.01
 17.04.13 06:00 0.11 0.24 0.03
 -------- 07:00 0.13 0.22 0.03
 -------- 08:00 0.13 0.19 0.02
 -------- 09:00 0.14 0.25 0.04
 -------- 10:00 0.13 0.20 0.03
 17.04.13 11:00 0.11 0.20 0.04
 -------- 12:00 0.07 0.11 0.02
 -------- 13:00 0.06 0.12 0.02
 -------- 14:00 0.07 0.09 0.01
 -------- 15:00 0.04 0.06 0.01
 17.04.13 16:00 0.04 0.05 0.01
 -------- 17:00 0.05 0.05 0.01
 -------- 18:00 0.06 0.05 0.01
 -------- 19:00 0.05 0.06 0.01
 -------- 20:00 0.15 0.21 0.04
 17.04.13 21:00 0.11 0.15 0.02
 -------- 22:00 0.12 0.15 0.01
 -------- 23:00 0.07 0.08 ----
