 Date Time CO NO2 NO
 10.05.13 12:00 0.04 0.08 0.02
 -------- 13:00 0.04 0.02 0.02
 -------- 14:00 0.05 0.02 0.02
 -------- 15:00 0.06 0.02 0.02
 -------- 16:00 0.06 0.01 0.02
 10.05.13 17:00 0.06 0.02 0.02
 -------- 18:00 0.07 0.01 0.02
 -------- 19:00 0.07 0.02 0.02
 -------- 20:00 0.09 0.02 0.02
 -------- 21:00 0.10 0.15 0.02
 10.05.13 22:00 0.07 0.05 0.04
 -------- 23:00 0.07 0.11 0.02
 -------- 00:00 0.05 0.12 0.05
 -------- 01:00 0.02 0.09 0.04
 -------- 02:00 0.02 0.07 0.04
 11.05.13 03:00 0.02 0.09 0.04
 -------- 04:00 ---- 0.10 0.04
 -------- 05:00 ---- 0.09 0.04
 -------- 06:00 ---- 0.12 0.04
 -------- 07:00 0.05 0.12 0.05
 11.05.13 08:00 0.06 0.12 0.04
 -------- 09:00 0.08 0.14 0.05
 -------- 10:00 0.07 0.11 0.04
 -------- 11:00 0.07 0.08 0.03
 -------- 12:00 0.07 0.07 0.02
 11.05.13 13:00 0.07 0.01 0.02
 -------- 14:00 0.06 0.02 0.02
 -------- 15:00 0.08 0.02 0.02
 -------- 16:00 0.08 0.01 0.02
 -------- 17:00 0.08 0.02 0.02
 11.05.13 18:00 0.03 0.02 0.02
 -------- 19:00 0.03 0.02 0.02
 -------- 20:00 0.05 0.02 0.02
 -------- 21:00 0.12 0.12 0.03
 -------- 22:00 0.17 0.13 0.02
 11.05.13 23:00 0.09 0.15 0.03
 -------- 00:00 0.05 0.15 0.03
 -------- 01:00 0.02 0.07 0.03
 -------- 02:00 0.02 0.09 0.04
 -------- 03:00 0.02 0.14 0.03
 12.05.13 04:00 0.11 0.17 0.05
 -------- 05:00 0.11 0.20 0.05
 -------- 06:00 0.12 0.21 0.06
 -------- 07:00 0.13 0.24 0.08
 -------- 08:00 0.10 0.22 0.06
 12.05.13 09:00 0.09 0.18 0.05
 -------- 10:00 0.09 0.16 0.04
 -------- 11:00 0.09 0.10 0.03
