 Date Time CO NO2 NO
 08.05.13 00:00 0.23 0.26 0.12
 -------- 01:00 0.06 0.10 0.03
 -------- 02:00 0.03 0.09 0.03
 -------- 03:00 0.02 0.11 0.02
 -------- 04:00 0.02 0.06 0.02
 08.05.13 05:00 0.03 0.04 0.03
 -------- 06:00 0.04 0.03 0.03
 -------- 07:00 0.07 0.07 0.03
 -------- 08:00 0.09 0.02 0.02
 -------- 09:00 0.09 0.17 0.05
 08.05.13 10:00 0.09 0.17 0.06
 -------- 11:00 0.07 0.17 0.05
 -------- 12:00 0.05 0.11 0.03
 -------- 13:00 0.05 0.02 0.03
 -------- 14:00 0.06 0.01 0.02
 08.05.13 15:00 0.06 0.02 0.03
 -------- 16:00 0.06 0.08 0.04
 -------- 17:00 0.06 0.09 0.03
 -------- 18:00 0.06 0.07 0.04
 -------- 19:00 0.07 0.13 0.05
 08.05.13 20:00 0.08 0.04 0.06
 -------- 21:00 0.14 0.15 0.06
 -------- 22:00 0.10 0.12 0.05
 -------- 23:00 0.15 0.29 0.07
 -------- 00:00 0.25 0.38 0.11
 09.05.13 01:00 0.30 0.40 0.16
 -------- 02:00 0.33 0.48 0.24
 -------- 03:00 0.21 0.40 0.14
 -------- 04:00 0.12 0.30 0.07
 -------- 05:00 0.10 0.25 0.09
 09.05.13 06:00 0.13 0.19 0.06
 -------- 07:00 0.08 0.12 0.04
 -------- 08:00 0.07 0.13 0.05
 -------- 09:00 0.05 0.10 0.05
 -------- 10:00 0.04 0.08 0.05
 09.05.13 11:00 0.04 0.07 0.04
 -------- 12:00 0.05 0.06 0.05
 -------- 13:00 0.06 0.26 0.02
 -------- 14:00 0.05 0.19 0.02
 -------- 15:00 0.05 0.11 0.02
 09.05.13 16:00 0.05 0.10 0.03
 -------- 17:00 0.04 0.14 0.03
 -------- 18:00 0.04 0.12 0.05
 -------- 19:00 0.04 0.03 0.02
 -------- 20:00 0.07 0.14 0.03
 09.05.13 21:00 0.21 0.27 0.05
 -------- 22:00 0.19 0.30 0.09
 -------- 23:00 0.36 0.31 0.10
