 Date Time CO NO2 NO
 13.03.13 12:00 0.06 0.11 0.04
 -------- 13:00 0.05 0.06 0.04
 -------- 14:00 0.04 0.06 0.04
 -------- 15:00 0.05 0.05 0.03
 -------- 16:00 0.04 0.06 0.03
 13.03.13 17:00 0.05 0.06 0.02
 -------- 18:00 0.05 0.09 0.03
 -------- 19:00 0.07 0.21 0.03
 -------- 20:00 0.12 0.27 0.05
 -------- 21:00 0.09 0.23 0.02
 13.03.13 22:00 0.07 0.16 0.02
 -------- 23:00 0.06 0.14 0.01
 -------- 00:00 0.06 0.18 0.01
 -------- 01:00 0.06 0.21 0.01
 -------- 02:00 0.06 0.19 0.01
 14.03.13 03:00 0.06 0.17 0.01
 -------- 04:00 0.06 0.18 0.01
 -------- 05:00 0.06 0.09 0.01
 -------- 06:00 0.07 0.17 0.02
 -------- 07:00 0.11 0.27 0.04
 14.03.13 08:00 0.12 0.29 0.05
 -------- 09:00 0.12 0.26 0.06
 -------- 10:00 0.12 0.28 0.07
 -------- 11:00 0.11 0.25 0.06
 -------- 12:00 0.09 0.14 0.04
 14.03.13 13:00 0.08 0.13 0.04
 -------- 14:00 0.08 0.11 0.05
 -------- 15:00 0.09 0.14 0.05
 -------- 16:00 0.10 0.17 0.06
 -------- 17:00 0.07 0.08 0.03
 14.03.13 18:00 0.07 0.09 0.03
 -------- 19:00 0.08 0.07 0.03
 -------- 20:00 0.06 0.07 0.02
 -------- 21:00 0.08 0.07 0.02
 -------- 22:00 0.07 0.08 0.02
 14.03.13 23:00 0.06 0.07 0.02
 -------- 00:00 0.07 0.08 0.02
 -------- 01:00 0.06 0.11 0.02
 -------- 02:00 0.06 0.10 0.02
 -------- 03:00 0.06 0.08 0.02
 15.03.13 04:00 0.06 0.05 0.02
 -------- 05:00 0.06 0.04 0.02
 -------- 06:00 0.06 0.05 0.02
 -------- 07:00 0.11 0.20 0.07
 -------- 08:00 0.11 0.21 0.09
 15.03.13 09:00 0.10 0.19 0.07
 -------- 10:00 0.14 0.24 0.11
 -------- 11:00 0.15 0.24 0.14
