 Date Time CO NO2 NO
 18.04.13 00:00 0.04 0.04 ----
 -------- 01:00 0.04 0.07 ----
 -------- 02:00 0.04 0.05 ----
 -------- 03:00 0.04 0.04 ----
 -------- 04:00 0.04 0.07 0.01
 18.04.13 05:00 0.04 0.07 ----
 -------- 06:00 0.03 0.07 ----
 -------- 07:00 0.05 0.10 0.00
 -------- 08:00 0.07 0.13 0.01
 -------- 09:00 0.07 0.13 0.00
 18.04.13 10:00 0.07 0.10 0.01
 -------- 11:00 0.07 0.13 0.01
 -------- 12:00 0.06 0.13 0.02
 -------- 13:00 0.05 0.11 0.02
 -------- 14:00 0.04 0.06 0.01
 18.04.13 15:00 0.04 0.06 0.01
 -------- 16:00 0.03 0.06 0.01
 -------- 17:00 0.05 0.07 0.01
 -------- 18:00 0.05 0.07 0.01
 -------- 19:00 0.07 0.09 0.01
 18.04.13 20:00 0.09 0.12 0.01
 -------- 21:00 0.18 0.29 0.03
 -------- 22:00 0.15 0.20 0.02
 -------- 23:00 0.11 0.13 0.00
 -------- 00:00 0.08 0.07 ----
 19.04.13 01:00 0.04 0.04 ----
 -------- 02:00 0.04 0.03 ----
 -------- 03:00 0.04 0.03 0.00
 -------- 04:00 0.04 0.04 ----
 -------- 05:00 0.05 0.05 ----
 19.04.13 06:00 0.05 0.09 0.02
 -------- 07:00 0.05 0.06 ----
 -------- 08:00 0.06 0.05 ----
 -------- 09:00 0.06 0.08 ----
 -------- 10:00 0.06 0.12 0.00
 19.04.13 11:00 0.05 0.09 0.01
 -------- 12:00 0.03 0.07 0.01
 -------- 13:00 0.04 0.06 0.01
 -------- 14:00 0.03 0.06 0.01
 -------- 15:00 0.03 0.05 0.01
 19.04.13 16:00 0.04 0.04 0.01
 -------- 17:00 0.04 0.04 0.01
 -------- 18:00 0.05 0.05 0.01
 -------- 19:00 0.05 0.06 0.01
 -------- 20:00 0.07 0.13 0.01
 19.04.13 21:00 0.07 0.13 0.01
 -------- 22:00 0.10 0.17 0.02
 -------- 23:00 0.09 0.14 0.02
