 Date Time CO NO2 NO
 10.02.13 12:00 0.06 0.03 0.06
 -------- 13:00 0.04 0.02 0.06
 -------- 14:00 0.07 0.03 0.06
 -------- 15:00 0.06 0.03 0.06
 -------- 16:00 0.06 0.04 0.08
 10.02.13 17:00 0.07 0.05 0.08
 -------- 18:00 0.07 0.06 0.08
 -------- 19:00 0.08 0.06 0.07
 -------- 20:00 0.08 0.05 0.07
 -------- 21:00 0.08 0.06 0.07
 10.02.13 22:00 0.07 0.06 0.07
 -------- 23:00 0.06 0.04 0.06
 -------- 00:00 0.06 0.03 0.06
 -------- 01:00 0.06 0.03 0.06
 -------- 02:00 0.06 0.03 0.06
 11.02.13 03:00 0.06 0.03 0.05
 -------- 04:00 0.06 0.03 0.05
 -------- 05:00 0.06 0.02 0.06
 -------- 06:00 0.07 0.03 0.06
 -------- 07:00 0.09 0.07 0.09
 11.02.13 08:00 0.13 0.08 0.10
 -------- 09:00 0.10 0.09 0.08
 -------- 10:00 0.09 0.09 0.10
 -------- 11:00 0.07 0.07 0.09
 -------- 12:00 0.09 0.07 0.13
 11.02.13 13:00 0.09 0.09 0.13
 -------- 14:00 0.07 0.09 0.09
 -------- 15:00 0.09 0.11 0.11
 -------- 16:00 0.14 0.13 0.15
 -------- 17:00 0.10 0.13 0.12
 11.02.13 18:00 0.11 0.10 0.13
 -------- 19:00 0.11 0.10 0.12
 -------- 20:00 0.08 0.09 0.11
 -------- 21:00 0.08 0.07 0.09
 -------- 22:00 0.09 0.09 0.11
 11.02.13 23:00 0.07 0.07 0.08
 -------- 00:00 0.06 0.08 0.08
 -------- 01:00 0.04 0.05 0.06
 -------- 02:00 0.03 0.04 0.06
 -------- 03:00 0.05 0.06 0.06
 12.02.13 04:00 0.03 0.08 0.06
 -------- 05:00 0.05 0.08 0.06
 -------- 06:00 0.06 0.09 0.08
 -------- 07:00 0.07 0.08 0.08
 -------- 08:00 0.07 0.07 0.07
 12.02.13 09:00 0.08 0.08 0.08
 -------- 10:00 0.08 0.07 0.08
 -------- 11:00 0.07 0.06 0.07
