 Date Time CO NO2 NO
 30.09.12 00:00 0.07 0.34 0.03
 -------- 01:00 0.06 0.28 0.02
 -------- 02:00 0.06 0.25 0.02
 -------- 03:00 0.05 0.33 0.02
 -------- 04:00 0.05 0.25 0.02
 30.09.12 05:00 0.05 0.23 0.02
 -------- 06:00 0.04 0.24 0.02
 -------- 07:00 0.05 0.31 0.03
 -------- 08:00 0.06 0.37 0.03
 -------- 09:00 0.07 0.35 0.03
 30.09.12 10:00 0.11 0.37 0.03
 -------- 11:00 0.06 0.35 0.03
 -------- 12:00 0.06 0.62 0.04
 -------- 13:00 0.06 0.26 0.02
 -------- 14:00 0.05 0.21 0.02
 30.09.12 15:00 0.06 0.74 0.06
 -------- 16:00 0.05 0.70 0.06
 -------- 17:00 0.07 0.65 0.05
 -------- 18:00 0.07 0.68 0.05
 -------- 19:00 0.07 0.48 0.04
 30.09.12 20:00 0.07 0.32 0.02
 -------- 21:00 0.06 0.45 0.04
 -------- 22:00 0.06 0.48 0.03
 -------- 23:00 0.05 0.25 0.02
 -------- 00:00 0.05 0.20 0.02
 01.10.12 01:00 0.04 0.90 0.05
 -------- 02:00 0.04 0.28 0.03
 -------- 03:00 0.04 0.18 0.02
 -------- 04:00 0.04 0.19 0.02
 -------- 05:00 0.04 0.24 0.02
 01.10.12 06:00 0.05 0.22 0.02
 -------- 07:00 0.06 0.25 0.02
 -------- 08:00 0.07 0.28 0.03
 -------- 09:00 0.07 0.42 0.03
 -------- 10:00 0.07 0.34 0.03
 01.10.12 11:00 0.07 0.27 0.03
 -------- 12:00 0.06 0.28 0.03
 -------- 13:00 0.07 0.35 0.03
 -------- 14:00 0.07 0.28 0.03
 -------- 15:00 0.08 0.36 0.03
 01.10.12 16:00 0.08 0.30 0.03
 -------- 17:00 0.09 0.33 0.03
 -------- 18:00 0.11 0.38 0.03
 -------- 19:00 0.11 0.44 0.03
 -------- 20:00 0.14 0.52 0.04
 01.10.12 21:00 0.14 0.55 0.04
 -------- 22:00 0.15 0.67 0.04
 -------- 23:00 0.12 0.61 0.04
