 Date Time CO NO2 NO
 09.05.13 12:00 0.05 0.06 0.05
 -------- 13:00 0.06 0.26 0.02
 -------- 14:00 0.05 0.19 0.02
 -------- 15:00 0.05 0.11 0.02
 -------- 16:00 0.05 0.10 0.03
 09.05.13 17:00 0.04 0.14 0.03
 -------- 18:00 0.04 0.12 0.05
 -------- 19:00 0.04 0.03 0.02
 -------- 20:00 0.07 0.14 0.03
 -------- 21:00 0.21 0.27 0.05
 09.05.13 22:00 0.19 0.30 0.09
 -------- 23:00 0.27 0.33 0.12
 -------- 00:00 0.18 0.29 0.09
 -------- 01:00 0.11 0.29 0.08
 -------- 02:00 0.11 0.22 0.10
 10.05.13 03:00 0.04 0.03 0.04
 -------- 04:00 0.04 0.03 0.04
 -------- 05:00 0.02 0.04 0.04
 -------- 06:00 0.02 0.05 0.04
 -------- 07:00 0.03 0.04 0.04
 10.05.13 08:00 0.04 0.05 0.04
 -------- 09:00 0.04 0.06 0.04
 -------- 10:00 0.04 0.06 0.04
 -------- 11:00 0.04 0.04 0.03
 -------- 12:00 0.04 0.09 0.02
 10.05.13 13:00 0.04 0.02 0.02
 -------- 14:00 0.05 0.02 0.02
 -------- 15:00 0.06 0.02 0.02
 -------- 16:00 0.06 0.01 0.02
 -------- 17:00 0.06 0.02 0.02
 10.05.13 18:00 0.07 0.01 0.02
 -------- 19:00 0.07 0.02 0.02
 -------- 20:00 0.09 0.02 0.02
 -------- 21:00 0.10 0.15 0.02
 -------- 22:00 0.07 0.05 0.04
 10.05.13 23:00 0.07 0.11 0.02
 -------- 00:00 0.05 0.12 0.05
 -------- 01:00 0.02 0.09 0.04
 -------- 02:00 0.02 0.07 0.04
 -------- 03:00 0.02 0.09 0.04
 11.05.13 04:00 ---- 0.10 0.04
 -------- 05:00 ---- 0.09 0.04
 -------- 06:00 ---- 0.12 0.04
 -------- 07:00 0.05 0.12 0.05
 -------- 08:00 0.06 0.12 0.04
 11.05.13 09:00 0.08 0.14 0.05
 -------- 10:00 0.07 0.11 0.04
 -------- 11:00 0.07 0.08 0.03
