 Date Time CO NO2 NO
 17.09.12 12:00 0.07 0.08 0.04
 -------- 13:00 0.07 0.06 0.04
 -------- 14:00 0.04 0.04 0.03
 -------- 15:00 0.05 0.05 0.04
 -------- 16:00 0.09 0.06 0.04
 17.09.12 17:00 0.09 0.06 0.04
 -------- 18:00 0.13 0.07 0.04
 -------- 19:00 0.23 0.08 0.07
 -------- 20:00 0.42 0.09 0.15
 -------- 21:00 0.44 0.10 0.19
 17.09.12 22:00 0.36 0.08 0.15
 -------- 23:00 0.46 0.08 0.19
 -------- 00:00 0.31 0.07 0.14
 -------- 01:00 0.27 0.09 0.11
 -------- 02:00 0.18 0.09 0.07
 18.09.12 03:00 0.06 0.07 0.03
 -------- 04:00 0.04 0.06 0.02
 -------- 05:00 0.03 0.06 0.03
 -------- 06:00 0.05 0.08 0.04
 -------- 07:00 0.06 0.09 0.06
 18.09.12 08:00 ---- 0.10 0.09
 -------- 09:00 ---- 0.10 0.10
 -------- 10:00 ---- 0.09 0.10
 -------- 11:00 ---- 0.10 0.11
 -------- 12:00 ---- 0.07 0.07
 18.09.12 13:00 ---- 0.05 0.04
 -------- 14:00 ---- 0.05 0.03
 -------- 15:00 ---- 0.05 0.04
 -------- 16:00 ---- 0.05 0.03
 -------- 17:00 ---- 0.06 0.04
 18.09.12 18:00 ---- 0.07 0.03
 -------- 19:00 ---- 0.08 0.04
 -------- 20:00 ---- 0.10 0.05
 -------- 21:00 ---- 0.10 0.18
 -------- 22:00 ---- 0.11 0.11
 18.09.12 23:00 ---- 0.10 0.05
 -------- 00:00 ---- 0.09 0.09
 -------- 01:00 ---- 0.09 0.06
 -------- 02:00 ---- 0.08 0.05
 -------- 03:00 ---- 0.05 0.03
 19.09.12 04:00 ---- 0.07 0.05
 -------- 05:00 ---- 0.07 0.04
 -------- 06:00 ---- 0.07 0.02
 -------- 07:00 0.13 0.09 0.06
 -------- 08:00 0.21 0.10 0.10
 19.09.12 09:00 0.17 0.10 0.07
 -------- 10:00 0.15 0.09 0.06
 -------- 11:00 0.12 0.09 0.07
