 Date Time CO NO2 NO
 16.01.13 00:00 0.06 0.11 0.05
 -------- 01:00 0.04 0.08 0.05
 -------- 02:00 0.04 0.07 0.05
 -------- 03:00 0.04 0.07 0.05
 -------- 04:00 0.04 0.04 0.05
 16.01.13 05:00 0.04 0.08 0.05
 -------- 06:00 0.05 0.12 0.06
 -------- 07:00 0.05 0.09 0.05
 -------- 08:00 0.06 0.09 0.06
 -------- 09:00 0.07 0.09 0.06
 16.01.13 10:00 0.08 0.12 0.06
 -------- 11:00 0.08 0.11 0.07
 -------- 12:00 0.08 0.12 0.08
 -------- 13:00 0.10 0.13 0.11
 -------- 14:00 0.11 0.15 0.13
 16.01.13 15:00 0.11 0.14 0.12
 -------- 16:00 0.13 0.17 0.14
 -------- 17:00 0.17 0.22 0.21
 -------- 18:00 0.19 0.25 0.22
 -------- 19:00 0.16 0.21 0.21
 16.01.13 20:00 0.15 0.19 0.17
 -------- 21:00 0.18 0.20 0.16
 -------- 22:00 0.11 0.15 0.11
 -------- 23:00 0.10 0.15 0.09
 -------- 00:00 0.08 0.14 0.07
 17.01.13 01:00 0.07 0.13 0.07
 -------- 02:00 0.06 0.10 0.07
 -------- 03:00 0.06 0.10 0.05
 -------- 04:00 0.07 0.09 0.05
 -------- 05:00 0.06 0.09 0.06
 17.01.13 06:00 0.06 0.09 0.07
 -------- 07:00 0.07 0.10 0.06
 -------- 08:00 0.08 0.10 0.07
 -------- 09:00 0.08 0.11 0.07
 -------- 10:00 0.08 0.10 0.07
 17.01.13 11:00 0.08 0.10 0.06
 -------- 12:00 0.08 0.07 0.07
 -------- 13:00 0.07 0.06 0.07
 -------- 14:00 0.07 0.06 0.07
 -------- 15:00 0.07 0.07 0.07
 17.01.13 16:00 0.07 0.08 0.07
 -------- 17:00 0.06 0.08 0.06
 -------- 18:00 0.07 0.08 0.06
 -------- 19:00 0.07 0.08 0.06
 -------- 20:00 0.06 0.09 0.06
 17.01.13 21:00 0.07 0.09 0.06
 -------- 22:00 0.06 0.07 0.05
 -------- 23:00 0.06 0.06 0.05
