 Date Time CO SO2 H2S NO2 CHX NO
 04.04.13 11:00 0.08 0.01 0.12 0.18 1.56 0.01
 -------- 12:00 0.08 0.01 0.12 0.15 1.55 0.01
 -------- 13:00 0.10 0.01 0.12 0.12 1.48 0.01
 -------- 14:00 0.10 0.01 0.25 0.11 1.43 0.01
 -------- 15:00 0.10 0.01 0.25 0.11 1.42 0.01
 04.04.13 16:00 0.10 0.01 0.33 0.12 1.42 0.01
 -------- 17:00 0.10 0.01 0.38 0.11 1.42 0.01
 -------- 18:00 0.11 0.01 0.38 0.16 1.43 0.01
 -------- 19:00 0.12 0.02 0.38 0.18 1.44 0.01
 -------- 20:00 0.12 0.01 0.38 0.20 1.45 0.00
 04.04.13 21:00 0.12 0.02 0.38 0.20 1.45 0.00
 -------- 22:00 0.12 0.01 0.38 0.25 1.62 0.00
 -------- 23:00 0.14 0.01 0.33 0.26 1.64 0.00
 -------- 00:00 0.12 0.01 0.25 0.21 1.53 0.00
 -------- 01:00 0.12 0.01 0.25 0.19 1.53 0.00
 05.04.13 02:00 0.11 0.01 0.25 0.15 1.50 ----
 -------- 03:00 0.10 0.01 0.25 0.14 1.52 0.00
 -------- 04:00 0.10 0.01 0.21 0.15 1.53 ----
 -------- 05:00 0.10 0.01 0.25 0.17 1.51 ----
 -------- 06:00 0.10 0.01 0.21 0.23 1.56 0.00
 05.04.13 07:00 0.11 0.01 0.21 0.32 1.62 0.01
 -------- 08:00 0.12 0.01 0.21 0.31 1.61 0.02
 -------- 09:00 0.12 0.01 0.25 0.34 1.59 0.02
 -------- 10:00 0.12 0.01 0.25 0.32 1.54 0.03
 -------- 11:00 0.13 0.01 0.12 0.36 1.61 0.04
 05.04.13 12:00 0.14 0.01 0.12 0.37 1.61 0.06
 -------- 13:00 0.15 0.02 0.12 0.33 1.55 0.04
 -------- 14:00 0.16 0.01 0.17 0.26 1.49 0.02
 -------- 15:00 0.16 0.01 0.25 0.28 1.51 0.01
 -------- 16:00 0.16 0.01 0.25 0.33 1.52 0.01
 05.04.13 17:00 0.16 0.01 0.25 0.34 1.54 0.01
 -------- 18:00 0.17 0.01 0.25 0.42 1.61 0.01
 -------- 19:00 0.17 0.01 0.25 0.41 1.61 0.01
 -------- 20:00 0.16 0.01 0.25 0.42 1.65 0.01
 -------- 21:00 0.16 0.01 0.29 0.41 1.60 0.01
 05.04.13 22:00 0.21 0.01 0.29 0.49 1.73 0.04
 -------- 23:00 0.21 0.01 0.25 0.49 1.61 0.07
 -------- 00:00 0.19 0.01 0.29 0.47 1.70 0.07
 -------- 01:00 0.18 0.01 0.25 0.38 1.65 0.02
 -------- 02:00 0.17 0.01 0.25 0.34 1.61 0.01
 06.04.13 03:00 0.16 0.01 0.33 0.34 1.69 0.01
 -------- 04:00 0.15 0.01 0.29 0.30 1.59 0.01
 -------- 05:00 0.16 0.01 0.29 0.25 1.50 0.00
 -------- 06:00 0.14 0.01 0.25 0.25 1.53 0.00
 -------- 07:00 0.14 0.01 0.21 0.21 1.52 0.00
 06.04.13 08:00 0.13 0.01 0.21 0.27 1.58 0.01
 -------- 09:00 0.14 0.01 0.17 0.22 1.53 0.01
 -------- 10:00 0.14 0.01 0.25 0.25 1.56 0.01
 -------- 11:00 0.12 ---- ---- 0.27 ---- 0.01
