 Date Time CO SO2 H2S
 15.03.13 12:00 0.10 0.00 0.12
 -------- 13:00 0.10 0.00 0.12
 -------- 14:00 0.10 0.00 0.12
 -------- 15:00 0.11 0.00 0.17
 -------- 16:00 0.10 0.00 0.12
 15.03.13 17:00 0.09 0.00 0.12
 -------- 18:00 0.08 0.00 0.12
 -------- 19:00 0.08 0.00 0.12
 -------- 20:00 0.08 0.00 0.12
 -------- 21:00 0.08 0.00 0.12
 15.03.13 22:00 0.08 0.00 0.17
 -------- 23:00 0.08 0.00 0.12
 -------- 00:00 0.08 0.00 0.12
 -------- 01:00 0.08 0.00 0.12
 -------- 02:00 0.07 0.00 0.12
 16.03.13 03:00 0.08 0.00 0.17
 -------- 04:00 0.08 0.00 0.12
 -------- 05:00 0.08 0.00 0.17
 -------- 06:00 0.08 0.00 0.21
 -------- 07:00 0.08 0.00 0.25
 16.03.13 08:00 0.08 0.00 0.25
 -------- 09:00 0.09 0.00 0.21
 -------- 10:00 0.10 0.00 0.21
 -------- 11:00 0.11 0.00 0.12
 -------- 12:00 0.12 0.00 ----
 16.03.13 13:00 0.10 0.00 ----
 -------- 14:00 0.09 0.00 ----
 -------- 15:00 0.08 0.00 ----
 -------- 16:00 0.08 0.00 ----
 -------- 17:00 0.08 0.00 ----
 16.03.13 18:00 0.08 0.00 ----
 -------- 19:00 0.08 0.00 ----
 -------- 20:00 0.08 0.00 ----
 -------- 21:00 0.08 0.00 ----
 -------- 22:00 0.08 0.00 ----
 16.03.13 23:00 0.08 0.00 ----
 -------- 00:00 0.08 0.00 ----
 -------- 01:00 0.07 0.00 ----
 -------- 02:00 0.08 0.00 ----
 -------- 03:00 0.08 0.00 ----
 17.03.13 04:00 0.06 0.00 ----
 -------- 05:00 0.06 ---- ----
 -------- 06:00 0.05 0.00 ----
 -------- 07:00 0.04 0.00 ----
 -------- 08:00 0.06 ---- ----
 17.03.13 09:00 0.06 0.00 ----
 -------- 10:00 0.06 0.00 ----
 -------- 11:00 0.06 0.00 0.12
