 Date Time CO NO2 CHX NO
 24.09.12 12:00 0.08 0.18 1.41 0.03
 -------- 13:00 0.08 0.17 1.40 0.03
 -------- 14:00 0.07 0.15 1.41 0.03
 -------- 15:00 0.07 0.16 1.39 0.02
 -------- 16:00 0.06 0.16 1.41 0.02
 24.09.12 17:00 0.06 0.17 1.40 0.02
 -------- 18:00 0.09 0.19 1.43 0.02
 -------- 19:00 0.09 0.19 1.45 0.03
 -------- 20:00 0.08 0.19 1.44 0.03
 -------- 21:00 0.08 0.19 1.44 0.02
 24.09.12 22:00 0.07 0.21 1.46 0.03
 -------- 23:00 0.06 0.19 1.41 0.03
 -------- 00:00 0.06 0.20 1.44 0.02
 -------- 01:00 0.06 0.17 1.41 0.02
 -------- 02:00 0.04 0.16 1.40 0.01
 25.09.12 03:00 0.04 0.13 1.38 0.01
 -------- 04:00 0.04 0.12 1.39 0.01
 -------- 05:00 0.04 0.13 1.39 0.01
 -------- 06:00 0.05 0.17 1.41 0.02
 -------- 07:00 0.07 0.19 1.41 0.02
 25.09.12 08:00 0.09 0.20 1.42 0.03
 -------- 09:00 0.10 0.19 1.41 0.03
 -------- 10:00 0.09 0.19 1.42 0.04
 -------- 11:00 0.08 0.18 1.41 0.04
 -------- 12:00 0.09 0.17 1.41 0.04
 25.09.12 13:00 0.08 0.15 1.41 0.03
 -------- 14:00 0.08 0.16 1.41 0.02
 -------- 15:00 0.08 0.19 1.42 0.02
 -------- 16:00 0.08 0.25 1.43 0.03
 -------- 17:00 0.09 0.23 1.43 0.02
 25.09.12 18:00 0.09 0.22 1.42 0.02
 -------- 19:00 0.09 0.24 1.44 0.03
 -------- 20:00 0.08 0.22 1.43 0.02
 -------- 21:00 0.08 0.23 1.43 0.03
 -------- 22:00 0.07 0.17 1.42 0.02
 25.09.12 23:00 0.06 0.16 1.42 0.01
 -------- 00:00 0.07 0.19 1.43 0.02
 -------- 01:00 0.06 0.16 1.40 0.02
 -------- 02:00 0.05 0.15 1.40 0.01
 -------- 03:00 0.05 0.13 1.40 0.01
 26.09.12 04:00 0.06 0.16 1.42 0.01
 -------- 05:00 0.06 0.18 1.43 0.02
 -------- 06:00 0.07 0.19 1.44 0.04
 -------- 07:00 0.09 0.21 1.46 0.07
 -------- 08:00 0.11 0.21 1.48 0.08
 26.09.12 09:00 0.12 0.20 1.49 0.10
 -------- 10:00 0.12 0.20 1.49 0.09
 -------- 11:00 0.11 0.19 1.47 0.08
