 Date Time CO CHX NO
 30.04.13 12:00 0.08 1.51 0.02
 -------- 13:00 0.08 1.57 0.03
 -------- 14:00 0.11 1.83 0.04
 -------- 15:00 0.10 1.56 0.03
 -------- 16:00 0.11 1.52 0.03
 30.04.13 17:00 0.09 1.51 0.02
 -------- 18:00 0.09 1.47 0.01
 -------- 19:00 0.08 1.47 0.01
 -------- 20:00 0.07 1.50 0.01
 -------- 21:00 0.13 1.59 0.04
 30.04.13 22:00 0.16 1.80 0.12
 -------- 23:00 0.22 2.06 0.20
 -------- 00:00 0.21 1.80 0.18
 -------- 01:00 0.16 1.58 0.05
 -------- 02:00 0.10 1.50 0.01
 01.05.13 03:00 0.08 1.50 0.01
 -------- 04:00 0.07 1.51 0.00
 -------- 05:00 0.08 1.50 0.00
 -------- 06:00 0.09 1.58 0.03
 -------- 07:00 0.10 1.57 0.04
 01.05.13 08:00 0.09 1.52 0.03
 -------- 09:00 0.09 1.50 0.02
 -------- 10:00 0.08 1.49 0.02
 -------- 11:00 0.07 1.48 0.01
 -------- 12:00 0.06 1.46 0.01
 01.05.13 13:00 0.06 1.46 0.01
 -------- 14:00 0.06 1.46 0.01
 -------- 15:00 0.05 1.43 0.00
 -------- 16:00 0.05 1.45 0.00
 -------- 17:00 0.05 1.45 0.00
 01.05.13 18:00 0.04 1.42 0.00
 -------- 19:00 0.05 1.45 0.00
 -------- 20:00 0.05 1.45 0.00
 -------- 21:00 0.06 1.47 0.00
 -------- 22:00 0.08 1.53 0.01
 01.05.13 23:00 0.12 1.74 0.10
 -------- 00:00 0.21 2.11 0.27
 -------- 01:00 0.36 2.73 0.50
 -------- 02:00 0.31 3.39 0.60
 -------- 03:00 0.30 2.50 0.63
 02.05.13 04:00 0.31 2.30 0.57
 -------- 05:00 0.29 2.28 0.59
 -------- 06:00 0.31 2.39 0.66
 -------- 07:00 0.33 2.28 0.67
 -------- 08:00 0.25 2.00 0.47
 02.05.13 09:00 0.21 1.78 0.33
 -------- 10:00 0.11 1.49 0.09
 -------- 11:00 0.07 1.46 0.01
