 Date Time CO NO2 CHX NO
 26.02.13 12:00 0.14 0.47 1.60 0.12
 -------- 13:00 0.12 0.45 1.59 0.10
 -------- 14:00 0.10 0.41 1.56 0.07
 -------- 15:00 0.08 0.38 1.55 0.06
 -------- 16:00 0.08 0.38 1.52 0.04
 26.02.13 17:00 0.08 0.39 1.55 0.03
 -------- 18:00 0.08 0.46 1.58 0.02
 -------- 19:00 0.09 0.48 1.54 0.02
 -------- 20:00 0.09 0.50 1.55 0.02
 -------- 21:00 0.08 0.52 1.56 0.02
 26.02.13 22:00 0.07 0.39 1.51 0.01
 -------- 23:00 0.06 0.35 1.50 0.01
 -------- 00:00 0.06 0.33 1.48 0.01
 -------- 01:00 0.06 0.26 1.48 0.00
 -------- 02:00 0.05 0.23 1.47 0.00
 27.02.13 03:00 0.04 0.23 1.47 0.00
 -------- 04:00 0.04 0.25 1.47 0.00
 -------- 05:00 0.05 0.23 1.45 0.00
 -------- 06:00 0.06 0.30 1.47 0.00
 -------- 07:00 0.06 0.25 1.48 0.00
 27.02.13 08:00 0.06 0.26 1.49 0.00
 -------- 09:00 0.08 0.36 1.51 0.01
 -------- 10:00 0.07 0.34 1.54 0.02
 -------- 11:00 0.08 0.39 1.55 0.03
 -------- 12:00 0.08 0.32 1.54 0.03
 27.02.13 13:00 0.06 0.26 1.47 0.02
 -------- 14:00 0.06 0.24 1.47 0.01
 -------- 15:00 0.06 0.27 1.49 0.02
 -------- 16:00 0.06 0.26 1.47 0.02
 -------- 17:00 0.06 0.24 1.47 0.02
 27.02.13 18:00 0.06 0.29 1.48 0.02
 -------- 19:00 0.07 0.32 1.56 0.02
 -------- 20:00 0.28 0.43 1.85 0.06
 -------- 21:00 0.21 0.51 1.77 0.25
 -------- 22:00 0.20 0.51 1.70 0.23
 27.02.13 23:00 0.15 0.49 1.58 0.10
 -------- 00:00 0.14 0.52 1.61 0.12
 -------- 01:00 0.13 0.52 1.68 0.10
 -------- 02:00 0.12 0.51 1.68 0.08
 -------- 03:00 0.11 0.38 1.61 0.03
 28.02.13 04:00 0.09 0.28 1.52 0.01
 -------- 05:00 0.08 0.24 1.48 0.01
 -------- 06:00 0.07 0.33 1.54 0.01
 -------- 07:00 0.06 0.34 1.55 0.01
 -------- 08:00 0.07 0.28 1.49 0.01
 28.02.13 09:00 0.08 0.29 1.49 0.01
 -------- 10:00 0.08 0.29 1.49 0.01
 -------- 11:00 0.08 0.30 1.48 0.01
