 Date Time CO NO2 CHX NO
 10.12.12 00:00 0.34 0.37 2.06 0.72
 -------- 01:00 0.31 0.42 2.15 0.68
 -------- 02:00 0.29 0.41 2.22 0.63
 -------- 03:00 0.22 0.38 2.21 0.48
 -------- 04:00 0.15 0.35 3.03 0.21
 10.12.12 05:00 0.16 0.34 3.41 0.22
 -------- 06:00 0.14 0.32 3.28 0.19
 -------- 07:00 0.13 0.31 2.81 0.20
 -------- 08:00 0.11 0.28 2.04 0.14
 -------- 09:00 0.10 0.26 1.63 0.10
 10.12.12 10:00 0.08 0.24 1.57 0.07
 -------- 11:00 0.08 0.20 1.63 0.06
 -------- 12:00 0.08 0.21 1.96 0.09
 -------- 13:00 0.08 0.19 1.87 0.08
 -------- 14:00 0.07 0.18 1.61 0.08
 10.12.12 15:00 0.10 0.22 1.73 0.11
 -------- 16:00 0.10 0.21 1.66 0.09
 -------- 17:00 0.10 0.19 1.59 0.08
 -------- 18:00 0.09 0.19 1.64 0.07
 -------- 19:00 0.09 0.20 1.62 0.07
 10.12.12 20:00 0.08 0.21 1.58 0.06
 -------- 21:00 0.06 0.20 1.48 0.02
 -------- 22:00 0.06 0.20 1.45 0.01
 -------- 23:00 0.05 0.17 1.45 0.01
 -------- 00:00 0.04 0.16 1.45 0.00
 11.12.12 01:00 0.05 0.10 1.44 0.00
 -------- 02:00 0.04 0.11 1.43 0.00
 -------- 03:00 0.04 0.13 1.43 0.00
 -------- 04:00 0.04 0.09 1.40 0.00
 -------- 05:00 0.05 0.13 1.41 0.00
 11.12.12 06:00 0.06 0.17 1.42 0.01
 -------- 07:00 0.06 0.18 1.44 0.01
 -------- 08:00 0.06 0.18 1.44 0.01
 -------- 09:00 0.06 0.16 1.42 0.01
 -------- 10:00 0.06 0.20 1.43 0.01
 11.12.12 11:00 0.06 0.21 1.43 0.01
 -------- 12:00 0.06 0.23 1.45 0.02
 -------- 13:00 0.07 0.26 1.47 0.03
 -------- 14:00 0.07 0.27 1.47 0.03
 -------- 15:00 0.07 0.29 1.48 0.03
 11.12.12 16:00 0.06 0.28 1.47 0.03
 -------- 17:00 0.06 0.25 1.46 0.01
 -------- 18:00 0.06 0.26 1.46 0.01
 -------- 19:00 0.05 0.22 1.47 0.01
 -------- 20:00 0.06 0.24 1.49 0.02
 11.12.12 21:00 0.07 0.22 1.50 0.02
 -------- 22:00 0.06 0.21 1.49 0.01
 -------- 23:00 0.06 0.23 1.48 0.02
