 Date Time CO SO2 H2S NO2 CHX NO
 04.03.13 12:00 0.06 0.00 0.19 0.16 1.47 0.02
 -------- 13:00 0.05 0.00 0.21 0.14 1.46 0.02
 -------- 14:00 0.06 0.00 0.25 0.17 1.47 0.02
 -------- 15:00 0.06 0.00 0.21 0.16 1.48 0.02
 -------- 16:00 0.06 0.00 0.25 0.15 1.47 0.02
 04.03.13 17:00 0.05 0.00 0.25 0.18 1.48 0.02
 -------- 18:00 0.07 0.00 0.17 0.24 1.52 0.02
 -------- 19:00 0.08 0.00 0.21 0.27 1.53 0.02
 -------- 20:00 0.11 0.00 0.25 0.29 1.54 0.01
 -------- 21:00 0.09 0.00 0.25 0.32 1.53 0.02
 04.03.13 22:00 0.08 0.00 0.21 0.28 1.51 0.01
 -------- 23:00 0.06 0.00 0.25 0.31 1.51 0.01
 -------- 00:00 0.07 0.01 0.25 0.31 1.60 0.01
 -------- 01:00 0.06 0.01 0.25 0.27 1.51 0.01
 -------- 02:00 0.06 0.01 0.25 0.26 1.51 0.01
 05.03.13 03:00 0.06 0.01 0.25 0.30 1.59 0.01
 -------- 04:00 0.06 0.00 0.25 0.32 1.57 0.01
 -------- 05:00 0.07 0.00 0.25 0.37 1.61 0.02
 -------- 06:00 0.09 0.00 0.25 0.40 1.61 0.04
 -------- 07:00 0.18 0.00 0.25 0.47 1.76 0.29
 05.03.13 08:00 0.22 0.01 0.25 0.50 1.85 0.39
 -------- 09:00 0.19 0.01 0.25 0.50 1.90 0.28
 -------- 10:00 0.17 0.01 0.25 0.47 1.87 0.21
 -------- 11:00 0.11 0.00 0.12 0.32 1.63 0.09
 -------- 12:00 0.08 0.00 ---- 0.30 1.57 0.07
 05.03.13 13:00 0.09 0.00 ---- 0.30 1.54 0.08
 -------- 14:00 0.08 0.00 ---- 0.30 1.54 0.07
 -------- 15:00 0.09 ---- ---- 0.39 1.60 0.10
 -------- 16:00 0.11 0.00 ---- 0.49 1.69 0.14
 -------- 17:00 0.12 0.00 ---- 0.54 1.70 0.15
 05.03.13 18:00 0.13 0.00 ---- 0.56 1.67 0.13
 -------- 19:00 0.13 0.00 ---- 0.56 1.69 0.13
 -------- 20:00 0.18 ---- ---- 0.56 1.76 0.24
 -------- 21:00 0.21 0.00 ---- 0.58 2.29 0.29
 -------- 22:00 0.35 0.00 0.12 0.66 2.78 0.68
 05.03.13 23:00 0.33 0.00 0.21 0.69 2.71 0.80
 -------- 00:00 0.21 0.00 0.21 0.63 2.23 0.48
 -------- 01:00 0.12 0.00 0.17 0.55 1.83 0.16
 -------- 02:00 0.14 0.00 0.12 0.55 2.04 0.24
 -------- 03:00 0.15 0.00 0.12 0.56 2.05 0.33
 06.03.13 04:00 0.14 0.00 0.12 0.56 2.02 0.33
 -------- 05:00 0.14 0.01 0.12 0.56 1.81 0.38
 -------- 06:00 0.15 0.00 0.12 0.56 1.76 0.36
 -------- 07:00 0.15 0.00 0.12 0.54 1.76 0.30
 -------- 08:00 0.15 0.01 0.12 0.53 1.83 0.28
 06.03.13 09:00 0.17 0.02 0.17 0.53 1.90 0.24
 -------- 10:00 0.15 0.03 0.25 0.49 1.80 0.20
 -------- 11:00 0.13 0.03 0.17 0.47 1.73 0.20
