 Date Time CO NO2 CHX NO
 22.01.13 00:00 0.06 0.23 1.50 0.01
 -------- 01:00 0.06 0.25 1.52 0.01
 -------- 02:00 0.05 0.19 1.50 0.00
 -------- 03:00 0.05 0.22 1.51 0.01
 -------- 04:00 0.04 0.18 1.46 0.00
 22.01.13 05:00 0.04 0.18 1.45 0.00
 -------- 06:00 0.05 0.32 1.53 0.01
 -------- 07:00 0.07 0.41 1.58 0.04
 -------- 08:00 0.08 0.38 1.63 0.03
 -------- 09:00 0.13 0.44 1.73 0.12
 22.01.13 10:00 0.11 0.44 1.70 0.19
 -------- 11:00 0.10 0.40 1.63 0.15
 -------- 12:00 0.14 0.43 1.69 0.24
 -------- 13:00 0.15 0.44 1.76 0.27
 -------- 14:00 0.15 0.44 1.72 0.26
 22.01.13 15:00 0.13 0.44 1.74 0.23
 -------- 16:00 0.10 0.40 1.61 0.13
 -------- 17:00 0.13 0.46 1.74 0.18
 -------- 18:00 0.13 0.47 1.73 0.14
 -------- 19:00 0.10 0.46 1.62 0.10
 22.01.13 20:00 0.10 0.43 1.60 0.07
 -------- 21:00 0.09 0.43 1.57 0.09
 -------- 22:00 0.10 0.43 1.59 0.10
 -------- 23:00 0.11 0.44 1.63 0.14
 -------- 00:00 0.09 0.45 1.61 0.15
 23.01.13 01:00 0.06 0.43 1.56 0.10
 -------- 02:00 0.06 0.42 1.55 0.10
 -------- 03:00 0.06 0.40 1.51 0.05
 -------- 04:00 0.06 0.41 1.51 0.06
 -------- 05:00 0.07 0.44 1.54 0.14
 23.01.13 06:00 0.07 0.41 1.61 0.11
 -------- 07:00 0.07 0.41 1.65 0.12
 -------- 08:00 0.11 0.42 1.71 0.17
 -------- 09:00 0.16 0.46 1.80 0.29
 -------- 10:00 0.20 0.49 1.89 0.39
 23.01.13 11:00 0.19 0.48 1.94 0.36
 -------- 12:00 0.19 0.49 1.94 0.40
 -------- 13:00 0.15 0.44 1.78 0.29
 -------- 14:00 0.12 0.41 1.73 0.22
 -------- 15:00 0.11 0.41 1.70 0.20
 23.01.13 16:00 0.09 0.41 1.60 0.13
 -------- 17:00 0.10 0.45 1.63 0.15
 -------- 18:00 0.14 0.48 1.88 0.23
 -------- 19:00 0.11 0.46 1.66 0.15
 -------- 20:00 0.14 0.47 1.73 0.16
 23.01.13 21:00 0.13 0.47 1.69 0.21
 -------- 22:00 0.07 0.33 1.54 0.05
 -------- 23:00 0.06 0.40 1.54 0.06
