 Date Time CO NO2 CHX NO
 11.12.12 12:00 0.06 0.23 1.46 0.02
 -------- 13:00 0.07 0.26 1.47 0.03
 -------- 14:00 0.07 0.27 1.47 0.03
 -------- 15:00 0.07 0.29 1.48 0.03
 -------- 16:00 0.06 0.28 1.47 0.03
 11.12.12 17:00 0.06 0.25 1.46 0.01
 -------- 18:00 0.06 0.26 1.46 0.01
 -------- 19:00 0.05 0.22 1.47 0.01
 -------- 20:00 0.06 0.24 1.49 0.02
 -------- 21:00 0.07 0.22 1.50 0.02
 11.12.12 22:00 0.06 0.21 1.49 0.01
 -------- 23:00 0.06 0.23 1.48 0.02
 -------- 00:00 0.06 0.24 1.48 0.02
 -------- 01:00 0.04 0.21 1.46 0.01
 -------- 02:00 0.04 0.19 1.46 0.01
 12.12.12 03:00 0.04 0.18 1.46 0.00
 -------- 04:00 0.04 0.18 1.45 0.00
 -------- 05:00 0.04 0.19 1.45 0.01
 -------- 06:00 0.05 0.25 1.47 0.02
 -------- 07:00 0.06 0.27 1.49 0.03
 12.12.12 08:00 0.06 0.23 1.49 0.02
 -------- 09:00 0.06 0.23 1.50 0.02
 -------- 10:00 0.06 0.24 1.52 0.04
 -------- 11:00 0.06 0.22 1.51 0.05
 -------- 12:00 0.06 0.21 1.51 0.06
 12.12.12 13:00 0.06 0.20 1.51 0.06
 -------- 14:00 0.06 0.20 1.51 0.06
 -------- 15:00 0.07 0.23 1.54 0.06
 -------- 16:00 0.07 0.30 1.58 0.10
 -------- 17:00 0.09 0.31 1.60 0.08
 12.12.12 18:00 0.08 0.27 1.60 0.04
 -------- 19:00 0.08 0.27 1.60 0.04
 -------- 20:00 0.08 0.25 1.56 0.03
 -------- 21:00 0.07 0.24 1.55 0.03
 -------- 22:00 0.06 0.20 1.54 0.02
 12.12.12 23:00 0.06 0.20 1.51 0.02
 -------- 00:00 0.05 0.17 1.50 0.01
 -------- 01:00 0.04 0.14 1.49 0.01
 -------- 02:00 0.04 0.13 1.48 0.01
 -------- 03:00 0.04 0.16 1.49 0.00
 13.12.12 04:00 0.04 0.18 1.49 0.01
 -------- 05:00 0.04 0.19 1.48 0.01
 -------- 06:00 0.04 0.19 1.44 0.01
 -------- 07:00 0.05 0.15 1.42 0.01
 -------- 08:00 0.06 0.18 1.44 0.01
 13.12.12 09:00 0.06 0.22 1.44 0.01
 -------- 10:00 0.06 0.20 1.46 0.01
 -------- 11:00 0.06 0.23 1.46 0.02
