 Date Time CO CHX NO
 02.05.13 00:00 0.24 2.25 0.30
 -------- 01:00 0.36 2.73 0.50
 -------- 02:00 0.31 3.39 0.60
 -------- 03:00 0.30 2.50 0.63
 -------- 04:00 0.31 2.30 0.57
 02.05.13 05:00 0.29 2.28 0.59
 -------- 06:00 0.31 2.39 0.66
 -------- 07:00 0.33 2.28 0.67
 -------- 08:00 0.25 2.00 0.47
 -------- 09:00 0.21 1.78 0.33
 02.05.13 10:00 0.11 1.49 0.09
 -------- 11:00 0.07 1.46 0.01
 -------- 12:00 0.06 1.46 0.01
 -------- 13:00 0.05 1.46 0.01
 -------- 14:00 0.05 1.45 0.00
 02.05.13 15:00 0.04 1.46 0.00
 -------- 16:00 0.05 1.48 0.00
 -------- 17:00 0.04 1.44 0.01
 -------- 18:00 0.04 1.46 0.01
 -------- 19:00 0.05 1.44 0.00
 02.05.13 20:00 0.05 1.44 0.00
 -------- 21:00 0.09 1.50 0.01
 -------- 22:00 0.13 1.71 0.08
 -------- 23:00 0.47 2.03 0.20
 -------- 00:00 0.41 2.15 0.36
 03.05.13 01:00 0.29 2.01 0.46
 -------- 02:00 0.26 1.97 0.50
 -------- 03:00 0.18 1.62 0.15
 -------- 04:00 0.12 1.57 0.12
 -------- 05:00 0.12 1.62 0.14
 03.05.13 06:00 0.10 1.67 0.11
 -------- 07:00 0.11 1.61 0.16
 -------- 08:00 0.11 1.64 0.07
 -------- 09:00 0.10 1.50 0.02
 -------- 10:00 0.08 1.55 0.01
 03.05.13 11:00 0.09 1.55 0.01
 -------- 12:00 0.08 1.53 0.01
 -------- 13:00 0.08 1.52 0.01
 -------- 14:00 0.09 1.48 0.00
 -------- 15:00 0.06 1.45 0.00
 03.05.13 16:00 0.06 1.46 0.00
 -------- 17:00 0.06 1.43 0.00
 -------- 18:00 0.06 1.47 0.00
 -------- 19:00 0.07 1.45 0.00
 -------- 20:00 0.07 1.47 0.00
 03.05.13 21:00 0.09 1.52 0.00
 -------- 22:00 0.11 1.66 0.04
 -------- 23:00 0.14 1.72 0.09
