 Date Time CO NO2 CHX NO
 09.01.13 00:00 0.07 0.21 1.57 0.02
 -------- 01:00 0.08 0.18 1.55 0.01
 -------- 02:00 0.07 0.15 1.53 0.01
 -------- 03:00 0.06 0.15 1.58 0.01
 -------- 04:00 0.06 0.16 1.57 0.02
 09.01.13 05:00 0.09 0.20 1.65 0.01
 -------- 06:00 0.08 0.23 1.57 0.02
 -------- 07:00 0.08 0.24 1.58 0.04
 -------- 08:00 0.09 0.27 1.60 0.05
 -------- 09:00 0.11 0.28 1.60 0.05
 09.01.13 10:00 0.09 0.30 1.66 0.07
 -------- 11:00 0.07 0.29 1.65 0.07
 -------- 12:00 0.08 0.28 1.67 0.08
 -------- 13:00 0.08 0.28 1.65 0.08
 -------- 14:00 0.09 0.31 1.63 0.12
 09.01.13 15:00 0.10 0.34 1.68 0.15
 -------- 16:00 0.10 0.34 1.65 0.14
 -------- 17:00 0.10 0.35 1.61 0.13
 -------- 18:00 0.11 0.36 1.61 0.10
 -------- 19:00 0.10 0.36 1.60 0.05
 09.01.13 20:00 0.08 0.34 1.56 0.04
 -------- 21:00 0.08 0.35 1.57 0.04
 -------- 22:00 0.07 0.33 1.54 0.03
 -------- 23:00 0.06 0.34 1.55 0.02
 -------- 00:00 0.06 0.34 1.52 0.02
 10.01.13 01:00 0.06 0.29 1.50 0.01
 -------- 02:00 0.04 0.19 1.48 0.01
 -------- 03:00 0.04 0.16 1.46 0.01
 -------- 04:00 0.04 0.14 1.48 0.01
 -------- 05:00 0.04 0.15 1.50 0.01
 10.01.13 06:00 0.05 0.19 1.50 0.01
 -------- 07:00 0.07 0.26 1.50 0.02
 -------- 08:00 0.09 0.33 1.60 0.04
 -------- 09:00 0.09 0.34 1.62 0.04
 -------- 10:00 0.09 0.34 1.48 0.07
 10.01.13 11:00 0.08 0.33 ---- 0.08
 -------- 12:00 0.08 0.29 ---- 0.07
 -------- 13:00 0.08 0.28 ---- 0.07
 -------- 14:00 0.10 0.31 ---- 0.08
 -------- 15:00 0.09 0.30 ---- 0.07
 10.01.13 16:00 0.08 0.28 ---- 0.04
 -------- 17:00 0.08 0.30 ---- 0.04
 -------- 18:00 0.08 0.30 ---- 0.03
 -------- 19:00 0.07 0.28 ---- 0.02
 -------- 20:00 0.08 0.30 ---- 0.02
 10.01.13 21:00 0.08 0.29 ---- 0.03
 -------- 22:00 0.07 0.31 ---- 0.03
 -------- 23:00 0.06 0.29 ---- 0.02
 -------- 00:00 0.06 0.27 ---- 0.02
