 Date Time CO SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Стирол
 02.10.12 23:00 0.42 0.02 0.14 0.06 0.41 0.00 0.20 0.00 0.14
 -------- 00:00 0.39 0.02 0.13 0.04 0.39 0.01 0.20 0.00 0.17
 -------- 01:00 0.33 0.02 0.18 0.03 0.37 ---- 0.17 0.00 0.15
 -------- 02:00 0.28 0.01 0.20 0.03 0.36 0.01 0.13 0.00 0.15
 -------- 03:00 0.25 0.01 0.21 0.03 0.34 0.01 0.17 0.00 0.15
 03.10.12 04:00 0.19 0.01 0.31 ---- 0.32 0.01 0.20 0.00 0.15
 -------- 05:00 0.15 0.00 0.33 ---- 0.30 0.01 0.17 0.00 0.17
 -------- 06:00 0.14 0.00 0.37 0.03 0.30 0.01 0.17 0.00 0.15
 -------- 07:00 0.26 0.00 0.34 0.04 0.33 ---- 0.20 0.00 0.17
 -------- 08:00 0.31 0.01 0.29 0.03 0.35 0.02 0.17 0.00 0.15
 03.10.12 09:00 0.33 0.00 0.30 0.04 0.38 ---- 0.13 0.00 0.20
 -------- 10:00 0.33 0.02 0.34 0.03 0.35 ---- 0.13 0.00 0.17
 -------- 11:00 0.33 0.01 0.29 0.03 0.36 ---- 0.20 0.00 0.17
 -------- 12:00 0.30 0.01 0.19 0.03 0.33 0.01 0.20 0.00 0.17
 -------- 13:00 0.31 0.01 0.15 0.03 0.31 0.01 0.20 0.00 0.14
 03.10.12 14:00 0.33 0.01 0.15 0.03 0.33 0.02 0.20 0.00 0.12
 -------- 15:00 0.27 0.01 0.12 0.03 0.31 0.01 0.20 0.00 0.12
 -------- 16:00 0.25 0.01 0.14 0.04 0.33 0.01 0.20 0.00 0.14
 -------- 17:00 0.29 0.01 0.11 0.05 0.36 0.01 0.20 0.00 0.09
 -------- 18:00 0.35 0.01 0.14 0.05 0.34 0.01 0.20 0.00 0.10
 03.10.12 19:00 0.38 0.01 0.15 0.06 0.31 0.02 0.20 0.00 0.11
 -------- 20:00 0.38 0.01 0.18 ---- 0.31 0.01 0.20 0.00 0.13
 -------- 21:00 0.41 0.01 0.13 ---- 0.32 0.03 0.20 0.00 0.13
 -------- 22:00 0.41 0.01 0.12 0.03 0.34 0.01 0.20 0.00 0.10
 -------- 23:00 0.44 0.01 0.12 ---- 0.32 0.03 0.20 0.00 0.12
 04.10.12 00:00 0.47 0.01 0.08 ---- 0.31 0.01 0.20 0.00 0.10
 -------- 01:00 0.42 0.01 0.10 ---- 0.30 0.01 0.20 0.00 0.12
 -------- 02:00 0.37 0.02 0.14 ---- 0.30 0.02 0.20 0.00 0.11
 -------- 03:00 0.29 0.02 0.09 ---- 0.30 0.02 0.20 0.00 0.13
 -------- 04:00 0.29 0.02 0.12 ---- 0.30 0.02 0.20 0.00 0.14
 04.10.12 05:00 0.28 0.01 0.16 ---- 0.29 0.01 0.20 0.00 0.14
 -------- 06:00 0.27 0.32 0.26 ---- 0.27 0.07 0.37 0.00 0.04
 -------- 07:00 0.31 0.21 0.18 0.03 0.29 0.04 0.40 0.00 0.10
 -------- 08:00 0.36 0.21 0.25 ---- 0.28 0.05 0.33 0.00 0.09
 -------- 09:00 0.37 0.09 0.18 0.03 0.27 0.04 0.27 0.00 0.12
 04.10.12 10:00 0.31 0.14 0.17 ---- 0.31 0.03 0.30 0.00 0.12
 -------- 11:00 0.27 0.08 0.20 0.03 0.32 0.02 0.30 0.00 0.14
 -------- 12:00 0.20 0.03 0.19 0.05 0.31 0.02 0.23 0.00 0.13
 -------- 13:00 0.24 0.02 0.16 0.10 0.37 0.00 0.33 0.00 0.09
 -------- 14:00 0.31 0.02 0.20 0.08 0.38 0.01 0.27 0.00 0.11
 04.10.12 15:00 0.35 0.02 0.11 0.10 0.38 0.02 0.30 0.00 0.07
 -------- 16:00 0.33 0.01 0.17 0.08 0.34 0.01 0.27 0.00 0.05
 -------- 17:00 0.32 0.01 0.21 0.08 0.35 0.02 0.20 0.00 0.03
 -------- 18:00 0.36 0.01 0.19 0.09 0.38 0.02 0.20 0.00 0.04
 -------- 19:00 0.38 0.01 0.25 0.07 0.35 0.01 0.20 0.00 0.03
 04.10.12 20:00 0.36 0.01 0.22 0.07 0.35 0.03 0.20 0.00 0.05
 -------- 21:00 0.42 0.01 0.18 0.04 0.31 0.02 0.20 0.00 0.06
 -------- 22:00 0.44 0.01 0.11 0.03 0.30 0.02 0.20 0.00 0.06
