 Date Time CO SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Стирол
 19.11.12 12:00 0.28 0.01 0.08 0.10 0.27 0.03 0.20 0.00 0.04
 -------- 13:00 0.27 0.01 0.06 0.10 0.27 0.02 0.20 0.00 0.03
 -------- 14:00 0.27 0.01 0.02 0.11 0.31 0.02 0.23 0.00 0.06
 -------- 15:00 0.30 0.01 0.05 0.10 0.29 0.01 0.23 0.00 0.03
 -------- 16:00 0.31 0.01 0.11 0.10 0.29 0.02 0.20 0.00 0.05
 19.11.12 17:00 0.32 0.01 0.03 0.10 0.28 0.02 0.20 0.00 0.04
 -------- 18:00 0.31 0.01 0.10 0.11 0.27 0.03 0.20 0.00 0.03
 -------- 19:00 0.29 0.01 0.11 0.13 0.27 0.01 0.20 0.00 0.03
 -------- 20:00 0.28 0.01 0.07 0.09 0.24 0.02 0.20 0.00 0.03
 -------- 21:00 0.30 0.00 0.08 0.08 0.21 0.03 0.20 0.00 0.03
 19.11.12 22:00 0.33 0.01 0.11 0.10 0.22 0.02 0.20 0.00 0.03
 -------- 23:00 0.31 0.01 0.06 0.09 0.21 0.02 0.20 0.00 0.05
 -------- 00:00 0.28 0.01 0.07 0.10 0.19 0.02 0.20 0.00 0.05
 -------- 01:00 0.20 0.01 0.18 0.08 0.16 0.02 0.20 0.00 0.07
 -------- 02:00 0.15 0.01 0.17 0.09 0.17 0.02 0.20 0.00 0.04
 20.11.12 03:00 0.12 0.01 0.09 0.06 0.17 0.04 0.20 0.00 0.06
 -------- 04:00 0.10 0.01 0.05 0.08 0.14 0.01 0.20 0.00 0.05
 -------- 05:00 0.10 0.01 0.06 0.07 0.16 0.02 0.20 0.00 0.06
 -------- 06:00 0.15 0.01 0.04 0.06 0.17 0.02 0.20 0.00 0.04
 -------- 07:00 0.26 0.01 0.03 0.10 0.20 0.03 0.20 0.00 0.04
 20.11.12 08:00 0.35 0.01 0.14 0.09 0.20 0.02 0.20 0.00 0.05
 -------- 09:00 0.33 0.01 0.06 0.11 0.23 0.02 0.23 0.00 0.04
 -------- 10:00 0.34 0.01 0.06 0.09 0.23 0.03 0.20 0.00 0.07
 -------- 11:00 0.35 0.01 0.10 0.10 0.25 0.02 0.23 0.00 0.06
 -------- 12:00 0.35 0.01 0.13 0.10 0.24 0.03 0.20 0.00 0.06
 20.11.12 13:00 0.36 0.01 0.07 0.11 0.24 0.02 0.20 0.00 0.05
 -------- 14:00 0.36 0.01 0.10 0.11 0.28 0.02 0.20 0.00 0.05
 -------- 15:00 0.34 0.01 0.15 0.12 0.30 0.03 0.20 0.00 0.07
 -------- 16:00 0.29 0.01 0.11 0.12 0.29 0.03 0.20 0.00 0.04
 -------- 17:00 0.28 0.01 0.17 0.12 0.30 0.02 0.20 0.00 0.07
 20.11.12 18:00 0.27 0.01 0.19 0.11 0.30 0.01 0.20 0.00 0.07
 -------- 19:00 0.31 0.01 0.13 0.10 0.29 0.04 0.20 0.00 0.06
 -------- 20:00 0.33 0.01 0.10 0.12 0.32 0.02 0.20 0.00 0.04
 -------- 21:00 0.33 0.01 0.08 0.10 0.25 0.02 0.20 0.00 0.06
 -------- 22:00 0.29 0.01 0.08 0.09 0.24 0.01 0.20 0.00 0.06
 20.11.12 23:00 0.31 0.01 0.05 0.10 0.28 0.02 0.20 0.00 0.05
 -------- 00:00 0.29 0.01 0.15 0.07 0.26 0.02 0.20 0.00 0.06
 -------- 01:00 0.27 0.01 0.08 0.09 0.23 0.03 0.20 0.00 0.07
 -------- 02:00 0.20 0.01 0.17 0.10 0.24 0.02 0.20 0.00 0.06
 -------- 03:00 0.15 0.01 0.26 0.09 0.19 0.03 0.20 0.00 0.03
 21.11.12 04:00 0.11 0.01 0.18 0.07 0.15 0.02 0.20 0.00 0.05
 -------- 05:00 0.10 0.01 0.28 0.10 0.18 0.02 0.20 0.00 0.03
 -------- 06:00 0.16 0.01 0.22 0.12 0.30 0.02 0.20 0.00 0.07
 -------- 07:00 0.29 0.01 0.16 0.12 0.36 0.02 0.20 0.00 0.04
 -------- 08:00 0.35 0.01 0.09 0.12 0.38 0.02 0.20 0.00 0.06
 21.11.12 09:00 0.32 0.01 0.06 0.15 0.38 0.02 0.20 0.00 0.06
 -------- 10:00 0.34 0.01 0.05 0.12 0.37 0.04 0.23 0.00 0.04
 -------- 11:00 0.37 0.01 0.16 0.15 0.36 0.02 0.20 0.00 0.08
