 Date Time CO SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Стирол
 01.10.12 12:00 0.22 0.00 0.44 ---- 0.19 0.00 0.20 0.00 0.15
 -------- 13:00 0.24 0.00 0.38 ---- 0.21 0.01 0.20 0.00 0.12
 -------- 14:00 0.22 0.00 0.26 ---- 0.21 0.01 0.20 0.00 0.11
 -------- 15:00 0.25 0.01 0.26 ---- 0.23 0.01 0.20 0.00 0.08
 -------- 16:00 0.22 0.01 0.22 0.03 0.23 0.02 0.20 0.00 0.08
 01.10.12 17:00 0.31 0.01 0.28 0.03 0.24 0.02 0.17 0.00 0.07
 -------- 18:00 0.33 0.00 0.38 0.06 0.22 0.01 0.20 0.00 0.09
 -------- 19:00 0.29 0.00 0.26 ---- 0.21 0.01 0.20 0.00 0.10
 -------- 20:00 0.38 0.01 0.34 0.05 0.28 0.00 0.17 0.00 0.12
 -------- 21:00 0.51 0.00 0.41 0.06 0.39 ---- 0.17 0.00 0.15
 01.10.12 22:00 0.67 0.00 0.36 0.05 0.40 ---- 0.13 0.00 0.15
 -------- 23:00 0.69 0.01 0.37 0.09 0.38 ---- 0.20 0.00 0.17
 -------- 00:00 0.68 0.01 0.27 0.03 0.37 ---- 0.20 0.00 0.17
 -------- 01:00 0.59 0.01 0.34 0.03 0.35 0.02 0.17 0.00 0.16
 -------- 02:00 0.44 0.01 0.30 0.03 0.34 0.00 0.17 0.00 0.17
 02.10.12 03:00 0.29 0.01 0.31 0.03 0.30 0.01 0.20 0.00 0.15
 -------- 04:00 0.19 0.01 0.31 ---- 0.29 0.00 0.17 0.00 0.16
 -------- 05:00 0.16 0.02 0.31 ---- 0.27 0.02 0.20 0.00 0.16
 -------- 06:00 0.21 0.00 0.36 ---- 0.28 0.01 0.20 0.00 0.13
 -------- 07:00 0.37 ---- 0.36 0.03 0.31 ---- 0.20 0.00 0.15
 02.10.12 08:00 0.47 0.01 0.22 0.06 0.35 0.00 0.20 0.00 0.14
 -------- 09:00 0.47 0.01 0.27 0.05 0.36 ---- 0.20 0.00 0.16
 -------- 10:00 0.52 0.01 0.32 0.05 0.39 ---- 0.30 0.00 0.13
 -------- 11:00 0.47 ---- 0.34 0.06 0.37 0.03 0.23 0.00 0.17
 -------- 12:00 0.41 0.01 0.29 0.04 0.39 0.01 0.20 0.00 0.17
 02.10.12 13:00 0.39 0.01 0.24 0.03 0.32 0.01 0.20 0.00 0.16
 -------- 14:00 0.29 0.01 0.22 0.04 0.32 0.02 0.27 0.00 0.08
 -------- 15:00 0.28 0.01 0.24 0.05 0.33 0.02 0.23 0.00 0.06
 -------- 16:00 0.26 0.01 0.18 0.03 0.31 0.01 0.20 0.00 0.04
 -------- 17:00 0.23 0.01 0.22 0.04 0.33 0.03 0.20 0.00 0.03
 02.10.12 18:00 0.27 0.01 0.21 0.07 0.32 0.02 0.20 0.00 0.03
 -------- 19:00 0.33 0.01 0.15 0.05 0.37 0.02 0.20 0.00 0.08
 -------- 20:00 0.37 0.01 0.15 0.04 0.39 0.01 0.20 0.00 0.10
 -------- 21:00 0.41 0.01 0.14 0.03 0.39 0.02 0.20 0.00 0.13
 -------- 22:00 0.42 0.01 0.14 0.05 0.39 0.00 0.20 0.00 0.17
 02.10.12 23:00 0.42 0.01 0.11 0.04 0.40 0.00 0.20 0.00 0.14
 -------- 00:00 0.39 0.02 0.13 0.04 0.39 0.01 0.20 0.00 0.17
 -------- 01:00 0.33 0.02 0.18 0.03 0.37 ---- 0.17 0.00 0.15
 -------- 02:00 0.28 0.01 0.20 0.03 0.36 0.01 0.13 0.00 0.15
 -------- 03:00 0.25 0.01 0.21 0.03 0.34 0.01 0.17 0.00 0.15
 03.10.12 04:00 0.19 0.01 0.31 ---- 0.32 0.01 0.20 0.00 0.15
 -------- 05:00 0.15 0.00 0.33 ---- 0.30 0.01 0.17 0.00 0.17
 -------- 06:00 0.14 0.00 0.37 0.03 0.30 0.01 0.17 0.00 0.15
 -------- 07:00 0.26 0.00 0.34 0.04 0.33 ---- 0.20 0.00 0.17
 -------- 08:00 0.31 0.01 0.29 0.03 0.35 0.02 0.17 0.00 0.15
 03.10.12 09:00 0.33 0.00 0.30 0.04 0.38 ---- 0.13 0.00 0.20
 -------- 10:00 0.33 0.02 0.34 0.03 0.35 ---- 0.13 0.00 0.17
 -------- 11:00 0.33 0.01 0.29 0.03 0.36 ---- 0.20 0.00 0.17
 -------- 12:00 0.32 0.00 0.37 0.03 0.33 ---- 0.10 0.00 0.20
