 Date Time CO SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Метаксилол
 07.12.12 23:00 0.29 0.01 0.14 0.15 0.27 0.02 0.18 0.00 0.02
 -------- 00:00 0.26 0.01 0.08 0.13 0.26 0.02 0.21 0.00 0.02
 -------- 01:00 0.24 0.01 0.05 0.13 0.26 0.03 0.19 0.00 0.02
 -------- 02:00 0.19 0.01 0.07 0.12 0.27 0.02 0.20 0.00 0.02
 -------- 03:00 0.15 0.02 0.15 0.12 0.27 0.02 0.20 0.00 0.02
 08.12.12 04:00 0.13 0.01 0.17 0.11 0.26 0.02 0.19 0.00 0.02
 -------- 05:00 0.11 0.02 0.08 0.13 0.27 0.02 0.18 0.00 0.02
 -------- 06:00 0.15 0.02 0.04 0.12 0.26 0.03 0.23 0.00 0.01
 -------- 07:00 0.17 0.02 0.10 0.16 0.26 0.04 0.23 0.00 0.02
 -------- 08:00 0.21 0.03 0.11 0.16 0.30 0.02 0.23 0.00 0.02
 08.12.12 09:00 0.27 0.02 0.03 0.17 0.30 0.03 0.23 0.00 0.02
 -------- 10:00 0.27 0.03 0.03 0.20 0.32 0.03 0.26 0.00 0.02
 -------- 11:00 0.26 0.04 0.06 0.19 0.35 0.03 0.26 0.00 0.02
 -------- 12:00 0.29 0.03 0.04 0.18 0.33 0.03 0.25 0.00 0.02
 -------- 13:00 0.28 0.03 0.21 0.18 0.30 0.05 0.22 0.00 0.01
 08.12.12 14:00 0.25 0.07 0.08 0.20 0.34 0.02 0.29 0.00 0.01
 -------- 15:00 0.25 0.04 0.13 0.19 0.34 0.04 0.29 0.00 0.01
 -------- 16:00 0.27 0.02 0.05 0.19 0.33 0.02 0.24 0.00 0.02
 -------- 17:00 0.27 0.01 0.14 0.19 0.33 0.02 0.23 0.00 0.02
 -------- 18:00 0.27 0.01 0.13 0.16 0.30 0.02 0.24 0.00 0.01
 08.12.12 19:00 0.30 0.01 0.05 0.15 0.31 0.02 0.23 0.00 0.02
 -------- 20:00 0.26 0.02 0.10 0.16 0.32 0.02 0.24 0.00 0.01
 -------- 21:00 0.29 0.03 0.13 0.17 0.31 0.03 0.26 0.00 0.01
 -------- 22:00 0.33 0.02 0.19 0.15 0.27 0.02 0.34 0.00 0.01
 -------- 23:00 0.34 0.02 0.14 0.14 0.26 0.01 0.23 0.00 0.01
 09.12.12 00:00 0.38 0.03 0.24 0.15 0.28 0.01 0.25 0.00 0.01
 -------- 01:00 0.39 0.02 0.23 0.13 0.27 0.04 0.27 0.00 0.01
 -------- 02:00 0.42 0.04 0.23 0.13 0.25 0.02 0.21 0.00 0.01
 -------- 03:00 0.34 0.02 0.12 0.13 0.22 0.03 0.22 0.00 0.01
 -------- 04:00 0.30 0.03 0.17 0.11 0.22 0.03 0.21 0.00 0.01
 09.12.12 05:00 0.27 0.04 0.06 0.10 0.22 0.02 0.21 0.00 0.01
 -------- 06:00 0.25 0.04 0.04 0.09 0.22 0.02 0.21 0.00 0.02
 -------- 07:00 0.28 0.03 0.09 0.10 0.29 0.02 0.21 0.00 0.02
 -------- 08:00 0.25 0.01 0.10 0.10 0.22 0.03 0.21 0.00 0.01
 -------- 09:00 0.25 0.01 0.10 0.09 0.21 0.02 0.20 0.00 0.01
 09.12.12 10:00 0.26 0.01 0.08 0.09 0.20 0.02 0.20 0.00 0.01
 -------- 11:00 0.24 0.01 0.08 0.11 0.26 0.02 0.20 0.00 0.01
 -------- 12:00 0.28 0.01 0.13 0.11 0.27 0.02 0.20 0.00 0.01
 -------- 13:00 0.25 0.01 0.07 0.11 0.27 0.02 0.19 0.00 0.02
 -------- 14:00 0.25 0.01 0.16 0.11 0.27 0.01 0.20 0.00 0.01
 09.12.12 15:00 0.25 0.01 0.12 0.13 0.28 0.01 0.22 0.00 0.02
 -------- 16:00 0.25 0.01 0.11 0.13 0.28 0.01 0.20 0.00 0.02
 -------- 17:00 0.27 0.01 0.11 0.16 0.33 0.04 0.18 0.00 0.02
 -------- 18:00 0.32 0.01 0.06 0.16 0.34 0.02 0.21 0.00 0.02
 -------- 19:00 0.34 0.01 0.04 0.16 0.36 0.02 0.22 0.00 0.02
 09.12.12 20:00 0.33 0.01 0.08 0.18 0.37 0.03 0.20 0.00 0.02
 -------- 21:00 0.33 0.01 0.04 0.16 0.37 0.02 0.22 0.00 0.02
 -------- 22:00 0.33 0.01 0.04 0.16 0.37 0.04 0.21 0.00 0.02
 -------- 23:00 0.34 0.03 0.04 0.18 0.37 0.01 0.21 0.00 0.02
