 Date Time CO SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Стирол
 24.09.12 12:00 0.36 0.01 0.22 0.04 0.28 0.01 0.20 0.00 0.07
 -------- 13:00 0.36 0.01 0.14 0.05 0.28 0.02 0.20 0.00 0.12
 -------- 14:00 0.37 0.01 0.19 0.05 0.28 0.01 0.23 0.00 0.09
 -------- 15:00 0.36 0.01 0.24 0.06 0.27 0.01 0.23 0.00 0.12
 -------- 16:00 0.34 0.00 0.28 0.05 0.24 0.01 0.17 0.00 0.12
 24.09.12 17:00 0.33 0.01 0.26 0.04 0.23 0.00 0.20 0.00 0.12
 -------- 18:00 0.31 0.00 0.36 0.03 0.23 0.00 0.17 0.00 0.14
 -------- 19:00 0.27 0.00 0.39 0.04 0.24 0.01 0.17 0.00 0.14
 -------- 20:00 0.30 0.00 0.37 0.05 0.27 0.00 0.17 0.00 0.14
 -------- 21:00 0.36 0.00 0.35 0.06 0.25 0.00 0.20 0.00 0.14
 24.09.12 22:00 0.38 0.00 0.36 0.04 0.26 0.01 0.17 0.00 0.15
 -------- 23:00 0.39 0.00 0.34 0.03 0.26 0.01 0.17 0.00 0.12
 -------- 00:00 0.31 0.00 0.30 0.03 0.22 0.02 0.20 0.00 0.12
 -------- 01:00 0.26 0.01 0.18 ---- 0.20 0.01 0.20 0.00 0.12
 -------- 02:00 0.18 0.00 0.16 ---- 0.19 0.01 0.20 0.00 0.11
 25.09.12 03:00 0.13 0.01 0.18 ---- 0.16 0.01 0.17 0.00 0.10
 -------- 04:00 0.10 0.01 0.19 ---- 0.15 0.02 0.20 0.00 0.10
 -------- 05:00 0.08 0.00 0.06 ---- 0.15 0.01 0.20 0.00 0.11
 -------- 06:00 0.11 0.01 0.20 ---- 0.19 0.01 0.17 0.00 0.08
 -------- 07:00 0.25 0.01 0.16 0.03 0.24 0.02 0.20 0.00 0.10
 25.09.12 08:00 0.33 0.01 0.14 0.03 0.24 0.03 0.20 0.00 0.09
 -------- 09:00 0.29 0.01 0.21 0.03 0.25 0.01 0.20 0.00 0.08
 -------- 10:00 0.31 0.01 0.17 0.04 0.25 0.02 0.17 0.00 0.08
 -------- 11:00 0.33 0.01 0.21 0.03 0.22 0.01 0.17 0.00 0.08
 -------- 12:00 0.32 0.01 0.18 0.03 0.24 0.01 0.20 0.00 0.08
 25.09.12 13:00 0.33 0.01 0.21 0.03 0.23 0.01 0.20 0.00 0.09
 -------- 14:00 0.34 0.01 0.19 0.05 0.26 0.01 0.20 0.00 0.10
 -------- 15:00 0.36 0.01 0.24 0.07 0.27 0.00 0.20 0.00 0.13
 -------- 16:00 0.36 0.00 0.42 0.06 0.29 0.00 0.20 0.00 0.12
 -------- 17:00 0.36 0.01 0.37 0.08 0.30 0.02 0.13 0.00 0.12
 25.09.12 18:00 0.34 0.01 0.26 0.04 0.27 0.01 0.17 0.00 0.13
 -------- 19:00 0.32 0.01 0.14 0.04 0.29 0.01 0.20 0.00 0.11
 -------- 20:00 0.31 0.01 0.15 0.04 0.27 0.01 0.20 0.00 0.12
 -------- 21:00 0.38 0.01 0.20 0.04 0.26 0.00 0.17 0.00 0.12
 -------- 22:00 0.40 0.01 0.15 0.03 0.25 0.01 0.20 0.00 0.08
 25.09.12 23:00 0.39 0.00 0.22 0.03 0.21 0.01 0.17 0.00 0.09
 -------- 00:00 0.37 0.01 0.19 0.03 0.23 0.01 0.17 0.00 0.08
 -------- 01:00 0.31 0.01 0.13 0.03 0.20 0.01 0.20 0.00 0.08
 -------- 02:00 0.22 0.01 0.13 ---- 0.18 0.02 0.20 0.00 0.06
 -------- 03:00 0.17 0.01 0.17 ---- 0.16 0.01 0.17 0.00 0.12
 26.09.12 04:00 0.15 0.01 0.15 ---- 0.17 0.01 0.20 0.00 0.12
 -------- 05:00 0.18 0.01 0.29 0.03 0.20 0.02 0.13 0.00 0.12
 -------- 06:00 0.23 0.00 0.33 ---- 0.21 0.00 0.20 0.00 0.14
 -------- 07:00 0.36 0.00 0.33 ---- 0.24 0.08 0.20 0.00 0.17
 -------- 08:00 0.42 0.01 0.29 0.03 0.24 0.01 0.13 0.00 0.15
 26.09.12 09:00 0.37 0.01 0.28 0.03 0.24 ---- 0.17 0.00 0.13
 -------- 10:00 0.39 0.00 0.34 0.03 0.24 ---- 0.20 0.00 0.13
 -------- 11:00 0.39 0.01 0.33 0.03 0.23 0.00 0.20 0.00 0.17
 -------- 12:00 0.38 0.01 0.33 ---- 0.19 ---- 0.20 0.00 0.20
