 Date Time CO SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Метаксилол
 04.01.13 00:00 0.22 ---- ---- ---- 0.19 ---- ---- ---- ----
 -------- 01:00 0.20 ---- ---- ---- 0.26 ---- ---- ---- ----
 -------- 02:00 0.17 ---- ---- ---- 0.23 ---- ---- ---- ----
 -------- 03:00 0.13 ---- ---- ---- 0.20 ---- ---- ---- ----
 -------- 04:00 0.13 ---- ---- ---- 0.19 ---- ---- ---- ----
 04.01.13 05:00 0.11 ---- ---- ---- 0.20 ---- ---- ---- ----
 -------- 06:00 0.10 ---- ---- ---- 0.20 ---- ---- ---- ----
 -------- 07:00 0.11 ---- ---- ---- 0.20 ---- ---- ---- ----
 -------- 08:00 0.16 ---- ---- ---- 0.23 ---- ---- ---- ----
 -------- 09:00 0.17 ---- ---- ---- 0.23 ---- ---- ---- ----
 04.01.13 10:00 0.21 ---- ---- ---- 0.24 ---- ---- ---- ----
 -------- 11:00 0.23 ---- ---- ---- 0.34 ---- ---- ---- ----
 -------- 12:00 0.25 ---- ---- ---- 0.24 ---- ---- ---- ----
 -------- 13:00 0.27 ---- ---- ---- 0.27 ---- ---- ---- ----
 -------- 14:00 0.27 ---- ---- ---- 0.23 ---- ---- ---- ----
 04.01.13 15:00 0.29 ---- ---- ---- 0.30 ---- ---- ---- ----
 -------- 16:00 0.32 ---- ---- ---- 0.31 ---- ---- ---- ----
 -------- 17:00 0.33 ---- ---- ---- 0.32 ---- ---- ---- ----
 -------- 18:00 0.34 ---- ---- ---- 0.28 ---- ---- ---- ----
 -------- 19:00 0.33 ---- ---- ---- 0.29 ---- ---- ---- ----
 04.01.13 20:00 0.34 ---- ---- ---- 0.34 ---- ---- ---- ----
 -------- 21:00 0.37 ---- ---- ---- 0.33 ---- ---- ---- ----
 -------- 22:00 0.35 ---- ---- ---- 0.30 ---- ---- ---- ----
 -------- 23:00 0.33 ---- ---- ---- 0.28 ---- ---- ---- ----
 -------- 00:00 0.31 ---- ---- ---- 0.29 ---- ---- ---- ----
 05.01.13 01:00 0.28 ---- ---- ---- 0.28 ---- ---- ---- ----
 -------- 02:00 0.26 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 03:00 0.24 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 04:00 0.18 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 05:00 0.15 ---- ---- ---- 0.25 ---- ---- ---- ----
 05.01.13 06:00 0.15 ---- ---- ---- 0.27 ---- ---- ---- ----
 -------- 07:00 0.17 ---- ---- ---- 0.25 ---- ---- ---- ----
 -------- 08:00 0.21 ---- ---- ---- 0.24 ---- ---- ---- ----
 -------- 09:00 0.23 ---- ---- ---- 0.26 ---- ---- ---- ----
 -------- 10:00 0.26 ---- ---- ---- 0.32 ---- ---- ---- ----
 05.01.13 11:00 0.29 ---- ---- ---- 0.37 ---- ---- ---- ----
 -------- 12:00 0.29 ---- ---- ---- 0.34 ---- ---- ---- ----
 -------- 13:00 0.29 ---- ---- ---- 0.33 ---- ---- ---- ----
 -------- 14:00 0.27 ---- ---- ---- 0.31 ---- ---- ---- ----
 -------- 15:00 0.27 ---- ---- ---- 0.28 ---- ---- ---- ----
 05.01.13 16:00 0.26 ---- ---- ---- 0.27 ---- ---- ---- ----
 -------- 17:00 0.24 ---- ---- ---- 0.29 ---- ---- ---- ----
 -------- 18:00 0.23 ---- ---- ---- 0.28 ---- ---- ---- ----
 -------- 19:00 0.24 ---- ---- ---- 0.30 ---- ---- ---- ----
 -------- 20:00 0.25 ---- ---- ---- 0.29 ---- ---- ---- ----
 05.01.13 21:00 0.23 ---- ---- ---- 0.27 ---- ---- ---- ----
 -------- 22:00 0.22 ---- ---- ---- 0.31 ---- ---- ---- ----
