 Date Time CO SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Метаксилол
 30.11.12 00:00 0.16 0.02 0.10 0.21 0.29 ---- 0.17 0.00 ----
 -------- 01:00 0.16 0.02 0.07 0.18 0.25 ---- 0.20 0.00 ----
 -------- 02:00 0.13 0.02 0.13 0.13 0.22 ---- 0.26 0.00 ----
 -------- 03:00 0.11 0.02 0.05 0.13 0.23 ---- 0.29 0.00 ----
 -------- 04:00 0.10 0.01 0.10 0.12 0.22 ---- 0.22 0.00 ----
 30.11.12 05:00 0.09 0.01 0.10 0.09 0.21 ---- 0.24 0.00 ----
 -------- 06:00 0.11 0.02 0.07 0.12 0.23 ---- 0.25 0.00 ----
 -------- 07:00 0.15 0.02 0.07 0.13 0.25 ---- 0.27 0.00 ----
 -------- 08:00 0.22 0.02 0.06 0.15 0.29 ---- 0.23 0.00 ----
 -------- 09:00 0.23 0.01 0.04 0.10 0.30 ---- 0.23 0.00 ----
 30.11.12 10:00 0.23 0.02 0.06 0.21 0.30 ---- 0.19 0.00 ----
 -------- 11:00 0.24 0.02 0.08 0.21 0.31 ---- 0.27 0.00 ----
 -------- 12:00 0.28 0.02 0.10 0.19 0.32 ---- 0.23 0.00 ----
 -------- 13:00 0.28 0.02 0.12 0.24 0.32 ---- 0.28 0.00 ----
 -------- 14:00 0.27 0.01 0.05 0.19 0.30 ---- 0.29 0.00 ----
 30.11.12 15:00 0.28 0.01 0.13 0.19 0.31 ---- 0.25 0.00 ----
 -------- 16:00 0.28 0.01 0.10 0.15 0.30 0.01 0.29 0.00 0.03
 -------- 17:00 0.29 0.01 0.11 0.18 0.30 0.04 0.23 0.00 0.03
 -------- 18:00 0.28 0.01 0.09 0.15 0.29 0.04 0.21 0.00 0.02
 -------- 19:00 0.29 0.01 0.10 0.16 0.30 0.02 0.22 0.00 0.02
 30.11.12 20:00 0.35 0.03 0.08 0.16 0.31 0.03 0.29 0.00 0.02
 -------- 21:00 0.40 0.01 0.10 0.13 0.27 0.02 0.24 0.00 0.02
 -------- 22:00 0.42 0.01 0.07 0.12 0.24 0.01 0.21 0.00 0.01
 -------- 23:00 0.44 0.01 0.08 0.10 0.27 0.01 0.22 0.00 0.01
 -------- 00:00 0.43 0.02 0.21 0.13 0.29 0.02 0.20 0.00 0.02
 01.12.12 01:00 0.40 0.01 0.22 0.12 0.28 0.02 0.20 0.00 0.01
 -------- 02:00 0.35 0.01 0.10 0.13 0.32 0.02 0.20 0.00 0.02
 -------- 03:00 0.29 0.01 0.11 0.10 0.33 0.02 0.20 0.00 0.01
 -------- 04:00 0.24 0.02 0.23 0.14 0.29 0.02 0.21 0.00 0.02
 -------- 05:00 0.17 0.01 0.20 0.10 0.26 0.01 0.20 0.00 0.01
 01.12.12 06:00 0.16 0.01 0.18 0.08 0.22 0.02 0.19 0.00 0.02
 -------- 07:00 0.19 0.01 0.22 0.08 0.19 0.01 0.20 0.00 0.01
 -------- 08:00 0.24 0.01 0.21 0.08 0.22 0.01 0.17 0.00 0.01
 -------- 09:00 0.27 0.01 0.22 0.10 0.21 0.01 0.19 0.00 0.01
 -------- 10:00 0.29 0.01 0.18 0.10 0.21 0.02 0.20 0.00 0.01
 01.12.12 11:00 0.33 0.01 0.19 0.10 0.21 0.02 0.19 0.00 0.01
 -------- 12:00 0.37 0.01 0.22 0.10 0.23 0.01 0.24 0.00 0.01
 -------- 13:00 0.38 0.01 0.20 0.11 0.22 0.02 0.21 0.00 0.02
 -------- 14:00 0.43 0.02 0.18 0.12 0.25 0.01 0.20 0.00 0.01
 -------- 15:00 0.42 0.01 0.18 0.11 0.23 0.03 0.20 0.00 0.01
 01.12.12 16:00 0.40 0.02 0.18 0.12 0.25 0.02 0.20 0.00 0.02
 -------- 17:00 0.35 0.01 0.19 0.10 0.23 0.02 0.21 0.00 0.01
 -------- 18:00 0.37 0.01 0.23 0.12 0.25 0.02 0.18 0.00 0.01
 -------- 19:00 0.37 0.01 0.20 0.10 0.23 0.02 0.20 0.00 0.01
 -------- 20:00 0.35 0.01 0.19 0.12 0.23 0.01 0.23 0.00 0.02
 01.12.12 21:00 0.35 0.01 0.23 0.11 0.23 0.00 0.21 0.00 0.01
 -------- 22:00 0.37 0.02 0.21 0.14 0.24 0.02 0.18 0.00 0.01
 -------- 23:00 0.40 0.02 0.21 0.12 0.22 0.03 0.21 0.00 0.01
 -------- 00:00 0.40 0.01 0.17 0.15 0.23 ---- 0.17 0.00 0.01
