 Date Time CO SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Стирол
 16.09.12 23:00 0.47 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 00:00 0.47 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 01:00 0.45 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 02:00 0.35 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 03:00 0.27 ---- ---- ---- ---- ---- ---- ---- ----
 17.09.12 04:00 0.21 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 05:00 0.19 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 06:00 0.23 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 07:00 0.37 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 08:00 0.41 ---- ---- ---- ---- ---- ---- ---- ----
 17.09.12 09:00 0.39 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 10:00 0.41 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 11:00 0.41 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 12:00 0.41 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 13:00 0.38 ---- ---- ---- ---- ---- ---- ---- ----
 17.09.12 14:00 0.36 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 15:00 0.32 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 16:00 0.32 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 17:00 0.43 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 18:00 0.43 ---- ---- ---- ---- ---- ---- ---- ----
 17.09.12 19:00 0.48 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 20:00 0.67 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 21:00 1.00 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 22:00 1.33 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 23:00 1.59 ---- ---- ---- ---- ---- ---- ---- ----
 18.09.12 00:00 1.65 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 01:00 1.49 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 02:00 1.01 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 03:00 0.68 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 04:00 0.41 ---- ---- ---- ---- ---- ---- ---- ----
 18.09.12 05:00 0.28 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 06:00 0.25 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 07:00 0.35 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 08:00 0.50 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 09:00 0.59 ---- ---- ---- ---- ---- ---- ---- ----
 18.09.12 10:00 0.58 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 11:00 0.55 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 12:00 0.48 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 13:00 0.40 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 14:00 0.31 ---- ---- ---- ---- ---- ---- ---- ----
 18.09.12 15:00 0.32 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 16:00 0.34 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 17:00 0.37 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 18:00 0.43 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 19:00 0.60 ---- ---- ---- ---- ---- ---- ---- ----
 18.09.12 20:00 0.45 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 21:00 0.46 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 22:00 0.52 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 23:00 0.54 ---- ---- ---- ---- ---- ---- ---- ----
