 Date Time CO SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Метаксилол
 22.12.12 12:00 0.33 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 13:00 0.34 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 14:00 0.36 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 15:00 0.33 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 16:00 0.30 ---- ---- ---- ---- ---- ---- ---- ----
 22.12.12 17:00 0.26 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 18:00 0.27 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 19:00 0.28 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 20:00 0.31 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 21:00 0.33 ---- ---- ---- ---- ---- ---- ---- ----
 22.12.12 22:00 0.31 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 23:00 0.31 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 00:00 0.29 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 01:00 0.27 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 02:00 0.21 ---- ---- ---- ---- ---- ---- ---- ----
 23.12.12 03:00 0.18 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 04:00 0.15 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 05:00 0.13 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 06:00 0.12 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 07:00 0.13 ---- ---- ---- ---- ---- ---- ---- ----
 23.12.12 08:00 0.15 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 09:00 0.18 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 10:00 0.21 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 11:00 0.23 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 12:00 0.27 ---- ---- ---- ---- ---- ---- ---- ----
 23.12.12 13:00 0.28 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 14:00 0.33 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 15:00 0.34 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 16:00 0.35 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 17:00 0.34 ---- ---- ---- ---- ---- ---- ---- ----
 23.12.12 18:00 0.41 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 19:00 0.41 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 20:00 0.39 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 21:00 0.33 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 22:00 0.32 ---- ---- ---- ---- ---- ---- ---- ----
 23.12.12 23:00 0.31 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 00:00 0.31 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 01:00 0.29 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 02:00 0.25 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 03:00 0.22 ---- ---- ---- ---- ---- ---- ---- ----
 24.12.12 04:00 0.20 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 05:00 0.19 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 06:00 0.23 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 07:00 0.33 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 08:00 0.43 ---- ---- ---- ---- ---- ---- ---- ----
 24.12.12 09:00 0.43 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 10:00 0.38 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 11:00 0.41 ---- ---- ---- ---- ---- ---- ---- ----
