 Date Time CO SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Метаксилол
 03.12.12 12:00 0.25 0.01 0.05 0.19 0.38 0.01 0.21 0.00 0.02
 -------- 13:00 0.25 0.01 0.14 0.20 0.37 0.03 0.25 0.00 0.02
 -------- 14:00 0.25 0.01 0.07 0.18 0.37 0.03 0.22 0.00 0.02
 -------- 15:00 0.22 0.01 0.16 0.19 0.36 0.02 0.19 0.00 0.02
 -------- 16:00 0.24 0.01 0.16 0.19 0.38 0.02 0.20 0.00 0.02
 03.12.12 17:00 0.23 0.01 0.09 0.18 0.40 0.01 0.19 0.00 0.02
 -------- 18:00 0.23 0.01 0.10 0.17 0.37 0.01 0.22 0.00 0.02
 -------- 19:00 0.23 0.01 0.22 0.17 0.34 0.02 0.19 0.00 0.02
 -------- 20:00 0.24 0.01 0.19 0.16 0.34 0.02 0.18 0.00 0.02
 -------- 21:00 0.23 0.01 0.06 0.15 0.33 0.02 0.21 0.00 0.02
 03.12.12 22:00 0.23 0.01 0.13 0.14 0.32 0.02 0.20 0.00 0.02
 -------- 23:00 0.19 0.01 0.04 0.10 0.28 0.02 0.19 0.00 0.02
 -------- 00:00 0.17 0.01 0.13 0.11 0.27 0.02 0.17 0.00 0.02
 -------- 01:00 0.13 0.01 0.05 0.10 0.25 0.03 0.20 0.00 0.02
 -------- 02:00 0.10 0.01 0.12 0.06 0.20 0.03 0.22 0.00 0.02
 04.12.12 03:00 0.06 0.01 0.12 0.04 0.18 0.05 0.25 0.00 0.02
 -------- 04:00 0.04 0.01 0.14 ---- 0.17 ---- 0.21 0.00 ----
 -------- 05:00 0.05 0.02 0.20 0.02 0.21 ---- 0.27 0.00 ----
 -------- 06:00 0.07 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 07:00 0.13 ---- ---- 0.12 0.31 ---- ---- ---- ----
 04.12.12 08:00 0.17 0.01 0.08 0.16 0.30 ---- 0.29 0.00 ----
 -------- 09:00 0.21 0.01 0.07 0.19 0.32 ---- 0.23 0.00 ----
 -------- 10:00 0.22 0.01 0.09 0.17 0.28 ---- 0.23 0.00 ----
 -------- 11:00 0.24 0.02 0.08 0.17 0.32 ---- 0.28 0.00 ----
 -------- 12:00 0.32 0.03 0.12 0.15 0.35 0.06 0.31 0.00 0.02
 04.12.12 13:00 0.36 0.02 0.05 0.15 0.36 0.04 0.29 0.00 0.02
 -------- 14:00 0.34 0.02 0.05 0.18 0.36 0.05 0.30 0.00 0.02
 -------- 15:00 0.31 0.02 0.06 0.16 0.34 0.02 0.27 0.00 0.01
 -------- 16:00 0.30 0.01 0.13 0.16 0.28 0.02 0.22 0.00 0.01
 -------- 17:00 0.32 0.01 0.13 0.15 0.26 0.02 0.21 0.00 0.02
 04.12.12 18:00 0.31 0.01 0.19 0.12 0.23 0.02 0.17 0.00 0.02
 -------- 19:00 0.21 0.01 0.16 0.11 0.24 0.02 0.18 0.00 0.02
 -------- 20:00 0.17 0.00 0.21 0.10 0.22 0.00 0.17 0.00 0.02
 -------- 21:00 0.18 0.01 0.11 0.09 0.20 0.02 0.20 0.00 0.02
 -------- 22:00 0.21 0.01 0.03 0.08 0.21 0.02 0.20 0.00 0.02
 04.12.12 23:00 0.19 0.01 0.23 0.10 0.20 0.02 0.18 0.00 0.02
 -------- 00:00 0.15 0.01 0.10 0.09 0.19 0.01 0.20 0.00 0.03
 -------- 01:00 0.13 0.01 0.07 0.09 0.19 0.02 0.20 0.00 0.02
 -------- 02:00 0.10 0.01 0.11 0.08 0.20 0.02 0.18 0.00 0.03
 -------- 03:00 0.10 0.01 0.09 0.07 0.18 0.03 0.18 0.00 0.03
 05.12.12 04:00 0.07 0.01 0.09 0.07 0.17 0.02 0.20 0.00 0.03
 -------- 05:00 0.07 0.01 0.12 0.08 0.18 0.02 0.20 0.00 0.03
 -------- 06:00 0.11 0.01 0.06 0.08 0.22 0.04 0.20 0.00 0.03
 -------- 07:00 0.19 0.01 0.09 0.11 0.29 0.03 0.22 0.00 0.03
 -------- 08:00 0.24 0.01 0.05 0.10 0.29 0.02 0.20 0.00 0.03
 05.12.12 09:00 0.27 0.01 0.05 0.13 0.36 0.02 0.21 0.00 0.02
 -------- 10:00 0.29 0.01 0.08 0.14 0.38 0.02 0.22 0.00 0.02
 -------- 11:00 0.28 0.01 0.07 0.14 0.36 0.02 0.23 0.00 0.02
 -------- 12:00 0.30 0.02 0.08 0.15 0.33 0.02 0.23 0.00 0.02
