 Date Time SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Стирол Метаксилол
 04.11.12 00:00 0.00 0.11 0.19 0.10 0.01 0.14 0.00 0.03 0.00
 -------- 01:00 0.00 0.10 0.18 0.09 0.01 0.15 0.00 ---- 0.00
 -------- 02:00 0.00 0.12 0.15 0.10 0.01 0.15 0.00 0.01 0.01
 -------- 03:00 0.00 0.12 0.17 0.10 0.01 0.15 0.00 0.02 0.01
 -------- 04:00 0.00 0.11 0.16 0.10 0.00 0.15 0.00 0.02 0.00
 04.11.12 05:00 0.00 0.12 0.13 0.09 0.01 0.16 0.00 ---- 0.00
 -------- 06:00 0.00 0.16 0.09 0.06 0.01 0.15 0.00 0.01 0.00
 -------- 07:00 0.00 0.15 0.13 0.06 0.01 0.16 0.00 0.01 0.00
 -------- 08:00 0.00 0.19 0.13 0.06 0.01 0.15 0.00 0.02 0.00
 -------- 09:00 0.00 0.16 0.07 0.08 0.01 0.15 0.00 0.01 0.00
 04.11.12 10:00 0.00 0.17 0.10 0.08 0.01 0.15 0.00 ---- 0.01
 -------- 11:00 0.00 0.20 0.05 0.08 0.01 0.16 0.00 ---- 0.00
 -------- 12:00 0.00 0.19 0.13 0.08 0.01 0.15 0.00 ---- ----
 -------- 13:00 0.00 0.20 0.12 0.09 0.01 0.16 0.00 0.02 0.00
 -------- 14:00 0.00 0.24 0.01 0.06 0.01 0.15 0.00 0.00 0.00
 04.11.12 15:00 0.00 0.21 ---- 0.08 0.01 0.16 0.00 0.00 0.01
 -------- 16:00 0.00 0.25 ---- 0.07 0.01 0.17 0.00 ---- 0.00
 -------- 17:00 0.00 0.25 ---- 0.09 0.01 0.16 0.00 ---- 0.00
 -------- 18:00 0.00 0.22 ---- 0.09 0.01 0.16 0.00 0.02 0.01
 -------- 19:00 0.00 0.22 ---- 0.10 0.01 0.16 0.00 0.00 0.00
 04.11.12 20:00 0.00 0.21 0.01 0.10 0.01 0.15 0.00 ---- 0.01
 -------- 21:00 0.00 0.21 0.07 0.11 0.01 0.16 0.00 0.00 0.00
 -------- 22:00 0.00 0.23 0.05 0.09 0.01 0.16 0.00 0.01 0.00
 -------- 23:00 0.00 0.21 0.05 0.08 0.01 0.16 0.00 0.01 0.00
 -------- 00:00 0.00 0.21 ---- 0.11 0.01 0.16 0.00 0.01 0.00
 05.11.12 01:00 0.00 0.17 ---- 0.15 0.01 0.17 0.00 0.00 0.01
 -------- 02:00 0.00 0.24 ---- 0.10 0.01 0.17 0.00 0.01 0.00
 -------- 03:00 0.00 0.28 ---- 0.09 0.01 0.14 0.00 0.00 0.01
 -------- 04:00 0.00 0.27 ---- 0.08 0.01 0.15 0.00 0.00 0.00
 -------- 05:00 0.00 0.24 ---- 0.09 0.01 0.15 0.00 ---- 0.00
 05.11.12 06:00 0.00 0.22 0.02 0.10 0.00 0.15 0.00 0.00 0.00
 -------- 07:00 0.00 0.21 0.09 0.15 0.01 0.15 0.00 0.02 ----
 -------- 08:00 0.00 0.16 0.18 0.19 0.01 0.16 0.00 0.01 0.00
 -------- 09:00 0.01 0.14 0.20 0.23 0.01 0.15 0.00 ---- 0.00
 -------- 10:00 0.01 0.19 0.36 0.20 0.00 0.16 0.00 0.05 0.00
 05.11.12 11:00 0.00 0.20 0.23 0.16 0.03 0.18 0.00 0.04 0.00
 -------- 12:00 0.00 0.19 0.28 0.18 0.00 0.16 0.00 0.02 0.00
 -------- 13:00 0.00 0.18 0.22 0.15 0.01 0.16 0.00 0.02 0.01
 -------- 14:00 0.00 0.16 0.15 0.24 0.01 0.17 0.00 0.01 0.01
 -------- 15:00 0.01 0.14 0.08 0.26 0.01 0.16 0.00 0.00 0.01
 05.11.12 16:00 0.01 0.15 0.01 0.23 0.01 0.17 0.00 0.00 0.00
 -------- 17:00 0.01 0.13 0.04 0.22 0.01 0.16 0.00 0.01 0.01
 -------- 18:00 0.00 0.12 0.04 0.22 0.00 0.15 0.00 0.01 0.01
 -------- 19:00 0.00 0.10 0.07 0.22 0.00 0.15 0.00 0.01 0.00
 -------- 20:00 0.00 0.11 0.08 0.20 0.00 0.17 0.00 0.02 0.00
 05.11.12 21:00 0.00 0.11 0.05 0.21 0.01 0.16 0.00 0.03 0.01
 -------- 22:00 0.00 0.12 0.04 0.20 0.00 0.16 0.00 0.03 0.00
 -------- 23:00 0.00 0.18 ---- 0.10 0.01 0.15 0.00 ---- 0.00
