 Date Time SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Стирол Метаксилол
 16.01.13 12:00 0.01 0.19 0.22 0.41 0.04 0.53 0.00 0.00 0.00
 -------- 13:00 0.01 0.18 0.22 0.40 0.02 0.52 0.00 0.03 0.00
 -------- 14:00 0.01 0.19 0.22 0.40 0.01 0.53 0.00 0.08 0.00
 -------- 15:00 0.01 0.19 0.28 0.41 0.02 0.52 0.00 0.04 0.01
 -------- 16:00 0.01 0.19 0.25 0.41 0.01 0.54 0.00 0.03 0.00
 16.01.13 17:00 0.02 0.20 0.27 0.40 0.01 0.53 0.00 0.04 0.01
 -------- 18:00 0.11 0.16 0.22 0.41 0.01 0.47 0.00 0.05 0.01
 -------- 19:00 0.07 0.16 0.23 0.40 0.00 0.49 0.00 0.04 0.01
 -------- 20:00 0.01 0.18 0.20 0.37 0.01 0.52 0.00 0.02 0.01
 -------- 21:00 0.01 0.18 0.12 0.33 0.01 0.52 0.00 0.03 0.00
 16.01.13 22:00 0.02 0.19 0.13 0.30 0.02 0.53 0.00 0.08 0.01
 -------- 23:00 0.02 0.18 0.16 0.30 0.02 0.52 0.00 0.04 0.01
 -------- 00:00 0.02 0.19 0.11 0.29 0.00 0.53 0.00 0.03 0.01
 -------- 01:00 0.02 0.19 0.12 0.28 0.02 0.54 0.00 0.04 0.00
 -------- 02:00 0.02 0.20 0.12 0.28 0.02 0.53 0.00 0.03 0.01
 17.01.13 03:00 0.02 0.15 0.09 0.23 0.01 0.49 0.00 0.02 0.00
 -------- 04:00 0.02 0.17 0.12 0.21 0.01 0.51 0.00 0.03 0.01
 -------- 05:00 0.02 0.17 0.07 0.23 0.01 0.52 0.00 0.06 0.00
 -------- 06:00 0.02 0.17 0.10 0.22 0.01 0.52 0.00 0.03 0.01
 -------- 07:00 0.01 0.19 0.11 0.24 0.02 0.54 0.00 0.04 0.00
 17.01.13 08:00 0.01 0.18 0.12 0.25 0.01 0.55 0.00 0.03 0.00
 -------- 09:00 0.01 0.18 0.12 0.26 0.02 0.53 0.00 0.04 0.00
 -------- 10:00 0.01 0.17 0.10 0.28 0.01 0.52 0.00 0.01 0.00
 -------- 11:00 0.01 0.17 0.07 0.26 0.02 0.52 0.00 0.02 0.01
 -------- 12:00 0.01 0.16 0.10 0.22 0.01 0.52 0.00 0.02 0.00
 17.01.13 13:00 0.01 0.15 0.09 0.21 0.01 0.51 0.00 0.03 0.01
 -------- 14:00 0.01 0.15 0.07 0.21 0.02 0.52 0.00 0.03 0.01
 -------- 15:00 0.01 0.17 0.08 0.23 0.01 0.52 0.00 0.03 0.01
 -------- 16:00 0.01 0.16 0.08 0.22 0.02 0.52 0.00 0.06 0.00
 -------- 17:00 0.01 0.17 0.07 0.24 0.01 0.52 0.00 0.02 0.01
 17.01.13 18:00 0.01 0.18 0.09 0.24 0.01 0.52 0.00 0.05 0.00
 -------- 19:00 0.01 0.18 0.08 0.26 0.01 0.53 0.00 0.03 0.01
 -------- 20:00 0.01 0.17 0.05 0.26 0.02 0.54 0.00 0.06 0.01
 -------- 21:00 0.01 0.18 0.09 0.28 0.01 0.55 0.00 0.07 0.01
 -------- 22:00 0.01 0.16 0.07 0.25 0.02 0.52 0.00 0.07 0.01
 17.01.13 23:00 0.01 0.15 0.06 0.25 0.01 0.51 0.00 0.05 0.02
 -------- 00:00 0.01 0.15 0.03 0.23 0.02 0.52 0.00 0.05 0.01
 -------- 01:00 0.01 0.15 0.05 0.23 0.01 0.51 0.00 0.06 0.01
 -------- 02:00 0.01 0.15 0.02 0.23 0.01 0.51 0.00 0.05 0.01
 -------- 03:00 0.01 0.15 0.03 0.23 0.02 0.51 0.00 0.06 0.00
 18.01.13 04:00 0.01 0.14 0.06 0.19 0.01 0.50 0.00 0.04 0.01
 -------- 05:00 0.01 0.14 0.06 0.20 0.02 0.50 0.00 0.04 0.01
 -------- 06:00 0.01 0.14 0.07 0.22 0.03 0.49 0.00 0.01 0.00
 -------- 07:00 0.01 0.16 0.05 0.25 0.02 0.51 0.00 0.03 0.00
 -------- 08:00 0.01 0.18 0.08 0.27 0.01 0.52 0.00 0.05 0.01
 18.01.13 09:00 0.01 0.17 0.09 0.29 0.01 0.52 0.00 0.04 0.01
 -------- 10:00 0.01 0.17 0.08 0.30 0.01 0.52 0.00 0.05 0.01
 -------- 11:00 0.01 0.17 0.10 0.28 0.02 0.52 0.00 0.03 0.00
