 Date Time SO2 OZ Р¤РѕСЂРјР°Р»СЊРґРµРіРёРґ NO2 РџР°СЂР°РєСЃРёР»РѕР» Р¤РµРЅРѕР» РќР°С„С‚Р°Р»РёРЅ РЎС‚РёСЂРѕР» РњРµС‚Р°РєСЃРёР»РѕР»
 18.03.13 00:00 0.01 0.10 ---- 0.32 0.04 0.49 0.00 0.01 ----
 -------- 01:00 0.01 0.11 ---- 0.27 0.03 0.51 0.00 0.03 0.02
 -------- 02:00 0.01 0.14 ---- 0.35 0.04 0.51 0.00 0.06 0.02
 -------- 03:00 0.01 0.14 0.01 0.38 0.03 0.51 0.00 0.04 0.01
 -------- 04:00 0.01 0.17 0.05 0.42 0.05 0.52 0.00 0.05 0.02
 18.03.13 05:00 0.02 0.17 0.01 0.43 0.02 0.52 0.00 0.03 0.02
 -------- 06:00 0.02 0.17 0.03 0.42 0.01 0.50 0.00 0.07 0.01
 -------- 07:00 0.01 0.17 0.05 0.43 0.01 0.53 0.00 0.08 0.02
 -------- 08:00 0.01 0.17 0.04 0.42 0.03 0.52 0.00 0.10 0.01
 -------- 09:00 0.01 0.14 0.05 0.43 ---- 0.53 0.00 0.04 0.01
 18.03.13 10:00 0.01 0.12 0.03 0.34 0.01 0.52 0.00 0.08 0.01
 -------- 11:00 0.01 0.11 0.01 0.30 0.01 0.51 0.00 0.06 0.01
 -------- 12:00 0.01 0.13 0.06 0.32 0.01 0.51 0.00 0.08 0.01
 -------- 13:00 0.01 0.11 0.02 0.26 0.02 0.49 0.00 0.05 0.01
 -------- 14:00 0.01 0.08 0.02 0.20 0.02 0.50 0.00 0.05 0.02
 18.03.13 15:00 0.01 0.08 0.03 0.22 0.02 0.49 0.00 0.03 0.01
 -------- 16:00 0.01 0.12 0.02 0.29 0.03 0.51 0.00 0.06 0.02
 -------- 17:00 0.01 0.10 0.07 0.27 0.02 0.52 0.00 0.05 0.00
 -------- 18:00 0.01 0.11 0.01 0.28 ---- 0.51 0.00 0.03 ----
 -------- 19:00 0.01 0.12 0.04 0.28 ---- 0.51 0.00 0.04 ----
 18.03.13 20:00 0.00 0.11 0.02 0.24 ---- 0.52 0.00 0.05 ----
 -------- 21:00 0.01 0.09 ---- 0.18 ---- 0.51 0.00 0.07 ----
 -------- 22:00 0.01 0.10 ---- 0.20 ---- 0.49 0.00 0.06 ----
 -------- 23:00 0.01 0.11 0.01 0.24 0.02 0.51 0.00 0.05 0.02
 -------- 00:00 0.00 0.11 ---- 0.22 ---- 0.51 0.00 0.02 ----
 19.03.13 01:00 0.01 0.09 ---- 0.16 ---- 0.49 0.00 0.06 ----
 -------- 02:00 0.01 0.12 ---- 0.24 ---- 0.52 0.00 0.05 ----
 -------- 03:00 0.01 0.10 0.03 0.25 ---- 0.50 0.00 0.03 ----
 -------- 04:00 0.01 0.08 ---- 0.18 ---- 0.50 0.00 0.09 ----
 -------- 05:00 0.01 0.08 0.01 0.20 ---- 0.50 0.00 ---- ----
 19.03.13 06:00 0.01 0.09 ---- 0.22 ---- 0.50 0.00 0.06 ----
 -------- 07:00 0.01 0.09 0.09 0.25 ---- 0.49 0.00 0.05 ----
 -------- 08:00 0.01 0.08 ---- 0.27 ---- 0.49 0.00 0.05 ----
 -------- 09:00 0.01 0.08 0.01 0.27 ---- 0.50 0.00 0.10 ----
 -------- 10:00 0.01 0.07 ---- 0.24 ---- 0.50 0.00 0.05 ----
 19.03.13 11:00 0.01 0.09 ---- 0.26 ---- 0.50 0.00 0.20 ----
 -------- 12:00 0.01 0.08 0.05 0.26 ---- 0.49 0.00 0.09 ----
 -------- 13:00 0.01 0.08 0.03 0.27 ---- 0.50 0.00 0.12 ----
 -------- 14:00 0.01 0.09 0.03 0.28 ---- 0.50 0.00 0.02 ----
 -------- 15:00 0.01 0.09 0.02 0.30 ---- 0.49 0.00 0.06 ----
 19.03.13 16:00 0.01 0.08 0.05 0.25 ---- 0.50 0.00 0.03 ----
 -------- 17:00 0.01 0.09 0.06 0.30 ---- 0.51 0.00 0.07 ----
 -------- 18:00 0.01 0.10 0.02 0.33 ---- 0.51 0.00 0.04 ----
 -------- 19:00 0.01 0.13 0.02 0.37 ---- 0.51 0.00 0.06 ----
 -------- 20:00 0.01 0.12 0.03 0.34 ---- 0.52 0.00 0.10 ----
 19.03.13 21:00 0.01 0.12 0.03 0.35 ---- 0.52 0.00 0.08 ----
 -------- 22:00 0.01 0.13 ---- 0.34 ---- 0.51 0.00 0.01 ----
 -------- 23:00 0.01 0.13 0.05 0.36 0.02 0.51 0.00 0.06 0.03
