 Date Time SO2 Формальдегид NO2 Параксилол Фенол Нафталин Стирол
 28.09.12 12:00 0.01 0.05 0.19 0.02 0.47 0.00 0.03
 -------- 13:00 0.01 0.07 0.14 0.02 0.50 0.00 0.06
 -------- 14:00 0.01 ---- 0.18 0.02 0.47 0.00 0.05
 -------- 15:00 0.01 ---- 0.18 0.01 0.50 0.00 0.04
 -------- 16:00 0.01 0.03 0.24 0.02 0.50 0.00 0.03
 28.09.12 17:00 0.00 ---- 0.22 0.01 0.50 0.00 0.03
 -------- 18:00 0.00 0.06 0.30 0.02 0.50 0.00 0.05
 -------- 19:00 0.01 0.10 0.43 0.02 0.50 0.00 0.05
 -------- 20:00 0.01 0.07 0.39 0.01 0.50 0.00 0.03
 -------- 21:00 0.00 0.04 0.17 0.02 0.50 0.00 0.03
 28.09.12 22:00 0.00 0.05 0.13 0.02 0.50 0.00 0.03
 -------- 23:00 0.00 0.07 0.16 0.02 0.50 0.00 0.04
 -------- 00:00 0.00 0.06 0.11 0.01 0.50 0.00 0.03
 -------- 01:00 0.00 0.06 0.10 0.02 0.40 0.00 0.03
 -------- 02:00 0.00 0.11 0.09 0.01 0.50 0.00 0.03
 29.09.12 03:00 ---- 0.10 0.08 0.01 0.47 0.00 0.03
 -------- 04:00 0.00 0.12 0.09 0.02 0.53 0.00 0.03
 -------- 05:00 0.00 0.13 0.11 0.02 0.50 0.00 0.03
 -------- 06:00 0.00 0.10 0.13 0.02 0.50 0.00 0.03
 -------- 07:00 0.00 0.15 0.13 0.01 0.50 0.00 0.04
 29.09.12 08:00 0.00 0.11 0.16 0.02 0.50 0.00 0.03
 -------- 09:00 0.00 0.10 0.17 0.01 0.50 0.00 0.03
 -------- 10:00 0.00 0.14 0.14 0.02 0.53 0.00 0.03
 -------- 11:00 0.00 0.03 0.13 0.02 0.53 0.00 0.03
 -------- 12:00 0.00 0.05 0.12 0.01 0.50 0.00 0.05
 29.09.12 13:00 0.00 0.03 0.11 0.02 0.50 0.00 0.05
 -------- 14:00 0.00 ---- 0.13 0.01 0.53 0.00 0.04
 -------- 15:00 0.00 0.06 0.12 0.02 0.50 0.00 0.03
 -------- 16:00 0.00 0.04 0.15 0.02 0.50 0.00 0.04
 -------- 17:00 0.00 0.06 0.15 0.02 0.50 0.00 0.04
 29.09.12 18:00 0.00 0.12 0.20 0.02 0.50 0.00 0.06
 -------- 19:00 0.00 0.13 0.24 0.02 0.50 0.00 0.04
 -------- 20:00 0.00 0.25 0.31 0.01 0.50 0.00 0.05
 -------- 21:00 0.01 0.30 0.33 0.02 0.50 0.00 0.06
 -------- 22:00 0.01 0.35 0.37 0.02 0.50 0.00 0.04
 29.09.12 23:00 0.01 0.38 0.40 0.01 0.50 0.00 0.04
 -------- 00:00 0.01 0.30 0.40 0.03 0.50 0.00 0.03
 -------- 01:00 0.01 0.36 0.35 0.02 0.50 0.00 0.04
 -------- 02:00 0.00 0.34 0.31 0.01 0.50 0.00 0.04
 -------- 03:00 0.01 0.33 0.33 0.02 0.50 0.00 0.03
 30.09.12 04:00 0.01 0.34 0.31 0.02 0.50 0.00 0.04
 -------- 05:00 0.00 0.30 0.30 0.02 0.50 0.00 0.04
 -------- 06:00 0.01 0.30 0.30 0.01 0.50 0.00 0.04
 -------- 07:00 ---- 0.26 0.23 0.01 0.50 0.00 0.03
 -------- 08:00 0.00 0.30 0.25 0.02 0.50 0.00 0.04
 30.09.12 09:00 0.00 0.37 0.23 0.01 0.50 0.00 0.04
 -------- 10:00 0.01 0.34 0.21 0.01 0.50 0.00 0.04
 -------- 11:00 0.00 0.27 0.20 0.01 0.50 0.00 0.05
