 Date Time SO2 OZ Р¤РѕСЂРјР°Р»СЊРґРµРіРёРґ NO2 РџР°СЂР°РєСЃРёР»РѕР» Р¤РµРЅРѕР» РќР°С„С‚Р°Р»РёРЅ РЎС‚РёСЂРѕР» РњРµС‚Р°РєСЃРёР»РѕР»
 01.03.13 00:00 0.00 0.08 ---- 0.19 0.01 0.52 0.00 0.05 0.02
 -------- 01:00 0.00 0.07 ---- 0.17 0.04 0.52 0.00 0.03 0.01
 -------- 02:00 0.00 0.07 0.02 0.15 0.05 0.53 0.00 0.04 0.01
 -------- 03:00 0.01 0.07 0.05 0.10 0.05 0.54 0.00 0.03 0.02
 -------- 04:00 0.01 0.07 ---- 0.12 0.02 0.52 0.00 0.03 0.03
 01.03.13 05:00 0.00 0.07 ---- 0.13 0.02 0.52 0.00 0.04 0.02
 -------- 06:00 0.00 0.08 ---- 0.17 0.01 0.52 0.00 0.02 0.02
 -------- 07:00 0.00 0.11 0.03 0.31 0.01 0.53 0.00 0.02 0.00
 -------- 08:00 0.00 0.12 0.03 0.32 0.03 0.52 0.00 0.05 0.02
 -------- 09:00 0.00 0.12 0.02 0.30 0.04 0.53 0.00 0.09 ----
 01.03.13 10:00 0.01 0.12 0.04 0.27 ---- 0.54 0.00 0.02 ----
 -------- 11:00 0.00 0.11 ---- 0.26 0.02 0.53 0.00 0.06 0.00
 -------- 12:00 0.00 0.10 0.06 0.25 0.03 0.52 0.00 0.03 0.01
 -------- 13:00 0.00 0.11 ---- 0.21 0.02 0.53 0.00 0.03 0.00
 -------- 14:00 0.00 0.09 0.05 0.20 0.02 0.52 0.00 0.06 0.01
 01.03.13 15:00 0.00 0.08 ---- 0.21 0.01 0.52 0.00 0.06 0.01
 -------- 16:00 0.00 0.09 ---- 0.21 ---- 0.52 0.00 0.05 0.01
 -------- 17:00 0.00 0.09 0.06 0.22 0.04 0.54 0.00 0.06 0.01
 -------- 18:00 0.00 0.09 ---- 0.21 0.00 0.53 0.00 0.01 0.05
 -------- 19:00 0.00 0.08 0.04 0.23 ---- 0.53 0.00 0.04 0.01
 01.03.13 20:00 0.00 0.05 ---- 0.17 ---- 0.52 0.00 0.07 0.03
 -------- 21:00 0.00 0.05 ---- 0.14 ---- 0.52 0.00 0.02 ----
 -------- 22:00 0.00 0.07 ---- 0.14 ---- 0.52 0.00 ---- 0.03
 -------- 23:00 0.00 0.07 ---- 0.17 0.02 0.52 0.00 0.09 0.01
 -------- 00:00 0.01 0.13 ---- 0.24 0.01 0.53 0.00 0.01 0.00
 02.03.13 01:00 0.01 0.11 ---- 0.11 0.01 0.52 0.00 0.03 0.02
 -------- 02:00 0.01 0.11 0.03 0.11 0.01 0.52 0.00 0.03 0.01
 -------- 03:00 0.00 0.09 ---- 0.09 0.01 0.51 0.00 0.03 0.01
 -------- 04:00 0.00 0.07 ---- 0.08 0.02 0.50 0.00 0.07 0.01
 -------- 05:00 0.00 0.07 ---- 0.08 0.01 0.50 0.00 0.03 0.01
 02.03.13 06:00 0.00 0.08 ---- 0.09 0.03 0.50 0.00 0.04 0.01
 -------- 07:00 0.00 0.07 ---- 0.08 0.02 0.50 0.00 0.02 0.01
 -------- 08:00 0.00 0.08 ---- 0.14 0.02 0.49 0.00 0.02 0.02
 -------- 09:00 0.00 0.09 ---- 0.14 0.02 0.50 0.00 0.04 0.01
 -------- 10:00 0.00 0.09 ---- 0.16 0.02 0.50 0.00 0.02 0.01
 02.03.13 11:00 0.00 0.08 0.01 0.16 0.02 0.50 0.00 0.04 0.01
 -------- 12:00 0.01 0.09 ---- 0.17 0.01 0.49 0.00 0.05 0.01
 -------- 13:00 0.00 0.07 ---- 0.19 ---- 0.50 0.00 0.01 0.02
 -------- 14:00 0.00 0.06 ---- 0.19 0.01 0.49 0.00 0.03 0.01
 -------- 15:00 0.01 0.07 0.02 0.23 0.02 0.50 0.00 0.03 0.00
 02.03.13 16:00 0.00 0.08 ---- 0.22 0.02 0.49 0.00 0.04 0.01
 -------- 17:00 0.00 0.06 ---- 0.22 0.01 0.48 0.00 0.05 0.02
 -------- 18:00 0.00 0.07 ---- 0.24 0.01 0.49 0.00 0.06 0.01
 -------- 19:00 0.01 0.10 0.03 0.29 0.00 0.50 0.00 0.04 0.00
 -------- 20:00 0.00 0.10 0.04 0.29 0.01 0.50 0.00 0.04 0.01
 02.03.13 21:00 0.01 0.14 0.10 0.35 0.02 0.51 0.00 0.02 0.01
 -------- 22:00 0.01 0.17 0.04 0.37 0.04 0.52 0.00 0.09 0.01
 -------- 23:00 0.01 0.13 0.07 0.36 0.01 0.50 0.00 0.01 0.01
