 Date Time SO2 Формальдегид NO2 Параксилол Фенол Нафталин Стирол
 23.09.12 00:00 0.03 0.19 0.29 0.01 0.50 0.00 0.04
 -------- 01:00 0.02 0.12 0.28 0.01 0.50 0.00 0.04
 -------- 02:00 0.01 0.13 0.29 0.01 0.50 0.00 0.03
 -------- 03:00 0.01 0.21 0.27 0.01 0.50 0.00 0.05
 -------- 04:00 0.01 0.11 0.27 0.01 0.50 0.00 0.03
 23.09.12 05:00 0.01 0.16 0.28 0.02 0.50 0.00 0.04
 -------- 06:00 0.01 0.24 0.29 0.02 0.50 0.00 0.04
 -------- 07:00 0.01 0.21 0.27 0.02 0.50 0.00 0.04
 -------- 08:00 0.01 0.25 0.27 0.02 0.50 0.00 0.05
 -------- 09:00 0.01 0.14 0.27 0.02 0.50 0.00 0.04
 23.09.12 10:00 0.01 0.15 0.28 0.01 0.50 0.00 0.04
 -------- 11:00 0.01 0.10 0.24 0.02 0.50 0.00 0.03
 -------- 12:00 0.01 0.10 0.24 0.02 0.50 0.00 0.03
 -------- 13:00 0.01 0.09 0.26 0.02 0.50 0.00 0.04
 -------- 14:00 0.01 0.10 0.26 0.02 0.50 0.00 0.05
 23.09.12 15:00 0.00 0.12 0.22 0.02 0.50 0.00 0.05
 -------- 16:00 0.00 0.12 0.24 0.02 0.50 0.00 0.04
 -------- 17:00 ---- 0.11 0.20 0.02 0.50 0.00 0.05
 -------- 18:00 ---- 0.13 0.17 0.01 0.50 0.00 0.06
 -------- 19:00 ---- 0.13 0.19 0.02 0.50 0.00 0.04
 23.09.12 20:00 ---- 0.10 0.20 0.02 0.50 0.00 0.03
 -------- 21:00 ---- 0.10 0.22 0.02 0.50 0.00 0.05
 -------- 22:00 ---- 0.14 0.23 0.01 0.50 0.00 0.03
 -------- 23:00 ---- 0.19 0.20 0.02 0.50 0.00 0.03
 -------- 00:00 0.00 0.28 0.23 0.02 0.50 0.00 0.03
 24.09.12 01:00 ---- 0.23 0.14 0.01 0.50 0.00 0.03
 -------- 02:00 ---- 0.22 0.09 0.01 0.50 0.00 0.03
 -------- 03:00 ---- 0.21 0.08 0.01 0.50 0.00 0.04
 -------- 04:00 ---- 0.19 0.09 0.02 0.50 0.00 0.04
 -------- 05:00 ---- 0.20 0.08 0.01 0.50 0.00 0.03
 24.09.12 06:00 0.00 0.20 0.12 0.01 0.50 0.00 0.04
 -------- 07:00 0.00 0.24 0.20 0.02 0.50 0.00 0.03
 -------- 08:00 0.00 0.25 0.23 0.01 0.50 0.00 0.05
 -------- 09:00 0.00 0.23 0.20 0.02 0.50 0.00 0.04
 -------- 10:00 0.00 0.19 0.19 0.02 0.50 0.00 0.06
 24.09.12 11:00 0.00 0.17 0.19 0.01 0.50 0.00 0.04
 -------- 12:00 0.00 0.19 0.20 0.01 0.50 0.00 0.05
 -------- 13:00 0.00 0.16 0.19 0.02 0.50 0.00 0.05
 -------- 14:00 0.00 0.19 0.16 0.02 0.50 0.00 0.03
 -------- 15:00 0.00 0.12 0.19 0.02 0.50 0.00 0.04
 24.09.12 16:00 0.00 0.19 0.21 0.01 0.50 0.00 0.03
 -------- 17:00 0.00 0.15 0.21 0.01 0.50 0.00 0.03
 -------- 18:00 0.00 0.19 0.23 0.01 0.50 0.00 0.04
 -------- 19:00 0.00 0.24 0.22 0.01 0.50 0.00 0.04
 -------- 20:00 0.00 0.20 0.21 0.02 0.50 0.00 0.04
 24.09.12 21:00 ---- 0.27 0.24 0.03 0.50 0.00 0.03
 -------- 23:00 0.01 0.20 ---- 0.02 0.80 0.00 0.03
