 Date Time SO2 Формальдегид NO2 Параксилол Фенол Нафталин Стирол Метаксилол
 31.12.12 12:00 0.00 0.06 0.22 0.03 0.53 0.00 0.04 0.00
 -------- 13:00 0.00 0.07 0.23 0.01 0.52 0.00 0.06 0.01
 -------- 14:00 0.00 0.07 0.21 0.01 0.52 0.00 0.05 0.01
 -------- 15:00 0.00 0.03 0.21 0.01 0.52 0.00 0.05 ----
 -------- 16:00 0.01 0.05 0.21 0.03 0.53 0.00 0.04 0.00
 31.12.12 17:00 0.01 0.05 0.23 0.03 0.53 0.00 0.09 0.00
 -------- 18:00 0.01 0.11 0.22 0.03 0.53 0.00 0.03 0.01
 -------- 19:00 0.01 0.09 0.22 0.01 0.53 0.00 0.05 0.01
 -------- 20:00 0.01 0.08 0.22 0.01 0.51 0.00 0.05 0.00
 -------- 21:00 0.01 0.08 0.24 0.01 0.51 0.00 0.04 0.01
 31.12.12 22:00 0.00 0.05 0.24 0.02 0.53 0.00 0.03 0.01
 -------- 23:00 0.00 0.07 0.22 0.01 0.52 0.00 0.03 0.01
 -------- 00:00 0.01 0.07 0.21 0.02 0.53 0.00 0.04 0.01
 -------- 01:00 0.01 0.01 0.21 0.01 0.53 0.00 0.06 0.02
 -------- 02:00 0.01 0.01 0.19 0.00 0.53 0.00 0.04 0.01
 01.01.13 03:00 0.01 0.03 0.18 0.01 0.54 0.00 0.05 0.01
 -------- 04:00 0.01 0.05 0.19 0.02 0.53 0.00 0.07 0.01
 -------- 05:00 0.00 0.05 0.17 0.02 0.52 0.00 0.05 0.01
 -------- 06:00 0.00 0.02 0.11 0.00 0.51 0.00 0.03 0.00
 -------- 07:00 0.00 0.04 0.11 0.02 0.51 0.00 0.02 0.00
 01.01.13 08:00 0.00 0.03 0.14 0.02 0.52 0.00 0.03 0.00
 -------- 09:00 0.00 0.03 0.14 0.01 0.52 0.00 0.03 0.01
 -------- 10:00 0.00 0.01 0.14 0.00 0.51 0.00 0.05 0.00
 -------- 11:00 0.00 ---- 0.21 0.01 0.53 0.00 0.05 0.01
 -------- 12:00 0.00 ---- 0.14 ---- 0.52 0.00 0.05 0.01
 01.01.13 13:00 0.00 ---- 0.09 0.01 0.52 0.00 0.07 0.01
 -------- 14:00 0.00 0.01 0.11 0.02 0.52 0.00 0.02 0.01
 -------- 15:00 0.00 0.02 0.09 0.03 0.51 0.00 0.03 0.01
 -------- 16:00 0.00 0.02 0.09 0.01 0.52 0.00 0.06 0.01
 -------- 17:00 0.00 0.07 0.20 0.01 0.53 0.00 0.04 0.01
 01.01.13 18:00 0.00 0.03 0.21 0.02 0.54 0.00 0.02 0.01
 -------- 19:00 0.01 0.04 0.20 0.00 0.52 0.00 0.03 0.01
 -------- 20:00 0.01 0.04 0.22 0.04 0.53 0.00 0.05 0.01
 -------- 21:00 0.01 0.04 0.23 0.01 0.52 0.00 0.06 0.01
 -------- 22:00 0.00 ---- 0.23 0.01 0.53 0.00 0.07 0.01
 01.01.13 23:00 0.00 0.02 0.21 0.03 0.53 0.00 0.03 0.01
 -------- 00:00 0.00 0.03 0.22 0.02 0.53 0.00 0.04 0.01
 -------- 01:00 0.00 0.01 0.12 0.03 0.51 0.00 0.04 0.00
 -------- 02:00 0.00 0.02 0.10 0.03 0.51 0.00 0.03 0.01
 -------- 03:00 0.00 ---- 0.06 0.03 0.52 0.00 0.05 0.01
 02.01.13 04:00 0.00 ---- 0.04 0.02 0.51 0.00 0.03 0.01
 -------- 05:00 0.00 ---- 0.03 0.01 0.51 0.00 0.07 0.01
 -------- 06:00 0.00 ---- 0.06 0.02 0.50 0.00 0.03 0.00
 -------- 07:00 0.00 0.02 0.06 0.03 0.51 0.00 0.04 0.00
 -------- 08:00 0.00 0.00 0.05 0.02 0.51 0.00 0.01 0.01
 02.01.13 09:00 0.00 0.01 0.07 0.01 0.51 0.00 0.05 0.01
 -------- 10:00 0.00 0.06 0.10 0.01 0.51 0.00 0.04 0.01
 -------- 11:00 0.01 0.03 0.14 0.01 0.51 0.00 0.05 0.01
