 Date Time SO2 OZ Р¤РѕСЂРјР°Р»СЊРґРµРіРёРґ NO2 РџР°СЂР°РєСЃРёР»РѕР» Р¤РµРЅРѕР» РќР°С„С‚Р°Р»РёРЅ РЎС‚РёСЂРѕР» РњРµС‚Р°РєСЃРёР»РѕР»
 27.03.13 12:00 0.01 0.05 ---- 0.24 0.02 0.48 0.00 0.04 0.01
 -------- 13:00 0.01 0.04 ---- 0.18 0.02 0.47 0.00 0.06 0.01
 -------- 14:00 0.01 0.04 ---- 0.20 0.00 0.50 0.00 0.06 0.02
 -------- 15:00 0.01 0.05 ---- 0.21 0.02 0.48 0.00 0.08 0.01
 -------- 16:00 0.01 0.04 ---- 0.23 0.02 0.48 0.00 0.03 0.01
 27.03.13 17:00 0.01 0.06 ---- 0.24 0.03 0.50 0.00 0.03 0.01
 -------- 18:00 0.01 0.05 ---- 0.24 0.02 0.49 0.00 0.05 0.01
 -------- 19:00 0.01 0.06 0.02 0.30 ---- 0.49 0.00 0.06 ----
 -------- 20:00 0.01 0.11 0.05 0.35 ---- 0.50 0.00 0.05 ----
 -------- 21:00 0.01 0.11 0.07 0.45 ---- 0.51 0.00 0.08 ----
 27.03.13 22:00 0.01 0.13 0.11 0.52 ---- 0.52 0.00 0.03 ----
 -------- 23:00 0.01 0.14 0.07 0.55 ---- 0.51 0.00 0.02 ----
 -------- 00:00 0.01 0.13 0.08 0.51 ---- 0.52 0.00 0.06 ----
 -------- 01:00 0.01 0.13 0.06 0.48 ---- 0.50 0.00 0.07 ----
 -------- 02:00 0.01 0.14 0.05 0.47 ---- 0.51 0.00 0.04 ----
 28.03.13 03:00 0.01 0.14 0.07 0.52 ---- 0.54 0.00 0.05 ----
 -------- 04:00 0.01 0.11 0.07 0.41 ---- 0.49 0.00 0.07 ----
 -------- 05:00 0.01 0.12 0.02 0.37 ---- 0.49 0.00 0.02 ----
 -------- 06:00 0.01 0.13 0.02 0.41 ---- 0.50 0.00 0.02 ----
 -------- 07:00 0.01 0.13 0.07 0.45 ---- 0.51 0.00 0.17 ----
 28.03.13 08:00 0.01 0.13 0.01 0.40 ---- 0.51 0.00 0.06 ----
 -------- 09:00 0.01 0.10 ---- 0.34 ---- 0.48 0.00 0.04 ----
 -------- 10:00 0.01 0.09 ---- 0.30 ---- 0.50 0.00 0.06 ----
 -------- 11:00 0.01 0.07 ---- 0.27 0.05 0.49 0.00 0.03 0.02
 -------- 12:00 0.01 0.05 ---- 0.21 ---- 0.48 0.00 0.03 0.01
 28.03.13 13:00 0.01 0.05 ---- 0.14 0.00 0.49 0.00 0.06 0.01
 -------- 14:00 0.01 0.05 ---- 0.17 0.02 0.50 0.00 0.04 0.02
 -------- 15:00 0.01 0.04 ---- 0.15 0.03 0.49 0.00 0.03 0.01
 -------- 16:00 0.01 0.04 ---- 0.18 0.02 0.49 0.00 ---- 0.01
 -------- 17:00 0.01 0.05 ---- 0.21 0.02 0.48 0.00 0.08 ----
 28.03.13 18:00 0.01 0.05 ---- 0.18 0.03 0.49 0.00 0.06 0.02
 -------- 19:00 0.01 0.05 ---- 0.21 0.02 0.50 0.00 0.02 0.01
 -------- 20:00 0.01 0.09 0.04 0.35 ---- 0.52 0.00 0.06 ----
 -------- 21:00 0.01 0.14 0.10 0.48 ---- 0.53 0.00 0.06 ----
 -------- 22:00 0.01 0.13 0.11 0.48 ---- 0.53 0.00 0.06 ----
 28.03.13 23:00 0.01 0.13 0.16 0.48 0.02 0.52 0.00 0.03 0.02
 -------- 00:00 0.01 0.11 0.08 0.38 ---- 0.51 0.00 0.03 ----
 -------- 01:00 0.01 0.10 0.03 0.35 ---- 0.50 0.00 0.06 ----
 -------- 02:00 0.01 0.13 0.03 0.41 ---- 0.51 0.00 0.05 ----
 -------- 03:00 0.01 0.10 0.01 0.39 ---- 0.51 0.00 0.11 ----
 29.03.13 04:00 0.01 0.12 0.05 0.42 ---- 0.50 0.00 0.06 ----
 -------- 05:00 0.01 0.12 0.06 0.44 ---- 0.51 0.00 0.06 ----
 -------- 06:00 0.01 0.14 0.10 0.50 ---- 0.52 0.00 0.04 ----
 -------- 07:00 0.01 0.16 0.10 0.56 ---- 0.53 0.00 0.04 ----
 -------- 08:00 0.01 0.16 0.09 0.54 ---- 0.52 0.00 0.01 ----
 29.03.13 09:00 0.01 0.12 0.10 0.52 0.00 0.51 0.00 0.07 0.00
 -------- 10:00 0.01 0.12 0.09 0.53 0.03 0.51 0.00 0.04 0.00
 -------- 11:00 0.01 0.10 0.07 0.44 0.01 0.50 0.00 0.05 0.01
