 Date Time SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Стирол Метаксилол
 17.02.13 12:00 0.04 0.11 0.03 0.26 0.02 0.46 0.00 0.06 0.01
 -------- 13:00 0.02 0.12 0.03 0.22 0.01 0.49 0.00 0.03 0.01
 -------- 14:00 0.02 0.10 0.04 0.22 0.00 0.48 0.00 0.04 0.01
 -------- 15:00 0.02 0.12 0.08 0.24 0.02 0.49 0.00 0.02 0.00
 -------- 16:00 0.01 0.13 0.08 0.32 0.01 0.50 0.00 0.02 0.01
 17.02.13 17:00 0.02 0.15 0.12 0.34 0.02 0.50 0.00 0.05 0.01
 -------- 18:00 0.01 0.15 0.12 0.36 0.00 0.50 0.00 0.03 0.00
 -------- 19:00 0.01 0.12 0.07 0.29 0.02 0.50 0.00 0.04 0.01
 -------- 20:00 0.01 0.13 0.08 0.27 0.01 0.50 0.00 0.01 0.01
 -------- 21:00 0.01 0.12 0.04 0.22 0.02 0.51 0.00 0.02 0.00
 17.02.13 22:00 0.00 0.12 0.07 0.20 0.03 0.50 0.00 0.04 0.01
 -------- 23:00 0.01 0.11 0.06 0.21 0.01 0.49 0.00 0.05 0.00
 -------- 00:00 0.00 0.12 0.02 0.19 0.01 0.51 0.00 0.04 0.00
 -------- 01:00 0.00 0.10 0.05 0.15 0.01 0.50 0.00 0.01 0.01
 -------- 02:00 0.00 0.10 ---- 0.12 0.01 0.50 0.00 0.03 0.01
 18.02.13 03:00 0.01 0.12 ---- 0.18 0.01 0.50 0.00 0.07 0.01
 -------- 04:00 0.01 0.09 ---- 0.15 0.01 0.48 0.00 0.03 0.01
 -------- 05:00 0.01 0.08 0.01 0.13 0.02 0.49 0.00 0.02 0.01
 -------- 06:00 0.01 0.10 ---- 0.17 0.01 0.50 0.00 0.05 0.01
 -------- 07:00 0.01 0.12 0.01 0.21 0.01 0.50 0.00 0.01 0.01
 18.02.13 08:00 0.01 0.13 ---- 0.28 0.01 0.50 0.00 0.01 0.02
 -------- 09:00 0.01 0.13 0.07 0.27 0.00 0.51 0.00 0.04 ----
 -------- 10:00 0.01 0.14 0.06 0.31 0.01 0.50 0.00 0.05 0.01
 -------- 11:00 0.01 0.14 0.05 0.34 0.02 0.51 0.00 0.06 0.01
 -------- 12:00 0.01 0.13 0.02 0.31 0.01 0.51 0.00 0.03 0.01
 18.02.13 13:00 0.01 0.16 0.12 0.42 0.01 0.51 0.00 0.03 0.01
 -------- 14:00 0.01 0.15 0.06 0.41 0.01 0.51 0.00 0.03 0.01
 -------- 15:00 0.01 0.16 0.06 0.34 0.01 0.52 0.00 0.05 0.01
 -------- 16:00 0.01 0.13 ---- 0.32 0.02 0.51 0.00 0.05 0.01
 -------- 17:00 0.01 0.15 ---- 0.32 0.02 0.51 0.00 0.04 0.01
 18.02.13 18:00 0.01 0.14 0.01 0.32 0.02 0.52 0.00 0.02 0.01
 -------- 19:00 0.01 0.14 ---- 0.35 0.01 0.51 0.00 0.07 0.01
 -------- 20:00 0.01 0.16 0.02 0.34 0.01 0.52 0.00 0.02 0.00
 -------- 21:00 0.01 0.20 0.02 0.40 0.02 0.54 0.00 0.04 0.02
 -------- 22:00 0.01 0.18 0.05 0.39 0.01 0.53 0.00 0.03 0.01
 18.02.13 23:00 0.01 0.18 0.06 0.40 0.01 0.53 0.00 0.05 0.01
 -------- 00:00 0.01 0.18 0.05 0.41 0.02 0.51 0.00 0.03 0.01
 -------- 01:00 0.01 0.19 0.02 0.39 0.01 0.53 0.00 0.05 0.01
 -------- 02:00 0.01 0.18 ---- 0.39 0.02 0.53 0.00 0.06 0.01
 -------- 03:00 0.01 0.19 0.01 0.37 0.02 0.54 0.00 0.05 0.01
 19.02.13 04:00 0.01 0.18 0.02 0.39 0.03 0.52 0.00 0.04 0.01
 -------- 05:00 0.01 0.16 ---- 0.33 0.02 0.51 0.00 0.04 0.01
 -------- 06:00 0.01 0.17 0.00 0.34 0.02 0.53 0.00 0.04 0.01
 -------- 07:00 0.01 0.17 ---- 0.41 0.01 0.52 0.00 0.03 0.00
 -------- 08:00 0.01 0.19 0.02 0.43 0.02 0.53 0.00 ---- 0.01
 19.02.13 09:00 0.01 0.19 0.04 0.42 0.02 0.53 0.00 0.02 0.00
 -------- 10:00 0.01 0.16 0.09 0.39 0.02 0.51 0.00 0.03 0.01
 -------- 11:00 0.01 0.15 ---- 0.33 0.01 0.52 0.00 0.04 0.01
